ENABLE,id,release_key,mst_pvp_id,language,name,description
e,default_pvp,202509010,default_pvp,ja,決闘名。使わないかも,【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\nコマ効果は登場しないぞ！
e,2025039,202509010,2025039,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\nコマ効果は登場しないぞ！
e,2025040,202509010,2025040,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\nコマ効果は登場しないぞ！
e,2025041,202510010,2025041,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\n攻撃UPコマが登場するぞ!\n特性で攻撃UPコマ効果UPを持っているキャラを編成しよう!
e,2025042,202510010,2025042,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\n攻撃UPコマが登場するぞ!\n特性で攻撃UPコマ効果UPを持っているキャラを編成しよう!
e,2025043,202510010,2025043,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\n攻撃DOWNコマが登場するぞ!\n特性で攻撃DOWNコマ無効化を持っているキャラを編成しよう!
e,2025044,202510020,2025044,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\n\n【コマ効果情報】\n攻撃DOWNコマが登場するぞ!\n特性で攻撃DOWNコマ無効化を持っているキャラを編成しよう!
e,2025046,202511010,2025046,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\nリーダーPが1000の状態で開始するぞ！\n\n【コマ効果情報】\nダメージコマが登場するぞ!\n特性でダメージコマ無効化を持っているキャラを編成しよう!
e,2025047,202511010,2025047,ja,"",【基本情報】\n3段のステージで戦うぞ！\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！\nリーダーPが1000の状態で開始するぞ！\n\n【コマ効果情報】\nダメージコマが登場するぞ!\n特性でダメージコマ無効化を持っているキャラを編成しよう!
e,2025048,202511020,2025048,ja,"",【基本情報】\n3段のステージで戦うぞ!\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう!\n\n【コマ効果情報】\n突風コマが登場するぞ!\n特性で突風コマ無効化を持っているキャラを編成しよう!
e,2025049,202511020,2025049,ja,"","【基本情報】\n3段のステージで戦うぞ!\n相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう!\n\n【コマ効果情報】 \nコマ効果は登場しないぞ!\n\n【特別ルール情報】\nリーダーPが1,000溜まった状態でバトルが開始されるぞ!\nさらに、全キャラの体力のステータス値が2倍UP!"
