ENABLE,id,grade_level,unit_label,coefficient,release_key
e,1,1,DropR,0,202509010
e,2,2,DropR,3,202509010
e,3,3,DropR,5,202509010
e,4,4,DropR,8,202509010
e,5,5,DropR,10,202509010
e,11,1,DropSR,0,202509010
e,12,2,DropSR,5,202509010
e,13,3,DropSR,7,202509010
e,14,4,DropSR,10,202509010
e,15,5,DropSR,12,202509010
e,21,1,DropSSR,0,202509010
e,22,2,DropSSR,7,202509010
e,23,3,DropSSR,9,202509010
e,24,4,DropSSR,12,202509010
e,25,5,DropSSR,14,202509010
e,31,1,PremiumR,0,202509010
e,32,2,PremiumR,8,202509010
e,33,3,PremiumR,11,202509010
e,34,4,PremiumR,14,202509010
e,35,5,PremiumR,16,202509010
e,41,1,PremiumSR,0,202509010
e,42,2,PremiumSR,9,202509010
e,43,3,PremiumSR,14,202509010
e,44,4,PremiumSR,17,202509010
e,45,5,PremiumSR,19,202509010
e,51,1,PremiumSSR,0,202509010
e,52,2,PremiumSSR,12,202509010
e,53,3,PremiumSSR,19,202509010
e,54,4,PremiumSSR,23,202509010
e,55,5,PremiumSSR,25,202509010
e,61,1,PremiumUR,0,202509010
e,62,2,PremiumUR,16,202509010
e,63,3,PremiumUR,26,202509010
e,64,4,PremiumUR,32,202509010
e,65,5,PremiumUR,35,202509010
e,71,1,FestivalUR,0,202509010
e,72,2,FestivalUR,18,202509010
e,73,3,FestivalUR,29,202509010
e,74,4,FestivalUR,34,202509010
e,75,5,FestivalUR,38,202509010
