ENABLE,id,mst_user_level_bonus_group_id,resource_type,resource_id,resource_amount,release_key
e,1,1,Item,memory_glo_00001,100,202509010
e,2,1,Item,memory_glo_00002,100,202509010
e,3,1,Item,memory_glo_00003,100,202509010
e,4,1,Item,memory_glo_00004,100,202509010
e,5,1,Item,memory_glo_00005,100,202509010
e,6,2,Item,memoryfragment_glo_00001,5,202509010
e,7,3,Item,memoryfragment_glo_00001,5,202509010
e,8,3,Item,memoryfragment_glo_00002,2,202509010
e,9,4,Item,memoryfragment_glo_00001,5,202509010
e,10,4,Item,memoryfragment_glo_00002,3,202509010
e,11,4,Item,memoryfragment_glo_00003,1,202509010
e,12,5,Item,memoryfragment_glo_00001,10,202509010
e,13,5,Item,memoryfragment_glo_00002,5,202509010
e,14,5,Item,memoryfragment_glo_00003,1,202509010
e,15,6,Item,memoryfragment_glo_00001,10,202509010
e,16,6,Item,memoryfragment_glo_00002,5,202509010
e,17,6,Item,memoryfragment_glo_00003,1,202509010
e,18,7,Item,memoryfragment_glo_00001,10,202509010
e,19,7,Item,memoryfragment_glo_00002,10,202509010
e,20,7,Item,memoryfragment_glo_00003,1,202509010
e,21,8,Item,memoryfragment_glo_00001,10,202509010
e,22,8,Item,memoryfragment_glo_00002,10,202509010
e,23,8,Item,memoryfragment_glo_00003,2,202509010
e,24,9,Item,memoryfragment_glo_00001,20,202509010
e,25,9,Item,memoryfragment_glo_00002,15,202509010
e,26,9,Item,memoryfragment_glo_00003,2,202509010
e,27,10,Item,memoryfragment_glo_00001,75,202509010
e,28,10,Item,memoryfragment_glo_00002,50,202509010
e,29,10,Item,memoryfragment_glo_00003,8,202509010
e,30,11,FreeDiamond,"",100,202509010
e,31,12,FreeDiamond,"",100,202509010
