ENABLE,id,release_key,mst_dummy_user_id,mst_unit_id,level,rank,grade_level
e,1,202509010,bronze_0_user1,chara_spy_00101,2,0,1
e,2,202509010,bronze_0_user1,chara_aha_00101,1,0,1
e,3,202509010,bronze_0_user1,chara_bat_00101,1,0,1
e,4,202509010,bronze_0_user1,chara_gom_00101,1,0,1
e,5,202509010,bronze_0_user1,chara_aka_00001,1,0,1
e,6,202509010,bronze_0_user2,chara_jig_00001,2,0,1
e,7,202509010,bronze_0_user2,chara_bat_00001,1,0,1
e,8,202509010,bronze_0_user2,chara_bat_00101,1,0,1
e,9,202509010,bronze_0_user2,chara_mag_00101,1,0,1
e,10,202509010,bronze_0_user2,chara_rik_00001,1,0,1
e,11,202509010,bronze_0_user3,chara_yuw_00101,2,0,1
e,12,202509010,bronze_0_user3,chara_kai_00101,1,0,1
e,13,202509010,bronze_0_user3,chara_bat_00001,1,0,1
e,14,202509010,bronze_0_user3,chara_gom_00101,1,0,1
e,15,202509010,bronze_0_user3,chara_sur_00301,1,0,1
e,16,202509010,bronze_0_user3,chara_sum_00201,1,0,1
e,17,202509010,bronze_0_user3,chara_ron_00101,1,0,1
e,18,202509010,bronze_0_user3,chara_rik_00001,1,0,1
e,19,202509010,bronze_0_user3,chara_aka_00001,1,0,1
e,20,202509010,bronze_0_user4,chara_sum_00101,2,0,1
e,21,202509010,bronze_0_user4,chara_sur_00201,1,0,1
e,22,202509010,bronze_0_user4,chara_sur_00301,1,0,1
e,23,202509010,bronze_0_user4,chara_aka_00101,1,0,1
e,24,202509010,bronze_0_user4,chara_ron_00101,1,0,1
e,25,202509010,bronze_0_user5,chara_kai_00002,2,0,1
e,26,202509010,bronze_0_user5,chara_bat_00101,1,0,1
e,27,202509010,bronze_0_user5,chara_gom_00101,1,0,1
e,28,202509010,bronze_0_user5,chara_sur_00301,1,0,1
e,29,202509010,bronze_0_user5,chara_aha_00001,1,0,1
e,30,202509010,bronze_0_user6,chara_chi_00002,2,0,1
e,31,202509010,bronze_0_user6,chara_jig_00001,1,0,1
e,32,202509010,bronze_0_user6,chara_kai_00301,1,0,1
e,33,202509010,bronze_0_user6,chara_gom_00101,1,0,1
e,34,202509010,bronze_0_user6,chara_aka_00001,1,0,1
e,35,202509010,bronze_0_user6,chara_aka_00101,1,0,1
e,36,202509010,bronze_0_user6,chara_rik_00001,1,0,1
e,37,202509010,bronze_1_user1,chara_yuw_00101,2,0,1
e,38,202509010,bronze_1_user1,chara_aha_00101,1,0,1
e,39,202509010,bronze_1_user1,chara_gom_00101,1,0,1
e,40,202509010,bronze_1_user1,chara_jig_00301,1,0,1
e,41,202509010,bronze_1_user1,chara_sum_00201,1,0,1
e,42,202509010,bronze_1_user1,chara_sur_00301,1,0,1
e,43,202509010,bronze_1_user1,chara_mag_00101,1,0,1
e,44,202509010,bronze_1_user1,chara_aka_00001,1,0,1
e,45,202509010,bronze_1_user1,chara_rik_00001,1,0,1
e,46,202509010,bronze_1_user2,chara_spy_00201,2,0,1
e,47,202509010,bronze_1_user2,chara_bat_00101,1,0,1
e,48,202509010,bronze_1_user2,chara_sur_00201,1,0,1
e,49,202509010,bronze_1_user2,chara_aka_00001,1,0,1
e,50,202509010,bronze_1_user2,chara_aka_00101,1,0,1
e,51,202509010,bronze_1_user2,chara_rik_00001,1,0,1
e,52,202509010,bronze_1_user2,chara_ron_00101,1,0,1
e,53,202509010,bronze_1_user3,chara_jig_00001,2,0,1
e,54,202509010,bronze_1_user3,chara_chi_00201,1,0,1
