ENABLE,id,mst_fragment_box_group_id,mst_item_id,start_at,end_at,release_key
e,fragment_box_1_1,fragment_box_1,piece_aka_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_2,fragment_box_1,piece_aka_00101,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_3,fragment_box_1,piece_rik_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_4,fragment_box_1,piece_ron_00101,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_5,fragment_box_1,piece_dan_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_6,fragment_box_1,piece_chi_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_7,fragment_box_1,piece_kai_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_8,fragment_box_1,piece_sur_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_1_9,fragment_box_1,piece_sum_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_1,fragment_box_2,piece_gom_00101,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_2,fragment_box_2,piece_bat_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_3,fragment_box_2,piece_bat_00101,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_4,fragment_box_2,piece_kai_00101,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_5,fragment_box_2,piece_sur_00201,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_6,fragment_box_2,piece_sur_00301,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_7,fragment_box_2,piece_aha_00001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
e,fragment_box_2_8,fragment_box_2,piece_jig_00301,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010
