memo
TABLE,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward
ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order
e,hut_mission_reward_001_1,1,hut_mission_reward_001,Item,memory_chara_hut_00201,200,1
e,hut_mission_reward_002_1,1,hut_mission_reward_002,Item,memory_chara_hut_00201,300,1
e,hut_mission_reward_003_1,1,hut_mission_reward_003,Item,memory_chara_hut_00201,350,1
e,hut_mission_reward_004_1,1,hut_mission_reward_004,Item,ticket_glo_00003,1,1
e,hut_mission_reward_005_1,1,hut_mission_reward_005,Item,piece_hut_00201,10,1
e,hut_mission_reward_006_1,1,hut_mission_reward_006,Item,piece_hut_00201,20,1
e,hut_mission_reward_007_1,1,hut_mission_reward_007,Item,piece_hut_00201,20,1
e,hut_mission_reward_008_1,1,hut_mission_reward_008,Item,piece_hut_00201,20,1
e,hut_mission_reward_009_1,1,hut_mission_reward_009,Item,piece_hut_00201,30,1
e,hut_mission_reward_010_1,1,hut_mission_reward_010,Item,memoryfragment_glo_00003,1,1
e,hut_mission_reward_011_1,1,hut_mission_reward_011,Prism,,50,1
e,hut_mission_reward_012_1,1,hut_mission_reward_012,Item,memory_chara_hut_00301,200,1
e,hut_mission_reward_013_1,1,hut_mission_reward_013,Item,memory_chara_hut_00301,300,1
e,hut_mission_reward_014_1,1,hut_mission_reward_014,Item,memory_chara_hut_00301,350,1
e,hut_mission_reward_015_1,1,hut_mission_reward_015,Item,ticket_glo_00003,1,1
e,hut_mission_reward_016_1,1,hut_mission_reward_016,Item,piece_hut_00301,10,1
e,hut_mission_reward_017_1,1,hut_mission_reward_017,Item,piece_hut_00301,20,1
e,hut_mission_reward_018_1,1,hut_mission_reward_018,Item,piece_hut_00301,20,1
e,hut_mission_reward_019_1,1,hut_mission_reward_019,Item,piece_hut_00301,20,1
e,hut_mission_reward_020_1,1,hut_mission_reward_020,Item,piece_hut_00301,30,1
e,hut_mission_reward_021_1,1,hut_mission_reward_021,Item,memoryfragment_glo_00003,1,1
e,hut_mission_reward_022_1,1,hut_mission_reward_022,Prism,,50,1
e,hut_mission_reward_023_1,1,hut_mission_reward_023,Coin,,12500,1
e,hut_mission_reward_024_1,1,hut_mission_reward_024,Coin,,12500,1
e,hut_mission_reward_025_1,1,hut_mission_reward_025,Item,ticket_glo_00004,3,1
e,hut_mission_reward_026_1,1,hut_mission_reward_026,Item,ticket_glo_00003,1,1
e,hut_mission_reward_027_1,1,hut_mission_reward_027,Item,memoryfragment_glo_00001,5,1
e,hut_mission_reward_028_1,1,hut_mission_reward_028,Item,memoryfragment_glo_00001,5,1
e,hut_mission_reward_029_1,1,hut_mission_reward_029,Item,memoryfragment_glo_00001,5,1
e,hut_mission_reward_030_1,1,hut_mission_reward_030,Item,memoryfragment_glo_00001,5,1
e,hut_mission_reward_031_1,1,hut_mission_reward_031,Item,memoryfragment_glo_00001,10,1
e,hut_mission_reward_032_1,1,hut_mission_reward_032,Item,memoryfragment_glo_00002,5,1
e,hut_mission_reward_033_1,1,hut_mission_reward_033,Item,memoryfragment_glo_00002,5,1
e,hut_mission_reward_034_1,1,hut_mission_reward_034,Item,memoryfragment_glo_00002,5,1
e,hut_mission_reward_035_1,1,hut_mission_reward_035,Item,memoryfragment_glo_00002,5,1
e,hut_mission_reward_036_1,1,hut_mission_reward_036,Item,memoryfragment_glo_00003,1,1
e,hut_mission_reward_037_1,1,hut_mission_reward_037,Item,memoryfragment_glo_00003,1,1
e,hut_mission_reward_038_1,1,hut_mission_reward_038,Item,memoryfragment_glo_00003,1,1
e,hut_mission_reward_039_1,1,hut_mission_reward_039,Item,ticket_glo_00003,1,1
e,hut_mission_reward_040_1,1,hut_mission_reward_040,Item,ticket_glo_00003,1,1
e,hut_mission_reward_041_1,1,hut_mission_reward_041,Item,ticket_glo_00003,1,1
e,hut_mission_reward_042_1,1,hut_mission_reward_042,Item,ticket_glo_00003,1,1
e,hut_mission_reward_043_1,1,hut_mission_reward_043,Item,ticket_glo_00003,1,1
