Unnamed: 0,06_ガシャ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,ガシャラインナップ_一覧,,,,,,
,,,,,,,
,,,,,,,
,"単発金額（円）
→10連引く際にユーザーが頻繁に購入するであろうもの価格帯で計算",288.4615385,,,,,
,"単発に必要な
プリズム数（個）",150,プリズム単価（円）,2,,,
,通常単発金額（円）,300,"↓各レアリティのキャラを
1体出すのに必要な回数",,,"100連天井の場合
通常","100連天井の場合
お得購入換算"
,レアリティ,ガシャ確率（%）,回転数期待値(回),一次通貨数期待値(個),金額期待値(円),金額期待値(円),金額期待値(円)
,UR,3,33.33333333,5000,10000,30000,28846.15385
,SSR,10,10,1500,3000,,
,SR,35,2.857142857,428.5714286,857.1428571,,
,R,52,1.923076923,288.4615385,576.9230769,,
,合計,1,,,,,
,,,,,,,
,,,,,,,
,◆恒常ガシャ系,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,スペシャルガシャ,20250922_GLOW_スペシャルガシャ設計書,,,更新無し,,
,,,,,,,
,,,,,,,
,◆SPY×FAMILY いいジャン祭,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,地獄楽 いいジャン祭ピックアップガシャA,20251125_地獄楽 いいジャン祭_仕様書,,,"空間を操る六番組組長 出雲 天花
東 八千穂　Pick",,
,地獄楽 いいジャン祭ピックアップガシャB,20251125_地獄楽 いいジャン祭_仕様書,,,"誇り高き魔都の剣姫 羽前 京香
東 日万凛　Pick",,
