Unnamed: 0,01_概要,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,君のことが大大大大大好きな100人の彼女 いいジャン祭,,,,,,,,,
,,,,,,,,,,
,幼稚園WARS いいジャン祭,,,,,,,,,
,,,,,,,,,,
,"◼︎施策名
　君のことが大大大大大好きな100人の彼女 いいジャン祭",,,,,,,,,
,,,260216_君のことが大大大大大好きな100人の彼女 いいジャン祭 企画書 (100カノ),担当：村松,,,,,,
,■内容,,,,,,,,,
,"少年ジャンプ+ ジャンブルラッシュ内において、「君のことが大大大大大好きな100人の彼女」をピックアップしたイベントとして、
『原作コミック「1巻〜3巻」のストーリー再現』をテーマに据えます。
各ヒロインとのエピソードを中心に展開します。
　
なお、イベントの実施時期は、2026年2月中旬からを予定しております。",,,,,,,,,
,,,,,,,,,,
,"◼︎開催期間（予定）
　02/16（月）15:00〜03/16（月）10:59",,,,,,,,,
,,,,,,,,,,
,"◼︎メイン課金ポイント
　君のことが大大大大大好きな100人の彼女 いいジャン祭 新ヒーロー ピックアップガシャ
　花園 羽々里(UR)　花園 羽香里(SSR)　院田 唐音(SSR)　好本 静(SSR)",,,,,,,,,
,,,,,,,,,,
,"◼︎主要コンテンツ
・君のことが大大大大大好きな100人の彼女 いいジャン祭 特別ミッションを達成し豪華報酬をGETしよう！
・収集イベントで遊んで「交換所」で「SSR彼女確定ガシャチケット」を獲得しよう！
・降臨バトルで報酬を獲得しつつランキング上位を目指そう！
・君のことが大大大大大好きな100人の彼女の原作モチーフのエンブレムをGETしよう！

3月中旬からのハーフアニバへユーザーを繋げるための「やりがい」と、100カノキャラを入手し育成が楽しめる「収集イベント」を軸に
【推しの子】いいジャン祭に倣って導入し、KPIの底上げを目指します。",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,施策一覧,,,,,,,,,
,,,,,,,,,,
,カテゴリー,,,施策名称,開始日,終了日,備考,,,
,【デイリー】,,,恋は盲目,2026-02-16 15:00:00,2026-03-02 03:59:00,,,,
,"【ストーリー】
彼女ストーリー編",,,最高の恋愛パートナー,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,【収集クエスト】,,,キスゾンビ♡パニック,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,【チャレンジ】,,,恋太郎ファミリー,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,【高難易度】,,,DEAD OR LOVE,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,【降臨バトル】,,,ラブミッション：インポッシブル,2026-02-20 15:00:00,2026-02-26 14:59:00,,,,
,【ログインボーナス】,,,君のことが大大大大大好きな100人の彼女 いいジャン祭 特別ログインボーナス,2026-02-16 15:00:00,2026-03-02 03:59:00,,,,
,【ミッション】,,,君のことが大大大大大好きな100人の彼女 いいジャン祭 特別ミッション,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,【コイン獲得クエスト】,,,コイン獲得クエスト キャラボーナス,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
