施策名称,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,■施策正式名称,,,,,,,,■施策通し番号,,
,,,,,,,,,,,
,,,,,,,,,,,
,■略称,,,,,,,,"※ショットガンに本施策のものを登録する際、各クエスト名前にある通し番号も一緒に記載してください。
※お知らせの場合は、こちらのアルファベットのみ登録時
に文頭へ置いて下さい。",,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
施策概要,,,,,,,,,,,
,,,,,,,,,,,
,思想,,,,,,,,,,
,,,,,,,,,,,
,■キャンペーン概要とゲーム外要因,,,,,,,,,,
,,本企画は、特定IPフィーチャーで開催される一連のイベントをまとめたキャンペーンである。,,,,,,,,,
,,特定IPを掘り下げることにより、新規のIPファンを取り込んだり、既存ユーザーにおいてはIPファンのFQを上げ、離れていたIPファンの復帰を目指す。,,,,,,,,,
,,特定IPの世界観への没入ができるかどうかが肝となる。,,,,,,,,,
,,,,,,,,,,,
,■施策の目的,,,,,,,,,,
,,①どんな人に？,,,②どうして欲しいのか？,,,③どんな価値・体験を提供することで？,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,■施策全体方向性,,,,,,,,,,
,,,,,,,,,,,
,,"objective                                                        
                                                 ",,,,,,,,,
,,,,,,,,,,,
,,,KR1: ,,,,,,,,
,,,例）,,,,,,,,
,,,,,,,,,,,
,,,KR2: ,,,,,,,,
,,,例）,,,,,,,,
,,,,,,,,,,,
,,,KR3: ,,,,,,,,
,,,例）,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,概要,,,,,,,,,,
,■日程,,,,■：運営、■：マーケ、■：設定期限,,,,,,
,,,,マイルストーン,開始日,時間,終了日,時間,期間,備考,
,,,,監修提出期限日,,,,,,,
,,,,LINE提出日,,,,,,,
,,,,データ設定期限日,,,,,,,
,,,,単体テスト,,,,,,,
,,,,総合テスト,,,,,,,
,,,,デプロイ日,,10:00:00,,,,,
,,,,キャンペーン期間,,,,,12日,,
,,,,実施開始,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,◼︎担当者（チーム）,,,,,,,,,,
,,,,作業内容,責任者（敬称略）,slackアカウント,,依頼シート,,,
,,,,企画担当,,#REF!,,,,,
,,,,キャラデータ作成,@程塚,#REF!,,キャラ一覧,,,
,,,,,@石橋,#REF!,,,,,
,,,,,@今井,#REF!,,,,,
,,,,クエストデータ作成,@安藤,#REF!,,背景一覧,,,仕様書に背景IDと背景名を記載するのはPlan担当者
