,02_施策,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▼全体概要,,,,,,,,,,1スタミナ*,,,,,,,,,
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,,イベント全般,×15コイン,,,,,,,,,
,【デイリー】,ファンと推し合戦!,,1/1 4:00,1/16 3:59,-,-,-,,,,,,,,,,,,
,【収集】,芸能界へ！,,1/1 0:00,2/2 10:59,-,-,-,,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,,,,,,,,
,【強化】,ぴえヨンのブートクエスト,,1/5 15:00,2/2 10:59,-,-,-,,報酬名,報酬数,,,,,,,,,
,【チャレンジ】,推しの子になってやる,,1/1 0:00,2/2 10:59,-,-,-,,そのキャラのカラーメモリー,1100,,,,,,,,,
,【高難易度】,芸能界には才能が集まる,,1/1 0:00,2/2 10:59,-,-,-,,メモリーフラグメント・初級,15,,,,,,,,,
,【降臨バトル】,ファーストライブ,,1/9 15:00,1/13 14:59,-,-,-,,メモリーフラグメント・中級,10,,,,,,,,,
,【ログインボーナス】,【推しの子】いいジャン祭 特別ログインボーナス,,1/1 0:00,1/16 3:59,,,,,メモリーフラグメント・上級,1,,,,,,,,,
,【ミッションA】,【推しの子】いいジャン祭 特別ミッション,,1/1 0:00,2/2 10:59,,,,,コイン,2800,,,,,,,,,
,【ミッションB】,ぴえヨン特別ブートミッション,,1/1 0:00,2/2 10:59,,,,,,,,,,,,,,,
,【交換所】,【推しの子】いいジャン祭交換所,,1/1 0:00,2/2 10:59,,,,,,,,,,,,,,,
,【メインクエスト】,【推しの子】,,1/1 0:00,無期限,,,,,,,,,,,,,,,
,【コイン獲得クエスト】,【推しの子】ボーナス,,1/1 0:00,2/2 10:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,◆ログインボーナス,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,施策名称,【推しの子】いいジャン祭 特別ログインボーナス,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,,,,,,,,
,開催期間,1/1 0:00,〜,1/16 3:59,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,【推しの子】SSR確定ガシャチケット,"いいジャン祭メダル
【赤】",プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,,,,,,報酬設定の有無,,,左の表へ転記済み,
4,1,1/1 0:00,1,,,,,,,,,,,,,1,,★,SSR確定チケット,1
4,2,1/1 4:00,,,150,,,,,,,,,,,150,翌日継続難,⭐︎,プリズム,150
5,3,1/2 4:00,,200,,,,,,,,,,,,200,,,赤コイン,200
6,4,1/3 4:00,,,,,1,,,,,,,,,1,ダレる,★,ピックアップチケット,1
7,5,1/4 4:00,,,150,,,,,,,,,,,150,休み明け,★,プリズム,150
1,6,1/5 4:00,,,,,,,5,,,,,,,5,この辺忙しい,,メモリーフラグメント・初級,5
2,7,1/6 4:00,,,,,1,,,,,,,,,1,この辺忙しい,★,ピックアップチケット,1
3,8,1/7 4:00,,,100,,,,,,,,,,,100,この辺忙しい,,プリズム,100
4,9,1/8 4:00,,,,5000,,,,,,,,,,5000,,,コイン,5000
5,10,1/9 4:00,,,,,,1,,,,,,,,1,,,スペシャルガシャ,1
6,11,1/10 4:00,,,,,,,,4,,,,,,4,,,メモリーフラグメント・中級,4
7,12,1/11 4:00,,,,5000,,,,,,,,,,5000,,,コイン,5000
1,13,1/12 4:00,,,100,,,,,,,,,,,100,連休明け,★,プリズム,100
2,14,1/13 4:00,,,,,,,5,,,,,,,5,,,メモリーフラグメント・初級,5
3,15,1/14 4:00,,,,,,1,,,,,,,,1,,,スペシャルガシャチケット,1
,16,"00:00~開始日があるため
ログイン日数1日余り",,,,,,,,,,,,,,0,,,,
,17,,,,,,,,,,,,,,,0,,,,
,18,,,,,,,,,,,,,,,0,,,,
,19,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,,報酬合計数,1,200,500,10000,2,2,10,4,0,0,0,0,0,,,,,
,,,スレイブログボ(比較用),,100,15000,3,2,15,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,◆デイリークエスト,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,クエスト名,ファンと推し合戦!,,,,,,,,,,,,,,,,,,
,開催期間,1/1 4:00,〜,1/16 3:59,,,,,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1nXPabnGTRSJk99gdxsDRCAdui1scK8z1fPDs-OnvFPs/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,
,原画演出URL,251120_【推しの子】_デイリークエスト_原画演出.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,背景名称,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件,,,,,,,
,1話,1,1,100,コイン,推し活ファントム,推し活ファントム,koma_background_osh_00001,ライブ会場,2,4巻:146P・147P,なし,なし,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,,,,,
,クエストのリセット,1日1回リセット,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,復讐を誓う片星 星野 アクア,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,"役者というのは
単なる手段だ",,,,,,,,,,,,,,,,,,
,特別ルール適用ステージ,なし,,,,,,,,,,,,,,,,,,
,特別ルール内容,なし,,,,,,,,,,,,,,,,,,
,スタミナブースト設定,ステージ1話,,,,,,,,,,,,,,,,,,
,,なし,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▼ドロップ設計,,,,,,,,,,,,,,,,,,,
,ステージ,報酬カテゴリー,コイン,コイン,コイン,コイン,コイン合計,プリズム,いいジャン祭メダル【赤】,,,,,,,,,,,
,1話,初回クリア（個数）,0,,,,0,,50,,,,,,,,,,,
,,クリア（個数）,1000,,,,1000,,,,,,,,,,,,,
,,ランダム（個数）,0,3000,8000,1000,12000,20,,,,,,,,,,,,
,,ランダム（ドロップ率）,0.00%,60.00%,10.00%,60.00%,-,50.00%,,,,,,,,,,,,
,,1回ごとの獲得期待値（個数）,1000,1800,800,600,4200,10,,,,,,,,,,,,
,,1回ごとの獲得期待値（価格）,¥0.00,¥0.00,¥0.00,¥0.00,¥0.00,¥0.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,◆収集クエスト,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,クエスト名,芸能界へ！,,,,,,,,,,,,,,,,,,
,開催期間,1/1 0:00,〜,2/2 10:59,,,,,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1RUV7MCHptS-fk-Tu0P-HEw8Bkm6-Qk1ftsca-edSmMM/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,
,原画演出URL,251120_【推しの子】_収集クエスト原画演出.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,ステージ背景ID,ステージ背景名称,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件,,,,,,,
,1話,10,5,50,"いいジャン祭メダル
【赤】",推し活ファントム,星野ルビー、有馬かな,koma_background_osh_00001,ライブ会場,2,2巻:026P〜2巻:029P,2巻:039P〜2巻:042P,なし,,,,,,,
,2話,15,7,70,"いいジャン祭メダル
【赤】",推し活ファントム,有馬かな,koma_background_osh_00001,ライブ会場,2,2巻:172P〜2巻:174P,2巻:182P〜2巻:188P,芸能界へ！ステージ1クリアで解放,,,,,,,
,3話,20,10,100,"いいジャン祭メダル
【赤】",推し活ファントム,黒川あかね、MEMちょ,koma_background_osh_00001,ライブ会場,2,2巻:191P〜2巻:192P,3巻008P〜3巻010P,芸能界へ！ステージ2クリアで解放,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,星野ルビー,有馬かな,黒川あかね,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,私はママみたいになる！,私が居ないと駄目ね！,アクアくんの助けになるよ,,,,,,,,,,,,,,,,
,特別ルール内容,なし,なし,なし,,,,,,,,,,,,,,,,
,スタミナブースト設定,ステージ1話,ステージ2話,ステージ3話,,,,,,,,,,,,,,,,
,,5回まで可能,5回まで可能,5回まで可能,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▼原画のかけらドロップ報酬,,,,,,,,,,,,,,,,,,,
,ステージ,原画のかけら総数,ドロップ率,1クリアごとの期待値（個数）,コンプまでのクリア回数期待値,コンプまでのスタミナ消費数,,,,,,,,,,,,,,
,1話,3,100.0%,3,1.0,5.0,,,,,,,,,,,,,,
,2話,3,100.0%,3,1.0,10.0,,,,,,,,,,,,,,
,3話,10,30.0%,3,3.3,50.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▼収集アイテム価値,,,,,,,,,,,,,,,,,,,
,アイテム,いいジャン祭メダル【赤】,,,,,,,,,,,,,,,,,,
,1スタミナでの獲得量,60,,,,,,,,,,,,,,,,,,
,単価,¥0.13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▼いいジャン祭メダル【赤】_クリア・ドロップ価値設計,,,,,,,,,,,,,,,,,,,
,ステージ,消費スタミナ,1回ごとの消費スタミナ価格,ドロップ期待価格合計,メダル収集効率,,,,,,,,,,,,,,,
,1話,5,¥37.80,¥26.21,69.33%,,,,,,,,,,,,,,,
,2話,7,¥52.92,¥45.86,86.67%,,,,,,,,,,,,,,,
,3話,10,¥75.60,¥75.60,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ステージ,報酬カテゴリー,いいジャン祭メダル【赤】,いいジャン祭メダル【赤】,いいジャン祭メダル【赤】,いいジャン祭メダル【赤】,合計,,,,,,,,,,,,,
,1話,初回クリア（個数）,150,,,,150,,,,,,,,,,,,,
,,クリア（個数）,60,,,,60,,,,,,,,,,,,,
,,ランダム（個数）,0,100,120,300,520,※同時ドロップした場合、実機では合算表示されます,,,,,,,,,,,,
,,ランダム（ドロップ率）,0.00%,40.00%,40.00%,20.00%,-,,,,,,,,,,,,,
,,1回ごとの獲得期待値（個数）,60,40,48,60,208,,,,,,,,,,,,,
,,1回ごとの獲得期待値（価格）,¥7.56,¥5.04,¥6.05,¥7.56,¥26.21,,,,,,,,,,,,,
,2話,初回クリア（個数）,250,,,,250,,,,,,,,,,,,,
,,クリア（個数）,100,,,,100,,,,,,,,,,,,,
,,ランダム（個数）,0,200,250,420,870,※同時ドロップした場合、実機では合算表示されます,,,,,,,,,,,,
,,ランダム（ドロップ率）,0.00%,40.00%,40.00%,20.00%,-,,,,,,,,,,,,,
,,1回ごとの獲得期待値（個数）,100,80,100,84,364,,,,,,,,,,,,,
,,1回ごとの獲得期待値（価格）,¥12.60,¥10.08,¥12.60,¥10.58,¥45.86,,,,,,,,,,,,,
,3話,初回クリア（個数）,400,,,,400,,,,,,,,,,,,,
,,クリア（個数）,150,,,,150,,,,,,,,,,,,,
,,ランダム（個数）,0,200,360,600,1160,※同時ドロップした場合、実機では合算表示されます,,,,,,,,,,,,
,,ランダム（ドロップ率）,0.00%,42.00%,60.00%,25.00%,-,,,,,,,,,,,,,
,,1回ごとの獲得期待値（個数）,150,84,216,150,600,,,,,,,,,,,,,
,,1回ごとの獲得期待値（価格）,¥18.90,¥10.58,¥27.22,¥18.90,¥75.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,◆強化クエスト,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,クエスト名,ぴえヨンのブートクエスト,,,,,,,,,,,,,,,,,,
,開催期間,1/5(月) 15:00,〜,2/2(月) 10:59,,,,,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1pnH9lNHkUjDbDrAVRaUxJiv1robWmqHuT6Wk7Gi2IKY/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,
,原画演出URL,251120_【推しの子】_強化クエスト_原画演出.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,ステージ背景ID,ステージ背景名称,ステージ段数,開始時原画演出,終了時原画演出,ステージ開放条件,,,,,,,
,1話,10,5,50,メモリーフラグメント・初級,推し活ファントム,ぴえヨン,koma_background_osh_00002,ダンススタジオ,2,3巻:035P,なし,1/5 15:00に開放,,,,,,,
,2話,20,10,100,メモリーフラグメント・中級,推し活ファントム,ぴえヨン,koma_background_osh_00002,ダンススタジオ,2,3巻:035P,なし,ぴえヨンのブートクエスト★☆☆をクリアで開放,,,,,,,
,3話,35,15,150,メモリーフラグメント・上級,推し活ファントム,ぴえヨン,koma_background_osh_00002,ダンススタジオ,2,3巻:039P,なし,ぴえヨンのブートクエスト★★☆をクリアで開放,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,ぴえヨン,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,ぴえヨンチャンネルぅうぅ!!,,,,,,,,,,,,,,,,,,
,特別ルール適用ステージ,ステージ1話,ステージ2話,ステージ3話,,,,,,,,,,,,,,,,
,特別ルール内容,なし,なし,なし,,,,,,,,,,1話,,,,,,
,スタミナブースト設定,ステージ1話,ステージ2話,ステージ3話,,,,,,,,,,アイテム名,,確定ドロップ数,ランダムドロップ数,ドロップ率,,
,,5回まで可能,5回まで可能,5回まで可能,,,,,,,,,,メモリーフラグメント・初級,,3,2,39.00%,,
,,,,,,,,,,,,,,,,,,,,
,▼原画のかけらドロップ報酬,,,,,,,,,,,,,メモリーフラグメント・中級,,0,0,0.00%,,
,ステージ,原画のかけら総数,ドロップ率,1クリアごとの期待値（個数）,コンプまでのクリア回数期待値,コンプまでのスタミナ消費数,,,,,,,,メモリーフラグメント・上級,,0,0,0.00%,,
,1話,6,100.0%,6,1.0,5.0,,,,,,,,,,,,,,
