,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2026/01/04,,,前田,,,,,,,,,,,表示箇所なしのため設定不要,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,誰の依頼だ？,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_raid_you1_00001,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,降臨バトル,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202602010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/2/9,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/2/15,,,14:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_you_00301,,,ハナ,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
