,元シート,GLOW_クエストレギュレーション,,,,,,,,,,,,,,
,推奨PTLv,難易度,雑魚HP RPG系,,,雑魚ATK※バフ考慮外,,,ボスHP,,,ボスATK※バフ考慮外,,,ゲートHP,備考
,,,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,各ステージ毎に調整,
,Lv1~/星1,Normal 1,"5,600","1,050","2,450",21,70,35,"56,000","10,500","24,500",56,140,84,"5,000",
,Lv2~/星1,Normal 2,"6,300","1,400","2,800",28,84,49,"63,000","14,000","28,000",56,140,84,"5,000",
,Lv3~/星1,Normal 3,"7,000","2,450","3,150",49,119,70,"70,000","24,500","31,500",84,175,105,"5,000",
,Lv5~/星1,Normal 4,"8,400","3,150","3,500",70,140,91,"84,000","31,500","35,000",84,175,105,"15,000",
,Lv7~/星1,Normal 5,"9,800","3,850","3,850",84,175,105,"98,000","38,500","38,500",98,210,126,"15,000",
,Lv10~/星1,Normal 6,"11,900","4,900","5,600",105,210,140,"119,000","49,000","56,000",119,350,210,"25,000",
,Lv15~/星1,Normal 7,"15,400","6,650","7,000",140,280,210,"154,000","66,500","70,000",140,420,280,"25,000",
,Lv20~/星1,Normal 8,"18,900","8,400","9,100",210,350,245,"189,000","84,000","91,000",210,490,350,"25,000",
,Lv25~/星1,Normal 9,"22,400","10,150","11,900",280,420,245,"224,000","101,500","119,000",280,560,420,"30,000",
,Lv30~/星1,Normal 10,"26,600","11,900","14,700",350,560,350,"266,000","119,000","147,000",350,770,490,"30,000",
,Lv35~/星1,Normal 11,"31,500","14,000","17,500",350,700,420,"315,000","140,000","175,000",420,840,560,"30,000",
,Lv40~/星1,"Normal 12,13
Hard ~3","38,500","16,800","20,300",420,840,490,"350,000","175,000","231,000",490,980,700,"50,000",
,Lv45~/星1,"Normal 14,15","42,000","18,200","23,100",420,980,560,"420,000","210,000","259,000",560,"1,120",770,"50,000",
,Lv50~/星1,"Normal 16
Hard ~6","49,000","21,000","26,600",490,"1,120",630,"490,000","245,000","315,000",630,"1,260",910,"50,000",
,Lv55~/星1,,"56,000","24,500","30,100",490,"1,260",700,"560,000","280,000","350,000",700,"1,400",910,"50,000",
,Lv60~/星1,Hard ~9,"63,000","28,000","33,600",560,"1,400",770,"630,000","350,000","420,000",770,"1,540","1,050","75,000",
,Lv65~/星1,,"70,000","31,500","37,100",560,"1,540",840,"770,000","420,000","560,000",840,"1,750","1,120","75,000",
,Lv70~/星1,Hard ~13,"77,000","35,000","43,400",630,"1,680",910,"980,000","560,000","700,000",910,"1,960","1,260","75,000",
,Lv75~/星1,,"84,000","38,500","49,700",630,"1,820",980,"1,190,000","700,000","910,000",980,"2,170","1,260","100,000",
,Lv80~/星1,Hard ~16,"91,000","42,000","56,000",700,"1,960","1,050","1,400,000","840,000","1,050,000","1,120","2,380","1,400","100,000",
,Lv60~/星3,Ex main ~5,"75,600","33,600","40,320",672,"1,680",924,"756,000","420,000","504,000",924,"1,848","1,260","150,000",
,Lv60~/星5,Ex,"88,200","39,200","47,040",784,"1,960","1,078","882,000","490,000","588,000","1,078","2,156","1,470","150,000",
,Lv70~/星3,Ex main ~10,"100,100","45,500","56,420",819,"2,184","1,183","1,274,000","728,000","910,000","1,183","2,548","1,638","150,000",
,Lv70~/星5,Ex,"115,500","52,500","65,100",945,"2,520","1,365","1,470,000","840,000","1,050,000","1,365","2,940","1,890","200,000",
,Lv80~/星3,Ex main ~16,"118,300","54,600","72,800",910,"2,548","1,365","1,820,000","1,092,000","1,365,000","1,456","3,094","1,820","200,000",
,Lv80~/星5,Ex,"136,500","63,000","84,000","1,050","2,940","1,575","2,100,000","1,260,000","1,575,000","1,680","3,570","2,100","300,000",
,any,1日1回,,,,,,,"210,000",,,21,70,35,"1,000",
,Lv1~/星1,ストーリー1話,"5,600","1,050","2,450",21,70,35,"56,000","10,500","24,500",56,140,84,"5,000",
,Lv3~/星1,ストーリー2話,"7,000","2,450","3,150",49,119,70,"70,000","24,500","31,500",84,175,105,"5,000",
,Lv5~/星1,"ストーリー3話,4話","8,400","3,150","3,500",70,140,91,"84,000","31,500","35,000",84,175,105,"15,000",
,Lv10~/星1,"ストーリー5話,6話","11,900","4,900","5,600",105,210,140,"119,000","49,000","56,000",119,350,210,"25,000",
,Lv15~/星1,ストーリー7話,"15,400","6,650","7,000",140,280,210,"154,000","6,650","70,000",140,420,280,"25,000",
,Lv20~/星1,ストーリー8話,"18,900","8,400","9,100",210,350,245,"189,000","84,000","91,000",210,490,350,"25,000",
,Lv10~/星1,チャレンジ1話,"11,900","4,900","5,600",105,210,140,"119,000","49,000","56,000",119,350,210,"25,000",
,Lv20~/星1,チャレンジ2話,"18,900","8,400","9,100",210,350,245,"189,000","84,000","91,000",210,490,350,"25,000",
,Lv30~/星1,チャレンジ3話,"26,600","11,900","14,700",350,560,350,"266,000","119,000","147,000",350,770,490,"30,000",
,Lv40~/星1,チャレンジ4話,"38,500","16,800","20,300",420,840,490,"350,000","175,000","231,000",490,980,700,"50,000",
,Lv40~/星1,高難度ver1 1話,"38,500","16,800","20,300",420,840,490,"350,000","175,000","231,000",490,980,700,"50,000",
,Lv70~/星1,高難度ver1 2話,"77,000","35,000","43,400",630,"1,680",910,"980,000","560,000","700,000",910,"1,960","1,260","150,000",
,Lv5~/星1,降臨バトルwave1,"8,400","3,150","3,500",70,140,91,"84,000","31,500","35,000",84,175,105,,
,Lv10~/星1,降臨バトルwave2,"11,900","4,900","5,600",105,210,140,"119,000","49,000","56,000",119,350,210,,
