ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value
e,202601010,chara_jig_00601_Normal_00000,chara_jig_00601_Normal_00000,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,1,100,Percentage,100.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00001_01,chara_jig_00601_Special_00001,1,18,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00001_02,chara_jig_00601_Special_00001,2,25,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00001_03,chara_jig_00601_Special_00001,3,31,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00001_04,chara_jig_00601_Special_00001,4,39,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,28.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00001_05,chara_jig_00601_Special_00001,5,50,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,1,100,Percentage,100.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00002_01,chara_jig_00601_Special_00002,1,18,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00002_02,chara_jig_00601_Special_00002,2,25,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00002_03,chara_jig_00601_Special_00002,3,31,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00002_04,chara_jig_00601_Special_00002,4,39,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,31.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00002_05,chara_jig_00601_Special_00002,5,50,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,1,100,Percentage,113.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00003_01,chara_jig_00601_Special_00003,1,18,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00003_02,chara_jig_00601_Special_00003,2,25,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00003_03,chara_jig_00601_Special_00003,3,31,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00003_04,chara_jig_00601_Special_00003,4,39,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,33.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00003_05,chara_jig_00601_Special_00003,5,50,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,1,100,Percentage,122.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00004_01,chara_jig_00601_Special_00004,1,18,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00004_02,chara_jig_00601_Special_00004,2,25,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00004_03,chara_jig_00601_Special_00004,3,31,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00004_04,chara_jig_00601_Special_00004,4,39,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,35.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00004_05,chara_jig_00601_Special_00004,5,50,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,1,100,Percentage,128.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00005_01,chara_jig_00601_Special_00005,1,18,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
e,202601010,chara_jig_00601_Special_00005_02,chara_jig_00601_Special_00005,2,25,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,"","",Damage,Normal,0,0,zangeki_1,"",100,Percentage,4.0,None,0,0,0,""
