ENABLE,id,group_id,tradable_count,display_order,release_key
e,event_osh_00001_01_lineup_00001,event_osh_00001_01_lineup,1,1,202512020
e,event_osh_00001_01_lineup_00002,event_osh_00001_01_lineup,1,2,202512020
e,event_osh_00001_01_lineup_00003,event_osh_00001_01_lineup,1,3,202512020
e,event_osh_00001_01_lineup_00004,event_osh_00001_01_lineup,14,4,202512020
e,event_osh_00001_01_lineup_00005,event_osh_00001_01_lineup,1,5,202512020
e,event_osh_00001_01_lineup_00006,event_osh_00001_01_lineup,10,6,202512020
e,event_osh_00001_01_lineup_00007,event_osh_00001_01_lineup,15,7,202512020
e,event_osh_00001_01_lineup_00008,event_osh_00001_01_lineup,9,8,202512020
e,event_osh_00001_01_lineup_00009,event_osh_00001_01_lineup,15,9,202512020
e,event_osh_00001_01_lineup_00010,event_osh_00001_01_lineup,1,10,202512020
e,event_osh_00001_01_lineup_00011,event_osh_00001_01_lineup,1,11,202512020
e,event_osh_00001_01_lineup_00012,event_osh_00001_01_lineup,1,12,202512020
e,event_osh_00001_01_lineup_00013,event_osh_00001_01_lineup,1,13,202512020
e,event_osh_00001_01_lineup_00014,event_osh_00001_01_lineup,1,14,202512020
e,event_osh_00001_01_lineup_00015,event_osh_00001_01_lineup,1,15,202512020
e,event_osh_00001_01_lineup_00016,event_osh_00001_01_lineup,3,16,202512020
e,event_osh_00001_01_lineup_00017,event_osh_00001_01_lineup,3,17,202512020
e,event_osh_00001_01_lineup_00018,event_osh_00001_01_lineup,100,18,202512020
e,event_osh_00001_01_lineup_00019,event_osh_00001_01_lineup,50,19,202512020
e,event_osh_00001_01_lineup_00020,event_osh_00001_01_lineup,10,20,202512020
e,event_osh_00001_01_lineup_00021,event_osh_00001_01_lineup,10,21,202512020
e,event_osh_00001_01_lineup_00022,event_osh_00001_01_lineup,10,22,202512020
e,event_osh_00001_01_lineup_00023,event_osh_00001_01_lineup,10,23,202512020
e,event_osh_00001_01_lineup_00024,event_osh_00001_01_lineup,10,24,202512020
e,event_osh_00001_01_lineup_00025,event_osh_00001_01_lineup,10,25,202512020
e,event_osh_00001_01_lineup_00026,event_osh_00001_01_lineup,1000,26,202512020
