ENABLE,id,content_type,target_id,rule_type,rule_value,start_at,end_at,release_key
e,veryhard_osh_00001_01,Stage,veryhard_osh_00001,PartyUnitNum,7,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_02,Stage,veryhard_osh_00001,NoContinue,1,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_03,Stage,veryhard_osh_00001,PartySeries,osh,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_04,Stage,veryhard_osh_00001,PartySeries,aha,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_05,Stage,veryhard_osh_00001,PartySeries,yuw,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_06,Stage,veryhard_osh_00001,PartySeries,dos,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_07,Stage,veryhard_osh_00001,PartySeries,dan,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_08,Stage,veryhard_osh_00001,PartySeries,sur,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00001_09,Stage,veryhard_osh_00001,PartySeries,jig,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_01,Stage,veryhard_osh_00002,PartyUnitNum,7,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_02,Stage,veryhard_osh_00002,NoContinue,1,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_03,Stage,veryhard_osh_00002,PartySeries,osh,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_04,Stage,veryhard_osh_00002,PartySeries,aha,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_05,Stage,veryhard_osh_00002,PartySeries,yuw,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_06,Stage,veryhard_osh_00002,PartySeries,dos,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_07,Stage,veryhard_osh_00002,PartySeries,dan,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_08,Stage,veryhard_osh_00002,PartySeries,sur,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00002_09,Stage,veryhard_osh_00002,PartySeries,jig,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_01,Stage,veryhard_osh_00003,PartyUnitNum,7,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_02,Stage,veryhard_osh_00003,NoContinue,1,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_03,Stage,veryhard_osh_00003,PartySeries,osh,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_04,Stage,veryhard_osh_00003,PartySeries,aha,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_05,Stage,veryhard_osh_00003,PartySeries,yuw,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_06,Stage,veryhard_osh_00003,PartySeries,dos,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_07,Stage,veryhard_osh_00003,PartySeries,dan,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_08,Stage,veryhard_osh_00003,PartySeries,sur,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,veryhard_osh_00003_09,Stage,veryhard_osh_00003,PartySeries,jig,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,normal_osh_00001,Stage,normal_osh_00001,SpeedAttack,1000,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
e,normal_osh_00002,Stage,normal_osh_00002,SpeedAttack,1000,"2026-01-01 00:00:00","2037-12-31 23:59:59",202512020
