ENABLE,id,emblemType,mstSeriesId,assetKey,release_key
e,emblem_normal_osh_00001,Series,osh,normal_osh_00001,202512020
e,emblem_event_osh_00001,Event,osh,event_osh_00001,202512020
e,emblem_event_osh_00002,Event,osh,event_osh_00002,202512020
e,emblem_event_osh_00003,Event,osh,event_osh_00003,202512020
e,emblem_event_osh_00004,Event,osh,event_osh_00004,202512020
e,emblem_event_osh_00005,Event,osh,event_osh_00005,202512020
e,emblem_event_osh_00006,Event,osh,event_osh_00006,202512020
e,emblem_event_osh_00007,Event,osh,event_osh_00007,202512020
e,emblem_event_osh_00008,Event,osh,event_osh_00008,202512020
e,emblem_event_osh_00009,Event,osh,event_osh_00009,202512020
e,emblem_event_osh_00010,Event,osh,event_osh_00010,202512020
e,emblem_adventbattle_osh_season01_00001,Event,osh,adventbattle_osh_season01_00001,202512020
e,emblem_adventbattle_osh_season01_00002,Event,osh,adventbattle_osh_season01_00002,202512020
e,emblem_adventbattle_osh_season01_00003,Event,osh,adventbattle_osh_season01_00003,202512020
e,emblem_adventbattle_osh_season01_00004,Event,osh,adventbattle_osh_season01_00004,202512020
e,emblem_adventbattle_osh_season01_00005,Event,osh,adventbattle_osh_season01_00005,202512020
e,emblem_adventbattle_osh_season01_00006,Event,osh,adventbattle_osh_season01_00006,202512020
e,emblem_event_glo_00001,Event,glo,event_glo_00001,202512020
e,emblem_event_glo_00002,Event,glo,event_glo_00002,202512020
