ENABLE,id,release_key
e,pvp_osh_01,202512020
e,normal_osh_00001,202512020
e,normal_osh_00002,202512020
e,normal_osh_00003,202512020
e,hard_osh_00001,202512020
e,hard_osh_00002,202512020
e,hard_osh_00003,202512020
e,veryhard_osh_00001,202512020
e,veryhard_osh_00002,202512020
e,veryhard_osh_00003,202512020
e,event_osh1_1day_00001,202512020
e,event_osh1_charaget02_00001,202512020
e,event_osh1_charaget02_00002,202512020
e,event_osh1_charaget02_00003,202512020
e,event_osh1_charaget01_00001,202512020
e,event_osh1_charaget01_00002,202512020
e,event_osh1_charaget01_00003,202512020
e,event_osh1_challenge01_00001,202512020
e,event_osh1_challenge01_00002,202512020
e,event_osh1_challenge01_00003,202512020
e,event_osh1_challenge01_00004,202512020
e,event_glo1_1day_00001,202512020
e,event_osh1_savage_00001,202512020
e,event_osh1_savage_00002,202512020
e,event_osh1_savage_00003,202512020
e,raid_osh1_00001,202512020
