ENABLE,id,mst_exchange_lineup_id,cost_type,cost_id,cost_amount,release_key
e,event_osh_00001_01_lineup_00001,event_osh_00001_01_lineup_00001,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00002,event_osh_00001_01_lineup_00002,Item,item_glo_00001,20000,202512020
e,event_osh_00001_01_lineup_00003,event_osh_00001_01_lineup_00003,Item,item_glo_00001,1000,202512020
e,event_osh_00001_01_lineup_00004,event_osh_00001_01_lineup_00004,Item,item_glo_00001,2500,202512020
e,event_osh_00001_01_lineup_00005,event_osh_00001_01_lineup_00005,Item,item_glo_00001,15000,202512020
e,event_osh_00001_01_lineup_00006,event_osh_00001_01_lineup_00006,Item,item_glo_00001,5000,202512020
e,event_osh_00001_01_lineup_00007,event_osh_00001_01_lineup_00007,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00008,event_osh_00001_01_lineup_00008,Item,item_glo_00001,1000,202512020
e,event_osh_00001_01_lineup_00009,event_osh_00001_01_lineup_00009,Item,item_glo_00001,2000,202512020
e,event_osh_00001_01_lineup_00010,event_osh_00001_01_lineup_00010,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00011,event_osh_00001_01_lineup_00011,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00012,event_osh_00001_01_lineup_00012,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00013,event_osh_00001_01_lineup_00013,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00014,event_osh_00001_01_lineup_00014,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00015,event_osh_00001_01_lineup_00015,Item,item_glo_00001,10000,202512020
e,event_osh_00001_01_lineup_00016,event_osh_00001_01_lineup_00016,Item,item_glo_00001,7500,202512020
e,event_osh_00001_01_lineup_00017,event_osh_00001_01_lineup_00017,Item,item_glo_00001,7500,202512020
e,event_osh_00001_01_lineup_00018,event_osh_00001_01_lineup_00018,Item,item_glo_00001,1000,202512020
e,event_osh_00001_01_lineup_00019,event_osh_00001_01_lineup_00019,Item,item_glo_00001,2500,202512020
e,event_osh_00001_01_lineup_00020,event_osh_00001_01_lineup_00020,Item,item_glo_00001,5000,202512020
e,event_osh_00001_01_lineup_00021,event_osh_00001_01_lineup_00021,Item,item_glo_00001,500,202512020
e,event_osh_00001_01_lineup_00022,event_osh_00001_01_lineup_00022,Item,item_glo_00001,500,202512020
e,event_osh_00001_01_lineup_00023,event_osh_00001_01_lineup_00023,Item,item_glo_00001,500,202512020
e,event_osh_00001_01_lineup_00024,event_osh_00001_01_lineup_00024,Item,item_glo_00001,500,202512020
e,event_osh_00001_01_lineup_00025,event_osh_00001_01_lineup_00025,Item,item_glo_00001,500,202512020
e,event_osh_00001_01_lineup_00026,event_osh_00001_01_lineup_00026,Item,item_glo_00001,300,202512020
