ENABLE,id,product_id_ios,product_id_android,release_key
e,37,BNEI0434_0036,com.bandainamcoent.jumble_0036,202512020
e,38,BNEI0434_0037,com.bandainamcoent.jumble_0037,202512020
e,39,BNEI0434_0038,com.bandainamcoent.jumble_0038,202512020
e,40,BNEI0434_0039,com.bandainamcoent.jumble_0039,202512020
e,41,BNEI0434_0040,com.bandainamcoent.jumble_0040,202512020
e,42,BNEI0434_0041,com.bandainamcoent.jumble_0041,202512020
e,43,BNEI0434_0042,com.bandainamcoent.jumble_0042,202512020
e,44,BNEI0434_0043,com.bandainamcoent.jumble_0043,202512020
e,45,BNEI0434_0044,com.bandainamcoent.jumble_0044,202512020
e,46,BNEI0434_0045,com.bandainamcoent.jumble_0045,202512020
e,47,BNEI0434_0046,com.bandainamcoent.jumble_0046,202512020
e,48,BNEI0434_0047,com.bandainamcoent.jumble_0047,202512020
e,51,BNEI0434_0049,com.bandainamcoent.jumble_0049,202512020
