ENABLE,release_key,id,opr_product_id,language,asset_key
e,202512020,37_ja,37,ja,
e,202512020,38_ja,38,ja,increase_prism_00002
e,202512020,39_ja,39,ja,increase_prism_00004
e,202512020,40_ja,40,ja,increase_prism_00005
e,202512020,41_ja,41,ja,increase_prism_00005
e,202512020,42_ja,42,ja,increase_prism_00006
e,202512020,43_ja,43,ja,increase_prism_00006
e,202512020,44_ja,44,ja,
e,202512020,45_ja,45,ja,
e,202512020,46_ja,46,ja,
e,202512020,47_ja,47,ja,
e,202512020,48_ja,48,ja,
e,202512020,51_ja,51,ja,
