,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/26,,,wp安藤,,,,,,,,,,,表示箇所なしのため設定不要,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,芸能界には才能が集まる,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_osh1_savage,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202512020,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/01,,,0:00:00,,,から,,,,1/1 0:00,2/2 10:59,,,,,,,,,,,,
,終了日時,,2026/02/02,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_osh_00001,,,B小町不動のセンター アイ,,,私にとって嘘は愛,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
