,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージコンセプト,,,,,,,,,,,,,,,,,ステージ情報詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,1.タンク→出雲 天花→星野 アクアを最速で召喚する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"敵を緑属性とし、赤属性のアイ、星野 ルビー、星野 アクアが最も活躍するステージへと調整
その中でも星野 アクアがピカイチに活躍できるような設計に。

ゲーム開始時目の前に強敵が構えている状態→制限時間内に倒さないと、真ん中に止まっている雑魚軍団が進軍開始
→星野 アクアで対処するか、強敵をすぐに倒すかなどをしないといけない設計へ

ゲート強化項目「Lv15想定」
図鑑効果⭐︎80or85バフ
編成制限内容：作品制限（推しの子、スレイブ、姫様、2.5次元、リコピン、忘却バッテリー、ダンダダン)
新年のためいつもよりおおめ
容易にクリアはできるが、タイムを出したい場合は凸が必要な設計へ",,,,,,,,,,,,,,,,,"【属性情報】 
緑属性の敵が登場するので赤属性のキャラは有利に戦うこともできるぞ!

【コマ効果情報】
ダメージコマが登場するぞ!
特性でダメージコマ無効を持っているキャラを編成しよう!

【ギミック情報】
敵自身の攻撃UPをしてくる敵や
スタン攻撃をしてくる敵が登場するぞ!
特性でスタン攻撃無効化を持っているキャラを編成しよう!

また、このステージでは特別ルールがあるぞ!",,,,,,,,,,,,,,,,,,,,,,,,,,,2.タンク→モモ→星野 アクアなどで対応する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ダメージコマが痛いので、ダメージコマ無効キャラはすぐ死ぬ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大事なキャラが死んだ場合はアクアで再召喚短縮を行い再度召喚をする,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージ名（最大20文字）,,,,,文字数,,スタミナ,,難易度,,,推奨PTLv,,,通常BGM,,,,,ボスBGM,,,,,,,,,,,,,,,,,,,,,,,,出雲 天花がいないと苦しい設計だが、モモの強化次第では天花なしでも問題なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3話,,,,,2,,50,,イベント高難度,,,80,,,SSE_SBG_003_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
