作品_ID,作品名,接頭語（カテゴリー）,識別ID,アイテム_ID,assetKey,画像ファイルID,アイテム名,レアリティ,最大所持数,最大表示上限数,フレーバーテキスト,アイテム備考,start_date
▼ゲーム内通貨,,,,,,,,,,,,,
glo,GLOW,prism,00001,prism_glo_00001,prism_glo_00001,item_icon_prism_glo_00001,プリズム,UR,"999,999,999","999,999,999",未定,,2024-01-01 00:00:00
glo,GLOW,coin,00001,Coin,coin_glo_00001,item_icon_coin_glo_00001,コイン,SR,"999,999,999","999,999,999",未定,,2024-01-01 00:00:00
▼基本アイテム,,,,,,,,,,,,,
glo,GLOW,stamina,00001,stamina_glo_00001,stamina_glo_00001,item_icon_stamina_glo_00001,スタミナ,R,999,999,,,2024-01-01 00:00:00
glo,GLOW,stamina_item,00001,stamina_item_glo_00001,stamina_item_glo_00001,item_icon_stamina_item_glo_00001,スタミナドリンク,R,"999,999,999","999,999,999",使用することでスタミナ最を10回復できるアイテム,,2026-02-01 15:00:00
glo,GLOW,stamina_item,00002,stamina_item_glo_00002,stamina_item_glo_00002,item_icon_stamina_item_glo_00002,スーパースタミナドリンク,SR,"999,999,999","999,999,999",使用することでスタミナ最を50回復できるアイテム,,2024-01-01 00:00:00
glo,GLOW,exp,00001,exp_glo_00001,exp_glo_00001,item_icon_exp_glo_00001,リーダーEXP,R,-,-,,,2024-01-01 00:00:00
▼ガシャチケット,,,,,,,,,,,,,
glo,GLOW,ticket,00001,ticket_glo_00001,ticket_glo_00001,item_icon_ticket_glo_00001,ノーマルガシャチケット,R,"999,999,999","999,999,999",ノーマルガシャを引くことができるアイテム,"ノーマルガシャは実施無しに変更。

無料配布OK、コインで購入OK
※ガシャチケの配布ルールはアイテム構成図を確認すること
https://wonderplanet.atlassian.net/wiki/spaces/GLOW/pages/344622597
ノーマルガシャを1回引けるガシャチケット。10枚集めると10連も可能（最大10連を上限とする）",リリース無し
glo,GLOW,ticket,00002,ticket_glo_00002,ticket_glo_00002,item_icon_ticket_glo_00002,スペシャルガシャチケット,UR,"999,999,999","999,999,999",スペシャルガシャを引くことができるアイテム,有償/無償プリズムで引くことのできるスペシャルガシャを1回引けるガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。,2024-01-01 00:00:00
glo,GLOW,ticket,00003,ticket_glo_00003,ticket_glo_00003,item_icon_ticket_glo_00003,ピックアップガシャチケット,UR,"999,999,999","999,999,999",ピックアップガシャを引くことができるアイテム,有償/無償プリズムで引くことのできるピックアップガシャを1回引けるガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。,2024-01-01 00:00:00
glo,GLOW,ticket,00004,ticket_glo_00004,ticket_glo_00004,item_icon_ticket_glo_00004,フェスガシャチケット,UR,"999,999,999","999,999,999",フェスガシャを引くことができるアイテム,有償/無償プリズムで引くことのできるフェスプガシャを1回引けるガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。,2024-01-01 00:00:00
glo,GLOW,ticket,00102,ticket_glo_00102,ticket_glo_00102,item_icon_ticket_glo_00102,R以上確定ガシャチケット,R,"999,999,999","999,999,999",R以上確定ガシャを引くことができるアイテム,"ガシャデータ未作成
無料配布OK、コインで購入OK

1体R以上キャラ確定のガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。1枚のみだと単発。
プレミアムガシャチケットと違い、天井がない。",2024-01-01 00:00:00
glo,GLOW,ticket,00104,ticket_glo_00104,ticket_glo_00104,item_icon_ticket_glo_00104,SR以上確定ガシャチケット,SR,"999,999,999","999,999,999",SR以上確定ガシャを引くことができるアイテム,"ガシャデータ未作成
無料配布OK、コインで購入は×
1体SR以上のキャラ確定の1連ガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。

ガシャID未作成。",2024-01-01 00:00:00
glo,GLOW,ticket,00105,ticket_glo_00105,ticket_glo_00105,item_icon_ticket_glo_00105,SSR以上確定ガシャチケット,SSR,"999,999,999","999,999,999",SSR以上確定ガシャを引くことができるアイテム,"ガシャデータ未作成
有償販売・プリズム販売・オマケのみ

SSRキャラ確定の1連ガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。",2024-01-01 00:00:00
glo,GLOW,ticket,00202,ticket_glo_00202,ticket_glo_00202,item_icon_ticket_glo_00202,UR確定ガシャチケット,UR,"999,999,999","999,999,999",UR以上確定ガシャを引くことができるアイテム,"ガシャデータ未作成
有償販売・プリズム販売・オマケのみ

URキャラ確定の1連ガシャチケット。10枚集めると10連も可能（最大10連を上限とする）。",2024-01-01 00:00:00
glo,GLOW,ticket,00203,ticket_glo_00203,ticket_glo_00203,item_icon_ticket_glo_00203,UR1体確定10連ガシャチケット,UR,"999,999,999","999,999,999",UR1体確定10連ガシャを引くことができるアイテム,"有償販売・プリズム販売・オマケのみ
URキャラ1体確定の10連ガシャチケット。1枚(10連)ずつしか使えない。",2024-01-01 00:00:00
glo,GLOW,ticket,00204,ticket_glo_00204,ticket_glo_00204,item_icon_ticket_glo_00204,ピックアップUR1体確定10連ガシャチケット,UR,"999,999,999","999,999,999",ピックアップUR1体確定10連ガシャを引くことができるアイテム,"ガシャデータ未作成
有償販売・プリズム販売・オマケのみ
URキャラ1体確定の10連ガシャチケット。1枚(10連)ずつしか使えない。",2024-01-01 00:00:00
glo,GLOW,ticket,00205,ticket_glo_00205,ticket_glo_00205,item_icon_ticket_glo_00205,URキャラ1体確定10連フェスガシャチケット,UR,"999,999,999","999,999,999",フェス限定URキャラ1体確定10連ガシャを引くことができるアイテム,"ガシャデータ未作成
有償販売・プリズム販売・オマケのみ
URキャラ1体確定の10連ガシャチケット。1枚(10連)ずつしか使えない。",2024-01-01 00:00:00
glo,GLOW,ticket,00206,ticket_glo_00206,ticket_glo_00206,item_icon_ticket_glo_00206,『補てん』スタートダッシュガシャチケット,UR,"999,999,999","999,999,999",72時間限定スタートダッシュガシャを引くことができるアイテム,,2024-01-01 00:00:00
glo,GLOW,ticket,00207,ticket_glo_00207,ticket_glo_00207,item_icon_ticket_glo_00207,『補てん』2026年正月記念！UR1体確定ガシャチケット,UR,"999,999,999","999,999,999",2026年正月記念！UR1体確定ガシャを引くことができるアイテム,,2026-01-01 00:00:00
glo,GLOW,ticket,90000,ticket_glo_90000,ticket_glo_90000,item_icon_ticket_glo_90000,プレミアムメダル,UR,"999,999,999","999,999,999",プレミアムメダルガシャを引くことができるアイテム,,2024-01-01 00:00:00
osh,【推しの子】,ticket,10000,ticket_osh_10000,ticket_osh_10000,item_icon_ticket_osh_10000,【推しの子】SSR確定ガシャチケット,SSR,"999,999,999","999,999,999",【推しの子】SSR確定ガシャを引くことができるアイテム,推しの子イベント用,2026-01-01 00:00:00
glo,GLOW,ticket,10001,ticket_glo_10001,ticket_glo_10001,item_icon_ticket_glo_10001,賀正ガシャチケット Ver.2026,SSR,"999,999,999","999,999,999",賀正ガシャ Ver.2026を引くことができるアイテム。ミッションをクリアしてたくさん集めよう！,正月イベント用,2026-01-01 00:00:00
kim,君のことが大大大大大好きな100人の彼女,ticket,00001,ticket_kim_00001,ticket_kim_00001,item_icon_ticket_kim_00001,SSR彼女確定ガシャチケット,SSR,"999,999,999","999,999,999",SSR彼女確定ガシャを引くことができるアイテム,君のことが大大大大大好きな100人の彼女イベント用,2026-02-16 15:00:00
glo,GLOW,ticket,10002,ticket_glo_10002,ticket_glo_10002,item_icon_ticket_glo_10002,バレンタインピックアップガシャチケット,SSR,"999,999,999","999,999,999",バレンタインピックアップガシャチケットを引くことができるアイテム,バレンタインガシャ用,2026-02-02 15:00:00
glo,GLOW,ticket,10003,ticket_glo_10003,ticket_glo_10003,item_icon_ticket_glo_10003,ホワイトデーピックアップガシャチケット,SSR,"999,999,999","999,999,999",ホワイトデーピックアップガシャチケットを引くことができるアイテム,ホワイトデーガシャ用,2026-01-01 00:00:00
hav1,ハーフアニバーサリー 感謝祭！　前半,ticket,10004,ticket_hav1_10004,ticket_hav1_10004,item_icon_ticket_hav1_10004,ありがとうメダル,SSR,"999,999,999","999,999,999",ありがとうメダルガシャを引くことができるアイテム,ハーフアニバーサリー前半施策のイベントガシャ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
▼キャラ強化アイテム（共通素材）,,,,,,,,,,,,,
glo,GLOW,memory,00001,memory_glo_00001,memory_glo_00001,item_icon_memory_glo_00001,カラーメモリー・グレー,UR,"999,999,999","999,999,999",無属性キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memory,00002,memory_glo_00002,memory_glo_00002,item_icon_memory_glo_00002,カラーメモリー・レッド,UR,"999,999,999","999,999,999",赤属性キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memory,00003,memory_glo_00003,memory_glo_00003,item_icon_memory_glo_00003,カラーメモリー・ブルー,UR,"999,999,999","999,999,999",青属性キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memory,00004,memory_glo_00004,memory_glo_00004,item_icon_memory_glo_00004,カラーメモリー・イエロー,UR,"999,999,999","999,999,999",黄属性キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memory,00005,memory_glo_00005,memory_glo_00005,item_icon_memory_glo_00005,カラーメモリー・グリーン,UR,"999,999,999","999,999,999",緑属性キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memoryfragment,00001,memoryfragment_glo_00001,memoryfragment_glo_00001,item_icon_memoryfragment_glo_00001,メモリーフラグメント・初級,SR,"999,999,999","999,999,999",キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memoryfragment,00002,memoryfragment_glo_00002,memoryfragment_glo_00002,item_icon_memoryfragment_glo_00002,メモリーフラグメント・中級,SSR,"999,999,999","999,999,999",キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
glo,GLOW,memoryfragment,00003,memoryfragment_glo_00003,memoryfragment_glo_00003,item_icon_memoryfragment_glo_00003,メモリーフラグメント・上級,UR,"999,999,999","999,999,999",キャラのLv.上限開放に使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
▼キャラのかけらBOX,,,,,,,,,,,,,
glo,GLOW,box,00001,box_glo_00001,box_glo_00001,item_icon_box_glo_00001,ランダムRキャラのかけらBOX,R,"999,999,999","999,999,999",Rのキャラのかけらがランダムで獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00002,box_glo_00002,box_glo_00002,item_icon_box_glo_00002,ランダムSRキャラのかけらBOX,SR,"999,999,999","999,999,999",SRのキャラのかけらがランダムで獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00003,box_glo_00003,box_glo_00003,item_icon_box_glo_00003,ランダムSSRキャラのかけらBOX,SSR,"999,999,999","999,999,999",SSRのキャラのかけらがランダムで獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00004,box_glo_00004,box_glo_00004,item_icon_box_glo_00004,ランダムURキャラのかけらBOX,UR,"999,999,999","999,999,999",URのキャラのかけらがランダムで獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00005,box_glo_00005,box_glo_00005,item_icon_box_glo_00005,選べるRキャラのかけらBOX,R,"999,999,999","999,999,999",Rのキャラのかけらを選択して獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00006,box_glo_00006,box_glo_00006,item_icon_box_glo_00006,選べるSRキャラのかけらBOX,SR,"999,999,999","999,999,999",SRのキャラのかけらを選択して獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00007,box_glo_00007,box_glo_00007,item_icon_box_glo_00007,選べるSSRキャラのかけらBOX,SSR,"999,999,999","999,999,999",SSRのキャラのかけらを選択して獲得できるアイテムBOX,,2024-01-01 00:00:00
glo,GLOW,box,00008,box_glo_00008,box_glo_00008,item_icon_box_glo_00008,選べるURキャラのかけらBOX,UR,"999,999,999","999,999,999",URのキャラのかけらを選択して獲得できるアイテムBOX,,2024-01-01 00:00:00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
▼キャラのかけら,,,,,,,,,,,,,
,,,,,,,,,,,,,
spy,SPY×FAMILY,piece,00001,piece_spy_00001,piece_spy_00001,item_icon_piece_spy_00001,わくわく アーニャのかけら,UR,"999,999,999","999,999,999",わくわく アーニャのグレードアップに使用するアイテム,,2024-01-01 00:00:00
spy,SPY×FAMILY,piece,00101,piece_spy_00101,piece_spy_00101,item_icon_piece_spy_00101,＜黄昏＞ ロイドのかけら,UR,"999,999,999","999,999,999",＜黄昏＞ ロイドのグレードアップに使用するアイテム,,2024-01-01 00:00:00
spy,SPY×FAMILY,piece,00201,piece_spy_00201,piece_spy_00201,item_icon_piece_spy_00201,＜いばら姫＞ ヨルのかけら,UR,"999,999,999","999,999,999",＜いばら姫＞ ヨルのグレードアップに使用するアイテム,,2024-01-01 00:00:00
spy,SPY×FAMILY,piece,00301,piece_spy_00301,piece_spy_00301,item_icon_piece_spy_00301,ダミアン・デズモンドのかけら,SR,"999,999,999","999,999,999",ダミアン・デズモンドのグレードアップに使用するアイテム,,"¥45,936.625"
spy,SPY×FAMILY,piece,00401,piece_spy_00401,piece_spy_00401,item_icon_piece_spy_00401,フランキー・フランクリンのかけら,SR,"999,999,999","999,999,999",フランキー・フランクリンのグレードアップに使用するアイテム,,"¥45,936.625"
spy,SPY×FAMILY,piece,00501,piece_spy_00501,piece_spy_00501,item_icon_piece_spy_00501,姉を想う盲愛 ユーリ・ブライアのかけら,UR,"999,999,999","999,999,999",姉を想う盲愛 ユーリ・ブライアのグレードアップに使用するアイテム,,"¥45,936.625"
,,,,,,,,,,,,,
aka,ラーメン赤猫,piece,00001,piece_aka_00001,piece_aka_00001,item_icon_piece_aka_00001,佐々木のかけら,R,"999,999,999","999,999,999",佐々木のグレードアップに使用するアイテム,,2024-01-01 00:00:00
aka,ラーメン赤猫,piece,00101,piece_aka_00101,piece_aka_00101,item_icon_piece_aka_00101,文蔵のかけら,R,"999,999,999","999,999,999",文蔵のグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
rik,トマトイプーのリコピン,piece,00001,piece_rik_00001,piece_rik_00001,item_icon_piece_rik_00001,リコピンのかけら,R,"999,999,999","999,999,999",リコピンのグレードアップに使用するアイテム,,2024-01-01 00:00:00
rik,トマトイプーのリコピン,piece,00101,piece_rik_00101,piece_rik_00101,item_icon_piece_rik_00101,甘戸 めめのかけら,R,"999,999,999","999,999,999",甘戸 めめのグレードアップに使用するアイテム,,2024-01-01 00:00:00
,,,,,,,,,,,,,
dan,ダンダダン,piece,00001,piece_dan_00001,piece_dan_00001,item_icon_piece_dan_00001,オカルンのかけら,R,"999,999,999","999,999,999",オカルンのグレードアップに使用するアイテム,,2024-01-01 00:00:00
dan,ダンダダン,piece,00002,piece_dan_00002,piece_dan_00002,item_icon_piece_dan_00002,ターボババアの霊力 オカルンのかけら,UR,"999,999,999","999,999,999",ターボババアの霊力 オカルンのグレードアップに使用するアイテム,,2024-01-01 00:00:00
dan,ダンダダン,piece,00101,piece_dan_00101,piece_dan_00101,item_icon_piece_dan_00101,モモのかけら,SSR,"999,999,999","999,999,999",モモのグレードアップに使用するアイテム,,2024-01-01 00:00:00
