memo
TABLE,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStage,MstStageI18n
ENABLE,id,mst_quest_id,mst_in_game_id,stage_number,recommended_level,cost_stamina,exp,coin,prev_mst_stage_id,mst_stage_tips_group_id,auto_lap_type,max_auto_lap_count,sort_order,asset_key,mst_artwork_fragment_drop_group_id,start_at,end_at,release_key,name.ja
e,stage_sur_christmas_daily_20251222_01,quest_sur_christmas_daily_20251222,ingame_sur_christmas_daily_20251222_01,1,1,1,100,1000,,1,AfterClear,1,1,stage_sur_christmas_daily_20251222_01,__NULL__,"2025-12-22 12:00:00","2026-01-16 10:59:59",1,1話
e,stage_sur_christmas_pack_20251222_01,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_01,1,10,5,50,75,,1,AfterClear,10,1,stage_sur_christmas_pack_20251222_01,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,1話
e,stage_sur_christmas_pack_20251222_02,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_02,2,10,5,50,75,stage_sur_christmas_pack_20251222_01,1,AfterClear,10,2,stage_sur_christmas_pack_20251222_02,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,2話
e,stage_sur_christmas_pack_20251222_03,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_03,3,15,5,50,75,stage_sur_christmas_pack_20251222_02,1,AfterClear,10,3,stage_sur_christmas_pack_20251222_03,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,3話
e,stage_sur_christmas_pack_20251222_04,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_04,4,15,7,70,105,stage_sur_christmas_pack_20251222_03,1,AfterClear,10,4,stage_sur_christmas_pack_20251222_04,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,4話
e,stage_sur_christmas_pack_20251222_05,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_05,5,20,7,70,105,stage_sur_christmas_pack_20251222_04,1,AfterClear,10,5,stage_sur_christmas_pack_20251222_05,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,5話
e,stage_sur_christmas_pack_20251222_06,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_06,6,20,7,70,105,stage_sur_christmas_pack_20251222_05,1,AfterClear,10,6,stage_sur_christmas_pack_20251222_06,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,6話
e,stage_sur_christmas_pack_20251222_07,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_07,7,20,10,100,150,stage_sur_christmas_pack_20251222_06,1,AfterClear,10,7,stage_sur_christmas_pack_20251222_07,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,7話
e,stage_sur_christmas_pack_20251222_08,quest_sur_christmas_story_pack_20251222,ingame_sur_christmas_pack_20251222_08,8,30,10,100,150,stage_sur_christmas_pack_20251222_07,1,AfterClear,10,8,stage_sur_christmas_pack_20251222_08,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,8話
e,stage_sur_christmas_battle_20251222_01,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_01,1,10,5,50,75,,1,AfterClear,10,1,stage_sur_christmas_battle_20251222_01,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,1話
e,stage_sur_christmas_battle_20251222_02,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_02,2,10,5,50,75,stage_sur_christmas_battle_20251222_01,1,AfterClear,10,2,stage_sur_christmas_battle_20251222_02,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,2話
e,stage_sur_christmas_battle_20251222_03,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_03,3,15,5,50,75,stage_sur_christmas_battle_20251222_02,1,AfterClear,10,3,stage_sur_christmas_battle_20251222_03,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,3話
e,stage_sur_christmas_battle_20251222_04,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_04,4,15,7,70,105,stage_sur_christmas_battle_20251222_03,1,AfterClear,10,4,stage_sur_christmas_battle_20251222_04,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,4話
e,stage_sur_christmas_battle_20251222_05,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_05,5,20,7,70,105,stage_sur_christmas_battle_20251222_04,1,AfterClear,10,5,stage_sur_christmas_battle_20251222_05,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,5話
e,stage_sur_christmas_battle_20251222_06,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_06,6,20,7,70,105,stage_sur_christmas_battle_20251222_05,1,AfterClear,10,6,stage_sur_christmas_battle_20251222_06,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,6話
e,stage_sur_christmas_battle_20251222_07,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_07,7,20,10,100,150,stage_sur_christmas_battle_20251222_06,1,AfterClear,10,7,stage_sur_christmas_battle_20251222_07,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,7話
e,stage_sur_christmas_battle_20251222_08,quest_sur_christmas_story_battle_20251222,ingame_sur_christmas_battle_20251222_08,8,30,10,100,150,stage_sur_christmas_battle_20251222_07,1,AfterClear,10,8,stage_sur_christmas_battle_20251222_08,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,8話
e,stage_sur_christmas_challenge_20251222_01,quest_sur_christmas_challenge_20251222,ingame_sur_christmas_challenge_20251222_01,1,30,10,100,150,,1,__NULL__,1,1,stage_sur_christmas_challenge_20251222_01,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,1話
e,stage_sur_christmas_challenge_20251222_02,quest_sur_christmas_challenge_20251222,ingame_sur_christmas_challenge_20251222_02,2,30,15,150,225,,1,__NULL__,1,2,stage_sur_christmas_challenge_20251222_02,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,2話
e,stage_sur_christmas_challenge_20251222_03,quest_sur_christmas_challenge_20251222,ingame_sur_christmas_challenge_20251222_03,3,40,15,150,225,,1,__NULL__,1,3,stage_sur_christmas_challenge_20251222_03,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,3話
e,stage_sur_christmas_challenge_20251222_04,quest_sur_christmas_challenge_20251222,ingame_sur_christmas_challenge_20251222_04,4,50,20,200,300,,1,__NULL__,1,4,stage_sur_christmas_challenge_20251222_04,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,4話
e,stage_sur_christmas_high_20251222_01,quest_sur_christmas_highdifficulty_20251222,ingame_sur_christmas_high_20251222_01,1,70,25,700,375,,1,__NULL__,1,1,stage_sur_christmas_high_20251222_01,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,1話
e,stage_sur_christmas_high_20251222_02,quest_sur_christmas_highdifficulty_20251222,ingame_sur_christmas_high_20251222_02,2,70,25,700,375,,1,__NULL__,1,2,stage_sur_christmas_high_20251222_02,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,2話
e,stage_sur_christmas_high_20251222_03,quest_sur_christmas_highdifficulty_20251222,ingame_sur_christmas_high_20251222_03,3,80,50,1000,400,,1,__NULL__,1,3,stage_sur_christmas_high_20251222_03,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,3話
e,stage_sur_christmas_high_20251222_04,quest_sur_christmas_highdifficulty_20251222,ingame_sur_christmas_high_20251222_04,4,75,50,2500,2000,,1,__NULL__,1,4,stage_sur_christmas_high_20251222_04,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,1話（高難度）
e,stage_sur_christmas_high_20251222_05,quest_sur_christmas_highdifficulty_20251222,ingame_sur_christmas_high_20251222_05,5,80,100,5000,5000,stage_sur_christmas_high_20251222_04,1,__NULL__,1,5,stage_sur_christmas_high_20251222_05,__NULL__,"2025-12-22 15:00:00","2025-12-31 23:59:59",1,2話（高難度）
