memo
TABLE,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup
ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,xmas_advent_rank_reward_001,advent_xmas_2025,Rank,1000,1
e,xmas_advent_rank_reward_002,advent_xmas_2025,Rank,2000,1
e,xmas_advent_rank_reward_003,advent_xmas_2025,Rank,3000,1
e,xmas_advent_rank_reward_004,advent_xmas_2025,Rank,4000,1
e,xmas_advent_rank_reward_005,advent_xmas_2025,Rank,5000,1
e,xmas_advent_rank_reward_006,advent_xmas_2025,Rank,7500,1
e,xmas_advent_rank_reward_007,advent_xmas_2025,Rank,10000,1
e,xmas_advent_rank_reward_008,advent_xmas_2025,Rank,12500,1
e,xmas_advent_rank_reward_009,advent_xmas_2025,Rank,15000,1
e,xmas_advent_rank_reward_010,advent_xmas_2025,Rank,30000,1
e,xmas_advent_rank_reward_011,advent_xmas_2025,Rank,50000,1
e,xmas_advent_rank_reward_012,advent_xmas_2025,Rank,75000,1
e,xmas_advent_rank_reward_013,advent_xmas_2025,Rank,100000,1
e,xmas_advent_rank_reward_014,advent_xmas_2025,Rank,250000,1
e,xmas_advent_rank_reward_015,advent_xmas_2025,Rank,500000,1
e,xmas_advent_rank_reward_016,advent_xmas_2025,Rank,1000000,1
e,xmas_advent_maxscore_001,advent_xmas_2025,MaxScore,5000,1
e,xmas_advent_maxscore_002,advent_xmas_2025,MaxScore,10000,1
e,xmas_advent_maxscore_003,advent_xmas_2025,MaxScore,15000,1
e,xmas_advent_maxscore_004,advent_xmas_2025,MaxScore,20000,1
e,xmas_advent_maxscore_005,advent_xmas_2025,MaxScore,30000,1
e,xmas_advent_maxscore_006,advent_xmas_2025,MaxScore,40000,1
e,xmas_advent_maxscore_007,advent_xmas_2025,MaxScore,50000,1
e,xmas_advent_maxscore_008,advent_xmas_2025,MaxScore,75000,1
e,xmas_advent_maxscore_009,advent_xmas_2025,MaxScore,100000,1
e,xmas_advent_maxscore_010,advent_xmas_2025,MaxScore,200000,1
e,xmas_advent_maxscore_011,advent_xmas_2025,MaxScore,300000,1
e,xmas_advent_ranking_001,advent_xmas_2025,Ranking,1,1
e,xmas_advent_ranking_002,advent_xmas_2025,Ranking,2,1
e,xmas_advent_ranking_003,advent_xmas_2025,Ranking,3,1
e,xmas_advent_ranking_004,advent_xmas_2025,Ranking,50,1
e,xmas_advent_ranking_005,advent_xmas_2025,Ranking,300,1
e,xmas_advent_ranking_006,advent_xmas_2025,Ranking,1000,1
e,xmas_advent_ranking_007,advent_xmas_2025,Ranking,5000,1
e,xmas_advent_ranking_008,advent_xmas_2025,Ranking,10000,1
e,xmas_advent_ranking_009,advent_xmas_2025,Ranking,999999,1
