memo
TABLE,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank
ENABLE,id,mst_advent_battle_id,rank_type,rank_level,required_lower_score,asset_key,release_key
e,advent_battle_christmas_20251222_rank_01,advent_battle_christmas_20251222,Bronze,1,1000,,1
e,advent_battle_christmas_20251222_rank_02,advent_battle_christmas_20251222,Bronze,2,2000,,1
e,advent_battle_christmas_20251222_rank_03,advent_battle_christmas_20251222,Bronze,3,3000,,1
e,advent_battle_christmas_20251222_rank_04,advent_battle_christmas_20251222,Bronze,4,4000,,1
e,advent_battle_christmas_20251222_rank_05,advent_battle_christmas_20251222,Silver,1,5000,,1
e,advent_battle_christmas_20251222_rank_06,advent_battle_christmas_20251222,Silver,2,7500,,1
e,advent_battle_christmas_20251222_rank_07,advent_battle_christmas_20251222,Silver,3,10000,,1
e,advent_battle_christmas_20251222_rank_08,advent_battle_christmas_20251222,Silver,4,12500,,1
e,advent_battle_christmas_20251222_rank_09,advent_battle_christmas_20251222,Gold,1,15000,,1
e,advent_battle_christmas_20251222_rank_10,advent_battle_christmas_20251222,Gold,2,30000,,1
e,advent_battle_christmas_20251222_rank_11,advent_battle_christmas_20251222,Gold,3,50000,,1
e,advent_battle_christmas_20251222_rank_12,advent_battle_christmas_20251222,Gold,4,75000,,1
e,advent_battle_christmas_20251222_rank_13,advent_battle_christmas_20251222,Master,1,100000,,1
e,advent_battle_christmas_20251222_rank_14,advent_battle_christmas_20251222,Master,2,250000,,1
e,advent_battle_christmas_20251222_rank_15,advent_battle_christmas_20251222,Master,3,500000,,1
e,advent_battle_christmas_20251222_rank_16,advent_battle_christmas_20251222,Master,4,1000000,,1
