memo
TABLE,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize
ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,Fest_Xmas_001_001,Fest_Xmas_001_normal,Unit,chara_yuw_00102,1,351,1,1
e,Fest_Xmas_001_002,Fest_Xmas_001_normal,Unit,chara_spy_00101,1,81,0,1
e,Fest_Xmas_001_003,Fest_Xmas_001_normal,Unit,chara_spy_00201,1,81,0,1
e,Fest_Xmas_001_004,Fest_Xmas_001_normal,Unit,chara_spy_00001,1,81,0,1
e,Fest_Xmas_001_005,Fest_Xmas_001_normal,Unit,chara_dan_00002,1,81,0,1
e,Fest_Xmas_001_006,Fest_Xmas_001_normal,Unit,chara_gom_00001,1,81,0,1
e,Fest_Xmas_001_007,Fest_Xmas_001_normal,Unit,chara_chi_00002,1,81,0,1
e,Fest_Xmas_001_008,Fest_Xmas_001_normal,Unit,chara_kai_00002,1,81,0,1
e,Fest_Xmas_001_009,Fest_Xmas_001_normal,Unit,chara_yuw_00001,1,81,0,1
e,Fest_Xmas_001_010,Fest_Xmas_001_normal,Unit,chara_yuw_00101,1,81,0,1
e,Fest_Xmas_001_011,Fest_Xmas_001_normal,Unit,chara_sur_00101,1,81,0,1
e,Fest_Xmas_001_012,Fest_Xmas_001_normal,Unit,chara_jig_00001,1,81,0,1
e,Fest_Xmas_001_013,Fest_Xmas_001_normal,Unit,chara_mag_00001,1,81,0,1
e,Fest_Xmas_001_014,Fest_Xmas_001_normal,Unit,chara_sum_00101,1,81,0,1
e,Fest_Xmas_001_015,Fest_Xmas_001_normal,Unit,chara_dan_00101,1,520,0,1
e,Fest_Xmas_001_016,Fest_Xmas_001_normal,Unit,chara_chi_00201,1,520,0,1
e,Fest_Xmas_001_017,Fest_Xmas_001_normal,Unit,chara_chi_00301,1,520,0,1
e,Fest_Xmas_001_018,Fest_Xmas_001_normal,Unit,chara_kai_00301,1,520,0,1
e,Fest_Xmas_001_019,Fest_Xmas_001_normal,Unit,chara_ron_00001,1,520,0,1
e,Fest_Xmas_001_020,Fest_Xmas_001_normal,Unit,chara_aha_00101,1,520,0,1
e,Fest_Xmas_001_021,Fest_Xmas_001_normal,Unit,chara_jig_00101,1,520,0,1
e,Fest_Xmas_001_022,Fest_Xmas_001_normal,Unit,chara_dos_00001,1,520,0,1
e,Fest_Xmas_001_023,Fest_Xmas_001_normal,Unit,chara_dos_00101,1,520,0,1
e,Fest_Xmas_001_024,Fest_Xmas_001_normal,Unit,chara_gom_00101,1,1638,0,1
e,Fest_Xmas_001_025,Fest_Xmas_001_normal,Unit,chara_bat_00001,1,1638,0,1
e,Fest_Xmas_001_026,Fest_Xmas_001_normal,Unit,chara_bat_00101,1,1638,0,1
e,Fest_Xmas_001_027,Fest_Xmas_001_normal,Unit,chara_kai_00101,1,1638,0,1
e,Fest_Xmas_001_028,Fest_Xmas_001_normal,Unit,chara_sur_00201,1,1638,0,1
e,Fest_Xmas_001_029,Fest_Xmas_001_normal,Unit,chara_sur_00301,1,1638,0,1
e,Fest_Xmas_001_030,Fest_Xmas_001_normal,Unit,chara_aha_00001,1,1638,0,1
e,Fest_Xmas_001_031,Fest_Xmas_001_normal,Unit,chara_jig_00301,1,1638,0,1
e,Fest_Xmas_001_032,Fest_Xmas_001_normal,Unit,chara_mag_00101,1,1638,0,1
e,Fest_Xmas_001_033,Fest_Xmas_001_normal,Unit,chara_sum_00201,1,1638,0,1
e,Fest_Xmas_001_034,Fest_Xmas_001_normal,Unit,chara_aka_00001,1,2704,0,1
e,Fest_Xmas_001_035,Fest_Xmas_001_normal,Unit,chara_aka_00101,1,2704,0,1
e,Fest_Xmas_001_036,Fest_Xmas_001_normal,Unit,chara_rik_00001,1,2704,0,1
e,Fest_Xmas_001_037,Fest_Xmas_001_normal,Unit,chara_ron_00101,1,2704,0,1
e,Fest_Xmas_001_038,Fest_Xmas_001_normal,Unit,chara_dan_00001,1,2704,0,1
e,Fest_Xmas_001_039,Fest_Xmas_001_normal,Unit,chara_chi_00001,1,2704,0,1
e,Fest_Xmas_001_040,Fest_Xmas_001_normal,Unit,chara_kai_00001,1,2704,0,1
e,Fest_Xmas_001_041,Fest_Xmas_001_normal,Unit,chara_sur_00001,1,2704,0,1
e,Fest_Xmas_001_042,Fest_Xmas_001_normal,Unit,chara_sum_00001,1,2704,0,1
e,Fest_Xmas_001_101,Fest_Xmas_001_fixed,Unit,chara_yuw_00102,1,1755,1,1
e,Fest_Xmas_001_102,Fest_Xmas_001_fixed,Unit,chara_spy_00101,1,405,0,1
e,Fest_Xmas_001_103,Fest_Xmas_001_fixed,Unit,chara_spy_00201,1,405,0,1
e,Fest_Xmas_001_104,Fest_Xmas_001_fixed,Unit,chara_spy_00001,1,405,0,1
e,Fest_Xmas_001_105,Fest_Xmas_001_fixed,Unit,chara_dan_00002,1,405,0,1
e,Fest_Xmas_001_106,Fest_Xmas_001_fixed,Unit,chara_gom_00001,1,405,0,1
e,Fest_Xmas_001_107,Fest_Xmas_001_fixed,Unit,chara_chi_00002,1,405,0,1
e,Fest_Xmas_001_108,Fest_Xmas_001_fixed,Unit,chara_kai_00002,1,405,0,1
e,Fest_Xmas_001_109,Fest_Xmas_001_fixed,Unit,chara_yuw_00001,1,405,0,1
e,Fest_Xmas_001_110,Fest_Xmas_001_fixed,Unit,chara_yuw_00101,1,405,0,1
e,Fest_Xmas_001_111,Fest_Xmas_001_fixed,Unit,chara_sur_00101,1,405,0,1
e,Fest_Xmas_001_112,Fest_Xmas_001_fixed,Unit,chara_jig_00001,1,405,0,1
e,Fest_Xmas_001_113,Fest_Xmas_001_fixed,Unit,chara_mag_00001,1,405,0,1
e,Fest_Xmas_001_114,Fest_Xmas_001_fixed,Unit,chara_sum_00101,1,405,0,1
e,Fest_Xmas_001_115,Fest_Xmas_001_fixed,Unit,chara_dan_00101,1,25220,0,1
e,Fest_Xmas_001_116,Fest_Xmas_001_fixed,Unit,chara_chi_00201,1,25220,0,1
e,Fest_Xmas_001_117,Fest_Xmas_001_fixed,Unit,chara_chi_00301,1,25220,0,1
e,Fest_Xmas_001_118,Fest_Xmas_001_fixed,Unit,chara_kai_00301,1,25220,0,1
e,Fest_Xmas_001_119,Fest_Xmas_001_fixed,Unit,chara_ron_00001,1,25220,0,1
e,Fest_Xmas_001_120,Fest_Xmas_001_fixed,Unit,chara_aha_00101,1,25220,0,1
e,Fest_Xmas_001_121,Fest_Xmas_001_fixed,Unit,chara_jig_00101,1,25220,0,1
e,Fest_Xmas_001_122,Fest_Xmas_001_fixed,Unit,chara_dos_00001,1,25220,0,1
e,Fest_Xmas_001_123,Fest_Xmas_001_fixed,Unit,chara_dos_00101,1,25220,0,1
