ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,advent_battle_christmas_2025_12_rw_hs_01,advent_battle_christmas_2025_12_rg_hs_01,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_hs_02,advent_battle_christmas_2025_12_rg_hs_02,Coin,,1000,1
e,advent_battle_christmas_2025_12_rw_hs_03,advent_battle_christmas_2025_12_rg_hs_03,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_hs_04,advent_battle_christmas_2025_12_rg_hs_04,Coin,,2000,1
e,advent_battle_christmas_2025_12_rw_hs_05,advent_battle_christmas_2025_12_rg_hs_05,FreeDiamond,,30,1
e,advent_battle_christmas_2025_12_rw_hs_06,advent_battle_christmas_2025_12_rg_hs_06,Coin,,3000,1
e,advent_battle_christmas_2025_12_rw_hs_07,advent_battle_christmas_2025_12_rg_hs_07,FreeDiamond,,30,1
e,advent_battle_christmas_2025_12_rw_hs_08,advent_battle_christmas_2025_12_rg_hs_08,Coin,,4000,1
e,advent_battle_christmas_2025_12_rw_hs_09,advent_battle_christmas_2025_12_rg_hs_09,FreeDiamond,,50,1
e,advent_battle_christmas_2025_12_rw_hs_10,advent_battle_christmas_2025_12_rg_hs_10,Coin,,5000,1
e,advent_battle_christmas_2025_12_rw_hs_11,advent_battle_christmas_2025_12_rg_hs_11,FreeDiamond,,100,1
e,advent_battle_christmas_2025_12_rw_rank_01,advent_battle_christmas_2025_12_rg_rank_01,FreeDiamond,,10,1
e,advent_battle_christmas_2025_12_rw_rank_01_02,advent_battle_christmas_2025_12_rg_rank_01,Coin,,1000,1
e,advent_battle_christmas_2025_12_rw_rank_01_03,advent_battle_christmas_2025_12_rg_rank_01,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_02,advent_battle_christmas_2025_12_rg_rank_02,FreeDiamond,,10,1
e,advent_battle_christmas_2025_12_rw_rank_02_02,advent_battle_christmas_2025_12_rg_rank_02,Coin,,1000,1
e,advent_battle_christmas_2025_12_rw_rank_02_03,advent_battle_christmas_2025_12_rg_rank_02,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_03,advent_battle_christmas_2025_12_rg_rank_03,FreeDiamond,,10,1
e,advent_battle_christmas_2025_12_rw_rank_03_02,advent_battle_christmas_2025_12_rg_rank_03,Coin,,1000,1
e,advent_battle_christmas_2025_12_rw_rank_03_03,advent_battle_christmas_2025_12_rg_rank_03,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_04,advent_battle_christmas_2025_12_rg_rank_04,FreeDiamond,,10,1
e,advent_battle_christmas_2025_12_rw_rank_04_02,advent_battle_christmas_2025_12_rg_rank_04,Coin,,1000,1
e,advent_battle_christmas_2025_12_rw_rank_04_03,advent_battle_christmas_2025_12_rg_rank_04,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_05,advent_battle_christmas_2025_12_rg_rank_05,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_rank_05_02,advent_battle_christmas_2025_12_rg_rank_05,Coin,,2000,1
e,advent_battle_christmas_2025_12_rw_rank_05_03,advent_battle_christmas_2025_12_rg_rank_05,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_06,advent_battle_christmas_2025_12_rg_rank_06,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_rank_06_02,advent_battle_christmas_2025_12_rg_rank_06,Coin,,2000,1
e,advent_battle_christmas_2025_12_rw_rank_06_03,advent_battle_christmas_2025_12_rg_rank_06,Item,memoryfragment_glo_00001,1,1
e,advent_battle_christmas_2025_12_rw_rank_07,advent_battle_christmas_2025_12_rg_rank_07,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_rank_07_02,advent_battle_christmas_2025_12_rg_rank_07,Coin,,2000,1
e,advent_battle_christmas_2025_12_rw_rank_07_03,advent_battle_christmas_2025_12_rg_rank_07,Item,memoryfragment_glo_00001,2,1
e,advent_battle_christmas_2025_12_rw_rank_08,advent_battle_christmas_2025_12_rg_rank_08,FreeDiamond,,20,1
e,advent_battle_christmas_2025_12_rw_rank_08_02,advent_battle_christmas_2025_12_rg_rank_08,Coin,,2000,1
e,advent_battle_christmas_2025_12_rw_rank_08_03,advent_battle_christmas_2025_12_rg_rank_08,Item,memoryfragment_glo_00001,2,1
e,advent_battle_christmas_2025_12_rw_rank_09,advent_battle_christmas_2025_12_rg_rank_09,FreeDiamond,,30,1
e,advent_battle_christmas_2025_12_rw_rank_09_02,advent_battle_christmas_2025_12_rg_rank_09,Coin,,3000,1
