ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order
e,mission_event_christmas_2025_12_rw_01,1,mission_event_christmas_2025_12_rg_01,Item,memory_chara_sur_00801,200,1
e,mission_event_christmas_2025_12_rw_02,1,mission_event_christmas_2025_12_rg_02,Item,memory_chara_sur_00801,300,1
e,mission_event_christmas_2025_12_rw_03,1,mission_event_christmas_2025_12_rg_03,Item,memory_chara_sur_00801,350,1
e,mission_event_christmas_2025_12_rw_04,1,mission_event_christmas_2025_12_rg_04,Item,item_icon_gasha_ticket_festival,1,1
e,mission_event_christmas_2025_12_rw_05,1,mission_event_christmas_2025_12_rg_05,Item,piece_sur_00801,75,1
e,mission_event_christmas_2025_12_rw_06,1,mission_event_christmas_2025_12_rg_06,Item,piece_sur_00801,100,1
e,mission_event_christmas_2025_12_rw_07,1,mission_event_christmas_2025_12_rg_07,FreeDiamond,,50,1
e,mission_event_christmas_2025_12_rw_08,1,mission_event_christmas_2025_12_rg_08,Item,memory_chara_sur_00701,200,1
e,mission_event_christmas_2025_12_rw_09,1,mission_event_christmas_2025_12_rg_09,Item,memory_chara_sur_00701,300,1
e,mission_event_christmas_2025_12_rw_10,1,mission_event_christmas_2025_12_rg_10,Item,memory_chara_sur_00701,350,1
e,mission_event_christmas_2025_12_rw_11,1,mission_event_christmas_2025_12_rg_11,Item,item_icon_gasha_ticket_festival,1,1
e,mission_event_christmas_2025_12_rw_12,1,mission_event_christmas_2025_12_rg_12,Item,piece_sur_00701,75,1
e,mission_event_christmas_2025_12_rw_13,1,mission_event_christmas_2025_12_rg_13,Item,piece_sur_00701,100,1
e,mission_event_christmas_2025_12_rw_14,1,mission_event_christmas_2025_12_rg_14,FreeDiamond,,50,1
e,mission_event_christmas_2025_12_rw_15,1,mission_event_christmas_2025_12_rg_15,Coin,,12500,1
e,mission_event_christmas_2025_12_rw_16,1,mission_event_christmas_2025_12_rg_16,Coin,,12500,1
e,mission_event_christmas_2025_12_rw_17,1,mission_event_christmas_2025_12_rg_17,Item,item_icon_gasha_ticket_premium,3,1
e,mission_event_christmas_2025_12_rw_18,1,mission_event_christmas_2025_12_rg_18,Item,item_icon_gasha_ticket_festival,1,1
e,mission_event_christmas_2025_12_rw_19,1,mission_event_christmas_2025_12_rg_19,Item,memoryfragment_glo_00001,5,1
e,mission_event_christmas_2025_12_rw_20,1,mission_event_christmas_2025_12_rg_20,Item,memory_glo_00003,200,1
e,mission_event_christmas_2025_12_rw_21,1,mission_event_christmas_2025_12_rg_21,Item,memoryfragment_glo_00002,5,1
e,mission_event_christmas_2025_12_rw_22,1,mission_event_christmas_2025_12_rg_22,Item,memory_glo_00002,200,1
e,mission_event_christmas_2025_12_rw_23,1,mission_event_christmas_2025_12_rg_23,Item,memoryfragment_glo_00002,10,1
e,mission_event_christmas_2025_12_rw_24,1,mission_event_christmas_2025_12_rg_24,Item,memoryfragment_glo_00003,2,1
e,mission_event_christmas_2025_12_rw_25,1,mission_event_christmas_2025_12_rg_25,Coin,,2000,1
e,mission_event_christmas_2025_12_rw_26,1,mission_event_christmas_2025_12_rg_26,FreeDiamond,,20,1
e,mission_event_christmas_2025_12_rw_27,1,mission_event_christmas_2025_12_rg_27,Coin,,3000,1
e,mission_event_christmas_2025_12_rw_28,1,mission_event_christmas_2025_12_rg_28,FreeDiamond,,30,1
