ENABLE,id,release_key,mst_mission_event_daily_bonus_schedule_id,login_day_count,mst_mission_reward_group_id,sort_order,備考
e,event_osh_00001_daily_bonus_01,202512020,event_osh_00001_daily_bonus,1,event_osh_00001_daily_bonus_01,1,【推しの子】SSR確定ガシャ
e,event_osh_00001_daily_bonus_02,202512020,event_osh_00001_daily_bonus,2,event_osh_00001_daily_bonus_02,1,プリズム
e,event_osh_00001_daily_bonus_03,202512020,event_osh_00001_daily_bonus,3,event_osh_00001_daily_bonus_03,1,いいジャンメダル【赤】
e,event_osh_00001_daily_bonus_04,202512020,event_osh_00001_daily_bonus,4,event_osh_00001_daily_bonus_04,1,ピックアップガシャチケット
e,event_osh_00001_daily_bonus_05,202512020,event_osh_00001_daily_bonus,5,event_osh_00001_daily_bonus_05,1,プリズム
e,event_osh_00001_daily_bonus_06,202512020,event_osh_00001_daily_bonus,6,event_osh_00001_daily_bonus_06,1,メモリーフラグメント・初級
e,event_osh_00001_daily_bonus_07,202512020,event_osh_00001_daily_bonus,7,event_osh_00001_daily_bonus_07,1,ピックアップガシャチケット
e,event_osh_00001_daily_bonus_08,202512020,event_osh_00001_daily_bonus,8,event_osh_00001_daily_bonus_08,1,プリズム
e,event_osh_00001_daily_bonus_09,202512020,event_osh_00001_daily_bonus,9,event_osh_00001_daily_bonus_09,1,コイン
e,event_osh_00001_daily_bonus_10,202512020,event_osh_00001_daily_bonus,10,event_osh_00001_daily_bonus_10,1,スペシャルガシャチケット
e,event_osh_00001_daily_bonus_11,202512020,event_osh_00001_daily_bonus,11,event_osh_00001_daily_bonus_11,1,メモリーフラグメント・中級
e,event_osh_00001_daily_bonus_12,202512020,event_osh_00001_daily_bonus,12,event_osh_00001_daily_bonus_12,1,コイン
e,event_osh_00001_daily_bonus_13,202512020,event_osh_00001_daily_bonus,13,event_osh_00001_daily_bonus_13,1,プリズム
e,event_osh_00001_daily_bonus_14,202512020,event_osh_00001_daily_bonus,14,event_osh_00001_daily_bonus_14,1,メモリーフラグメント・初級
e,event_osh_00001_daily_bonus_15,202512020,event_osh_00001_daily_bonus,15,event_osh_00001_daily_bonus_15,1,スペシャルガシャチケット
