ENABLE,id,release_key,mst_mission_event_daily_bonus_schedule_id,login_day_count,mst_mission_reward_group_id,sort_order,備考
e,event_jig_00001_daily_bonus_01,202601010,event_jig_00001_daily_bonus,1,event_jig_00001_daily_bonus_01,1,
e,event_jig_00001_daily_bonus_02,202601010,event_jig_00001_daily_bonus,2,event_jig_00001_daily_bonus_02,1,
e,event_jig_00001_daily_bonus_03,202601010,event_jig_00001_daily_bonus,3,event_jig_00001_daily_bonus_03,1,
e,event_jig_00001_daily_bonus_04,202601010,event_jig_00001_daily_bonus,4,event_jig_00001_daily_bonus_04,1,
e,event_jig_00001_daily_bonus_05,202601010,event_jig_00001_daily_bonus,5,event_jig_00001_daily_bonus_05,1,
e,event_jig_00001_daily_bonus_06,202601010,event_jig_00001_daily_bonus,6,event_jig_00001_daily_bonus_06,1,
e,event_jig_00001_daily_bonus_07,202601010,event_jig_00001_daily_bonus,7,event_jig_00001_daily_bonus_07,1,
e,event_jig_00001_daily_bonus_08,202601010,event_jig_00001_daily_bonus,8,event_jig_00001_daily_bonus_08,1,
e,event_jig_00001_daily_bonus_09,202601010,event_jig_00001_daily_bonus,9,event_jig_00001_daily_bonus_09,1,
e,event_jig_00001_daily_bonus_10,202601010,event_jig_00001_daily_bonus,10,event_jig_00001_daily_bonus_10,1,
e,event_jig_00001_daily_bonus_11,202601010,event_jig_00001_daily_bonus,11,event_jig_00001_daily_bonus_11,1,
e,event_jig_00001_daily_bonus_12,202601010,event_jig_00001_daily_bonus,12,event_jig_00001_daily_bonus_12,1,
e,event_jig_00001_daily_bonus_13,202601010,event_jig_00001_daily_bonus,13,event_jig_00001_daily_bonus_13,1,
e,event_jig_00001_daily_bonus_14,202601010,event_jig_00001_daily_bonus,14,event_jig_00001_daily_bonus_14,1,
e,event_jig_00001_daily_bonus_15,202601010,event_jig_00001_daily_bonus,15,event_jig_00001_daily_bonus_15,1,
e,event_jig_00001_daily_bonus_16,202601010,event_jig_00001_daily_bonus,16,event_jig_00001_daily_bonus_16,1,
e,event_jig_00001_daily_bonus_17,202601010,event_jig_00001_daily_bonus,17,event_jig_00001_daily_bonus_17,1,
