ENABLE,release_key,id,mst_mission_achievement_id,language,description
e,202601010,achievement_202601010_1_ja,achievement_202601010_1,ja,メイ をグレード2まで強化しよう
e,202601010,achievement_202601010_2_ja,achievement_202601010_2,ja,メイ をグレード3まで強化しよう
e,202601010,achievement_202601010_3_ja,achievement_202601010_3,ja,メイ をグレード4まで強化しよう
e,202601010,achievement_202601010_4_ja,achievement_202601010_4,ja,メイ をグレード5まで強化しよう
e,202601010,achievement_202601010_5_ja,achievement_202601010_5,ja,メイ をLv.20まで強化しよう
e,202601010,achievement_202601010_6_ja,achievement_202601010_6,ja,メイ をLv.30まで強化しよう
e,202601010,achievement_202601010_7_ja,achievement_202601010_7,ja,メイ をLv.40まで強化しよう
e,202601010,achievement_202601010_8_ja,achievement_202601010_8,ja,メイ をLv.50まで強化しよう
e,202601010,achievement_202601010_9_ja,achievement_202601010_9,ja,メイ をLv.60まで強化しよう
e,202601010,achievement_202601010_10_ja,achievement_202601010_10,ja,メイ をLv.70まで強化しよう
e,202601010,achievement_202601010_11_ja,achievement_202601010_11,ja,メイ をLv.80まで強化しよう
e,202601010,achievement_202601010_12_ja,achievement_202601010_12,ja,民谷 巌鉄斎 をグレード2まで強化しよう
e,202601010,achievement_202601010_13_ja,achievement_202601010_13,ja,民谷 巌鉄斎 をグレード3まで強化しよう
e,202601010,achievement_202601010_14_ja,achievement_202601010_14,ja,民谷 巌鉄斎 をグレード4まで強化しよう
e,202601010,achievement_202601010_15_ja,achievement_202601010_15,ja,民谷 巌鉄斎 をグレード5まで強化しよう
e,202601010,achievement_202601010_16_ja,achievement_202601010_16,ja,民谷 巌鉄斎 をLv.20まで強化しよう
e,202601010,achievement_202601010_17_ja,achievement_202601010_17,ja,民谷 巌鉄斎 をLv.30まで強化しよう
e,202601010,achievement_202601010_18_ja,achievement_202601010_18,ja,民谷 巌鉄斎 をLv.40まで強化しよう
e,202601010,achievement_202601010_19_ja,achievement_202601010_19,ja,民谷 巌鉄斎 をLv.50まで強化しよう
e,202601010,achievement_202601010_20_ja,achievement_202601010_20,ja,民谷 巌鉄斎 をLv.60まで強化しよう
e,202601010,achievement_202601010_21_ja,achievement_202601010_21,ja,民谷 巌鉄斎 をLv.70まで強化しよう
e,202601010,achievement_202601010_22_ja,achievement_202601010_22,ja,民谷 巌鉄斎 をLv.80まで強化しよう
e,202601010,achievement_202601010_23_ja,achievement_202601010_23,ja,ストーリークエスト「必ず生きて帰る」をクリアしよう
e,202601010,achievement_202601010_24_ja,achievement_202601010_24,ja,ストーリークエスト「朱印の者たち」をクリアしよう
e,202601010,achievement_202601010_25_ja,achievement_202601010_25,ja,チャレンジクエスト「死罪人と首切り役人」をクリアしよう
e,202601010,achievement_202601010_26_ja,achievement_202601010_26,ja,高難易度「手負いの獣は恐ろしいぞ」をクリアしよう
e,202601010,achievement_202601010_27_ja,achievement_202601010_27,ja,敵を10体撃破しよう
e,202601010,achievement_202601010_28_ja,achievement_202601010_28,ja,敵を20体撃破しよう
e,202601010,achievement_202601010_29_ja,achievement_202601010_29,ja,敵を30体撃破しよう
e,202601010,achievement_202601010_30_ja,achievement_202601010_30,ja,敵を40体撃破しよう
e,202601010,achievement_202601010_31_ja,achievement_202601010_31,ja,敵を50体撃破しよう
e,202601010,achievement_202601010_32_ja,achievement_202601010_32,ja,敵を60体撃破しよう
e,202601010,achievement_202601010_33_ja,achievement_202601010_33,ja,敵を70体撃破しよう
e,202601010,achievement_202601010_34_ja,achievement_202601010_34,ja,敵を80体撃破しよう
e,202601010,achievement_202601010_35_ja,achievement_202601010_35,ja,敵を90体撃破しよう
e,202601010,achievement_202601010_36_ja,achievement_202601010_36,ja,敵を100体撃破しよう
e,202601010,achievement_202601010_37_ja,achievement_202601010_37,ja,敵を150体撃破しよう
e,202601010,achievement_202601010_38_ja,achievement_202601010_38,ja,敵を200体撃破しよう
e,202601010,achievement_202601010_39_ja,achievement_202601010_39,ja,敵を300体撃破しよう
e,202601010,achievement_202601010_40_ja,achievement_202601010_40,ja,敵を400体撃破しよう
e,202601010,achievement_202601010_41_ja,achievement_202601010_41,ja,敵を500体撃破しよう
e,202601010,achievement_202601010_42_ja,achievement_202601010_42,ja,敵を750体撃破しよう
e,202601010,achievement_202601010_43_ja,achievement_202601010_43,ja,敵を1000体撃破しよう
