ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,228,event_mag1_1day_00001,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202511010
e,229,event_mag1_charaget01_00001,FirstClear,Unit,chara_mag_00501,1,100,1,202511010
e,230,event_mag1_charaget01_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202511010
e,231,event_mag1_charaget01_00001,FirstClear,Coin,,250,100,3,202511010
e,232,event_mag1_charaget01_00001,Random,Item,piece_mag_00501,1,10,4,202511010
e,233,event_mag1_charaget01_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,234,event_mag1_charaget01_00002,FirstClear,Coin,,250,100,2,202511010
e,235,event_mag1_charaget01_00002,Random,Item,piece_mag_00501,1,15,3,202511010
e,236,event_mag1_charaget01_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,237,event_mag1_charaget01_00003,FirstClear,Coin,,250,100,2,202511010
e,238,event_mag1_charaget01_00003,Random,Item,piece_mag_00501,1,20,3,202511010
e,239,event_mag1_charaget01_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,240,event_mag1_charaget01_00004,FirstClear,Coin,,350,100,2,202511010
e,241,event_mag1_charaget01_00004,Random,Item,piece_mag_00501,3,25,3,202511010
e,242,event_mag1_charaget01_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,243,event_mag1_charaget01_00005,FirstClear,Coin,,350,100,2,202511010
e,244,event_mag1_charaget01_00005,FirstClear,Item,memory_chara_mag_00501,200,100,3,202511010
e,245,event_mag1_charaget01_00005,Random,Item,piece_mag_00501,3,30,4,202511010
e,246,event_mag1_charaget01_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,247,event_mag1_charaget01_00006,FirstClear,Coin,,350,100,2,202511010
e,248,event_mag1_charaget01_00006,FirstClear,Item,memory_chara_mag_00501,250,100,3,202511010
e,249,event_mag1_charaget01_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202511010
e,250,event_mag1_charaget01_00006,Random,Item,piece_mag_00501,3,40,5,202511010
e,251,event_mag1_charaget01_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,252,event_mag1_charaget01_00007,FirstClear,Coin,,500,100,2,202511010
e,253,event_mag1_charaget01_00007,FirstClear,Item,memory_chara_mag_00501,300,100,3,202511010
e,254,event_mag1_charaget01_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202511010
e,255,event_mag1_charaget01_00007,Random,Item,piece_mag_00501,3,45,5,202511010
e,256,event_mag1_charaget01_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,257,event_mag1_charaget01_00008,FirstClear,Coin,,500,100,2,202511010
e,258,event_mag1_charaget01_00008,FirstClear,Item,memory_chara_mag_00501,350,100,3,202511010
e,259,event_mag1_charaget01_00008,FirstClear,Item,memoryfragment_glo_00003,1,100,4,202511010
e,260,event_mag1_charaget01_00008,Random,Item,piece_mag_00501,5,60,5,202511010
e,261,event_mag1_charaget02_00001,FirstClear,Unit,chara_mag_00401,1,100,1,202511010
e,262,event_mag1_charaget02_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202511010
e,263,event_mag1_charaget02_00001,FirstClear,Coin,,250,100,3,202511010
e,264,event_mag1_charaget02_00001,Random,Item,piece_mag_00401,1,10,4,202511010
e,265,event_mag1_charaget02_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,266,event_mag1_charaget02_00002,FirstClear,Coin,,250,100,2,202511010
e,267,event_mag1_charaget02_00002,Random,Item,piece_mag_00401,1,15,3,202511010
e,268,event_mag1_charaget02_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,269,event_mag1_charaget02_00003,FirstClear,Coin,,250,100,2,202511010
e,270,event_mag1_charaget02_00003,Random,Item,piece_mag_00401,1,20,3,202511010
e,271,event_mag1_charaget02_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,272,event_mag1_charaget02_00004,FirstClear,Coin,,350,100,2,202511010
e,273,event_mag1_charaget02_00004,Random,Item,piece_mag_00401,3,25,3,202511010
e,274,event_mag1_charaget02_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,275,event_mag1_charaget02_00005,FirstClear,Coin,,350,100,2,202511010
e,276,event_mag1_charaget02_00005,FirstClear,Item,memory_chara_mag_00401,200,100,3,202511010
e,277,event_mag1_charaget02_00005,Random,Item,piece_mag_00401,3,30,4,202511010
e,278,event_mag1_charaget02_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,279,event_mag1_charaget02_00006,FirstClear,Coin,,350,100,2,202511010
e,280,event_mag1_charaget02_00006,FirstClear,Item,memory_chara_mag_00401,250,100,3,202511010
e,281,event_mag1_charaget02_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202511010
e,282,event_mag1_charaget02_00006,Random,Item,piece_mag_00401,3,40,5,202511010
e,283,event_mag1_charaget02_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,284,event_mag1_charaget02_00007,FirstClear,Coin,,500,100,2,202511010
e,285,event_mag1_charaget02_00007,FirstClear,Item,memory_chara_mag_00401,300,100,3,202511010
e,286,event_mag1_charaget02_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202511010
e,287,event_mag1_charaget02_00007,Random,Item,piece_mag_00401,3,45,5,202511010
e,288,event_mag1_charaget02_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511010
e,289,event_mag1_charaget02_00008,FirstClear,Coin,,500,100,2,202511010
e,290,event_mag1_charaget02_00008,FirstClear,Item,memory_chara_mag_00401,350,100,3,202511010
e,291,event_mag1_charaget02_00008,FirstClear,Item,memoryfragment_glo_00003,1,100,4,202511010
e,292,event_mag1_charaget02_00008,Random,Item,piece_mag_00401,5,60,5,202511010
e,293,event_mag1_challenge01_00001,FirstClear,Item,ticket_glo_00003,1,100,1,202511010
e,294,event_mag1_challenge01_00002,FirstClear,Item,piece_mag_00301,50,100,1,202511010
e,295,event_mag1_challenge01_00002,FirstClear,Item,ticket_glo_00003,1,100,2,202511010
e,296,event_mag1_challenge01_00003,FirstClear,Item,piece_mag_00001,50,100,1,202511010
e,297,event_mag1_challenge01_00003,FirstClear,Item,ticket_glo_00003,1,100,2,202511010
e,298,event_mag1_challenge01_00004,FirstClear,Item,piece_mag_00201,50,100,1,202511010
e,299,event_mag1_challenge01_00004,FirstClear,Item,ticket_glo_00003,1,100,2,202511010
e,300,event_mag1_savage_00001,FirstClear,Emblem,emblem_event_mag_00002,1,100,1,202511010
e,301,event_mag1_savage_00001,FirstClear,FreeDiamond,prism_glo_00001,100,100,2,202511010
e,302,event_mag1_savage_00002,FirstClear,Emblem,emblem_event_mag_00003,1,100,1,202511010
e,303,event_mag1_savage_00002,FirstClear,FreeDiamond,prism_glo_00001,100,100,2,202511010
e,304,event_mag1_savage_00003,FirstClear,FreeDiamond,prism_glo_00001,100,100,1,202511010
e,305,event_mag1_savage_00003,FirstClear,Coin,,5000,100,2,202511010
