ENABLE,id,mst_unit_id,bonus_percentage,event_bonus_group_id,is_pick_up,release_key
e,19,chara_mag_00001,30,raid_mag1_00001,,202511010
e,20,chara_mag_00101,30,raid_mag1_00001,,202511010
e,21,chara_mag_00201,30,raid_mag1_00001,,202511010
e,22,chara_mag_00301,30,raid_mag1_00001,,202511010
e,23,chara_mag_00401,30,raid_mag1_00001,,202511010
e,24,chara_kai_00101,30,raid_kai_00002,,202511010
e,25,chara_kai_00301,30,raid_kai_00002,,202511010
e,26,chara_kai_00001,30,raid_kai_00002,,202511010
e,27,chara_kai_00002,30,raid_kai_00002,,202511010
e,28,chara_kai_00201,30,raid_kai_00002,,202511010
e,29,chara_kai_00401,30,raid_kai_00002,,202511010
e,30,chara_kai_00501,30,raid_kai_00002,,202511010
e,31,chara_kai_00601,30,raid_kai_00002,,202511010
