ENABLE,release_key,id,mst_mission_achievement_id,language,description
e,202509010,achievement_2_1_ja,achievement_2_1,ja,「ジャンブルラッシュ」の公式Xをフォローしよう
e,202509010,achievement_2_2_ja,achievement_2_2,ja,アカウント連携をしよう\n※メニュー >アカウント連携から可能です
e,202509010,achievement_2_3_ja,achievement_2_3,ja,「ジャンブルラッシュ情報局」を確認しよう
e,202509010,achievement_2_4_ja,achievement_2_4,ja,累計10日ログインしよう
e,202509010,achievement_2_5_ja,achievement_2_5,ja,累計20日ログインしよう
e,202509010,achievement_2_6_ja,achievement_2_6,ja,累計30日ログインしよう
e,202509010,achievement_2_7_ja,achievement_2_7,ja,累計40日ログインしよう
e,202509010,achievement_2_8_ja,achievement_2_8,ja,累計50日ログインしよう
e,202509010,achievement_2_9_ja,achievement_2_9,ja,累計60日ログインしよう
e,202509010,achievement_2_10_ja,achievement_2_10,ja,累計70日ログインしよう
e,202509010,achievement_2_11_ja,achievement_2_11,ja,累計80日ログインしよう
e,202509010,achievement_2_12_ja,achievement_2_12,ja,累計90日ログインしよう
e,202509010,achievement_2_13_ja,achievement_2_13,ja,累計100日ログインしよう
e,202509010,achievement_2_14_ja,achievement_2_14,ja,累計110日ログインしよう
e,202509010,achievement_2_15_ja,achievement_2_15,ja,累計120日ログインしよう
e,202509010,achievement_2_16_ja,achievement_2_16,ja,累計130日ログインしよう
e,202509010,achievement_2_17_ja,achievement_2_17,ja,累計140日ログインしよう
e,202509010,achievement_2_18_ja,achievement_2_18,ja,累計150日ログインしよう
e,202509010,achievement_2_19_ja,achievement_2_19,ja,累計160日ログインしよう
e,202509010,achievement_2_20_ja,achievement_2_20,ja,累計170日ログインしよう
e,202509010,achievement_2_21_ja,achievement_2_21,ja,累計180日ログインしよう
e,202509010,achievement_2_22_ja,achievement_2_22,ja,累計190日ログインしよう
e,202509010,achievement_2_23_ja,achievement_2_23,ja,累計200日ログインしよう
e,202509010,achievement_2_24_ja,achievement_2_24,ja,累計250日ログインしよう
e,202509010,achievement_2_25_ja,achievement_2_25,ja,累計300日ログインしよう
e,202509010,achievement_2_26_ja,achievement_2_26,ja,探索で探索報酬を累計50回受け取ろう
e,202509010,achievement_2_27_ja,achievement_2_27,ja,探索で探索報酬を累計100回受け取ろう
e,202509010,achievement_2_28_ja,achievement_2_28,ja,探索で探索報酬を累計500回受け取ろう
e,202509010,achievement_2_29_ja,achievement_2_29,ja,敵を累計10体撃破しよう
e,202509010,achievement_2_30_ja,achievement_2_30,ja,敵を累計50体撃破しよう
e,202509010,achievement_2_31_ja,achievement_2_31,ja,敵を累計100体撃破しよう
e,202509010,achievement_2_32_ja,achievement_2_32,ja,敵を累計200体撃破しよう
e,202509010,achievement_2_33_ja,achievement_2_33,ja,敵を累計300体撃破しよう
e,202509010,achievement_2_34_ja,achievement_2_34,ja,敵を累計500体撃破しよう
e,202509010,achievement_2_35_ja,achievement_2_35,ja,"敵を累計1,000体撃破しよう"
e,202509010,achievement_2_36_ja,achievement_2_36,ja,強敵を累計10体撃破しよう
e,202509010,achievement_2_37_ja,achievement_2_37,ja,強敵を累計50体撃破しよう
e,202509010,achievement_2_38_ja,achievement_2_38,ja,強敵を累計100体撃破しよう
e,202509010,achievement_2_39_ja,achievement_2_39,ja,キャラのLv.を累計50回強化しよう
