memo
TABLE,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter,MstEnemyStageParameter
ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202602010,enemy_you_00001_w0,c_you_00001,Normal,Defense,Green,1,10000,0,1.2,30,100,3.5,,1,,,
e,202602010,enemy_you_00101_w0,c_you_00101,Normal,Attack,Green,2,4000,0,1.8,30,200,3.5,,2,,,
e,202602010,enemy_you_00001_w1_normal,c_you_00001,Normal,Defense,Green,3,20000,0,2.5,30,100,3.5,,5,,,
e,202602010,enemy_you_00001_w1_rita,c_you_00001,Normal,Attack,Colorless,4,10000,0,2.8,30,200,2.67,ability_you_00001_01,10,,,
e,202602010,enemy_you_00201_w1_dag,c_you_00201,Boss,Technical,Green,5,80000,0,1,30,840,4,ability_you_00201_01,84,,,
e,202602010,enemy_you_00001_w2_normal,c_you_00001,Normal,Defense,Green,6,25000,0,2.5,30,300,3.5,,10,,,
e,202602010,enemy_you_00101_w2_normal,c_you_00101,Normal,Attack,Green,7,10000,0,1.8,30,800,3.5,,20,,,
e,202602010,enemy_you_00101_w2_luke,c_you_00101,Boss,Technical,Green,8,200000,0,1,30,2080,4.8,ability_you_00101_01,208,,,
e,202602010,enemy_you_00001_w3_normal,c_you_00001,Normal,Defense,Green,9,50000,0,1.5,30,500,3.5,,20,,,
e,202602010,enemy_you_00301_w3_hana,c_you_00301,Boss,Attack,Green,10,300000,0,1,30,3010,10.88,,301,,,
e,202602010,enemy_you_00001_w4_normal,c_you_00001,Normal,Defense,Green,11,80000,0,1,30,800,3.5,,30,,,
e,202602010,enemy_you_00101_w4_normal,c_you_00101,Normal,Attack,Green,12,60000,0,1,30,1200,3.5,,40,,,
e,202602010,enemy_you_00101_w4_boss,c_you_00101,Boss,Attack,Colorless,13,500000,0,1,30,5015,15.63,,501,,,
e,202602010,enemy_you_00001_w5_normal,c_you_00001,Normal,Defense,Green,14,100000,0,2.2,30,1000,3.5,,40,,,
e,202602010,enemy_you_00001_w5_rita,c_you_00001,Boss,Attack,Green,15,700000,0,1,30,7022,22.67,ability_you_00001_01,702,,,
e,202602010,enemy_you_00201_w5_dag,c_you_00201,Normal,Technical,Green,16,400000,0,1.5,30,4001,15.83,ability_you_00201_01,400,,,
e,202602010,enemy_you_00301_w5_hana,c_you_00301,Normal,Attack,Colorless,17,350000,0,1,30,3501,18.88,,350,,,
e,202602010,enemy_you_00001_w6_boss,c_you_00001,Boss,Defense,Colorless,18,800000,1,2.5,30,8015,15.63,,801,,,
e,202602010,enemy_you_00101_w6_boss,c_you_00101,Boss,Attack,Colorless,19,500000,1,1,30,5030,30.63,,503,,,
e,202602010,enemy_you_00001_w6_normal,c_you_00001,Normal,Defense,Green,20,100000,0,1,30,1000,3.5,,50,,,
e,202602010,enemy_you_00101_w6_normal,c_you_00101,Normal,Attack,Green,21,80000,0,2.5,30,1500,3.5,,60,,,
