,,,,,,,,,,,,,,,,
,mst_in_game_id,,,language,,result_tips,,,,,,,,,文字数,
,event_you1_savage_00001,,,ja,,"キャラを強化してみよう!
赤属性のキャラを編成してみよう!",,,,,,,,,,29
,event_you1_savage_00002,,,ja,,"キャラを強化してみよう!
毒ダメージ軽減のキャラを編成してみよう!",,,,,,,,,,33
,event_you1_savage_00003,,,ja,,"毒ダメージ軽減のキャラを編成してみよう!
赤属性のキャラを編成してみよう!",,,,,,,,,,37
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
