ENABLE,release_key,id,mst_item_id,language,name,description
e,202512020,memory_chara_osh_00601_ja,memory_chara_osh_00601,ja,ぴえヨンのメモリー,ぴえヨンのLv.上限開放に使用するアイテム
e,202512020,piece_osh_00001_ja,piece_osh_00001,ja,"B小町不動のセンター アイのかけら","B小町不動のセンター アイのグレードアップに使用するアイテム"
e,202512020,piece_osh_00101_ja,piece_osh_00101,ja,"復讐を誓う片星 星野 アクアのかけら","復讐を誓う片星 星野 アクアのグレードアップに使用するアイテム"
e,202512020,piece_osh_00201_ja,piece_osh_00201,ja,"星野 ルビーのかけら","星野 ルビーのグレードアップに使用するアイテム"
e,202512020,piece_osh_00301_ja,piece_osh_00301,ja,MEMちょのかけら,MEMちょのグレードアップに使用するアイテム
e,202512020,piece_osh_00401_ja,piece_osh_00401,ja,"有馬 かなのかけら","有馬 かなのグレードアップに使用するアイテム"
e,202512020,piece_osh_00501_ja,piece_osh_00501,ja,"黒川 あかねのかけら","黒川 あかねのグレードアップに使用するアイテム"
e,202512020,piece_osh_00601_ja,piece_osh_00601,ja,ぴえヨンのかけら,ぴえヨンのグレードアップに使用するアイテム
e,202512020,ticket_glo_00207_ja,ticket_glo_00207,ja,"『補てん』\n2026年正月記念！UR1体確定ガシャチケット",2026年正月記念！UR1体確定ガシャを引くことができるアイテム
e,202512020,ticket_osh_10000_ja,ticket_osh_10000,ja,【推しの子】SSR確定ガシャチケット,【推しの子】SSR確定ガシャを引くことができるアイテム
e,202512020,ticket_glo_10001_ja,ticket_glo_10001,ja,"賀正ガシャチケット Ver.2026",賀正ガシャ2026を引くことができるアイテム。ミッションをクリアしてたくさん集めよう！
e,202512020,item_glo_00001_ja,item_glo_00001,ja,いいジャン祭メダル【赤】,交換所で使用できるアイテム
