ENABLE,release_key,id,mst_emblem_id,language,name,description
e,202512020,emblem_normal_osh_00001_ja,emblem_normal_osh_00001,ja,【推しの子】,メインクエスト『【推しの子】』のステージを全てクリアした証
e,202512020,emblem_event_osh_00001_ja,emblem_event_osh_00001,ja,嘘吐き,復讐を誓う星を模ったエンブレム
e,202512020,emblem_event_osh_00002_ja,emblem_event_osh_00002,ja,B小町,苺プロ所属のアイドルグループ「B小町」のロゴのエンブレム
e,202512020,emblem_event_osh_00003_ja,emblem_event_osh_00003,ja,アイ推し！,B小町のアイドル、アイ推しであることの証
e,202512020,emblem_event_osh_00004_ja,emblem_event_osh_00004,ja,ルビー推し！,新生B小町のアイドル、ルビー推しであることの証
e,202512020,emblem_event_osh_00005_ja,emblem_event_osh_00005,ja,MEMちょ推し！,新生B小町のアイドル、MEMちょ推しであることの証
e,202512020,emblem_event_osh_00006_ja,emblem_event_osh_00006,ja,有馬かな推し！,"新生B小町のアイドル、有馬 かな推しであることの証"
e,202512020,emblem_event_osh_00007_ja,emblem_event_osh_00007,ja,黒川あかね推し！,"女優、黒川 あかね推しであることの証"
e,202512020,emblem_event_osh_00008_ja,emblem_event_osh_00008,ja,筋肉推し！,ぴえヨンにも匹敵するその筋肉…！そう、筋肉は全てを解決する！
e,202512020,emblem_event_osh_00009_ja,emblem_event_osh_00009,ja,アクア推し！,俳優、アクア推しであることの証
e,202512020,emblem_event_osh_00010_ja,emblem_event_osh_00010,ja,アイのサイン,B小町のアイドル、アイのサインのエンブレム
e,202512020,emblem_adventbattle_osh_season01_00001_ja,emblem_adventbattle_osh_season01_00001,ja,最強で無敵のアイドル(1位),2026年1月開催降臨バトル『ファーストライブ』1位の証
e,202512020,emblem_adventbattle_osh_season01_00002_ja,emblem_adventbattle_osh_season01_00002,ja,最強で無敵のアイドル(2位),2026年1月開催降臨バトル『ファーストライブ』2位の証
e,202512020,emblem_adventbattle_osh_season01_00003_ja,emblem_adventbattle_osh_season01_00003,ja,最強で無敵のアイドル(3位),2026年1月開催降臨バトル『ファーストライブ』3位の証
e,202512020,emblem_adventbattle_osh_season01_00004_ja,emblem_adventbattle_osh_season01_00004,ja,最強で無敵のアイドル(4~50位),2026年1月開催降臨バトル『ファーストライブ』4~50位の証
e,202512020,emblem_adventbattle_osh_season01_00005_ja,emblem_adventbattle_osh_season01_00005,ja,最強で無敵のアイドル(51~300位),2026年1月開催降臨バトル『ファーストライブ』51~300位の証
e,202512020,emblem_adventbattle_osh_season01_00006_ja,emblem_adventbattle_osh_season01_00006,ja,"最強で無敵のアイドル(301~1,000位)","2026年1月開催降臨バトル『ファーストライブ』301~1,000位の証"
e,202512020,emblem_event_glo_00001_ja,emblem_event_glo_00001,ja,祝！2026,あけましておめでとう！2026年も素敵なジャンブラライフになりますように！
e,202512020,emblem_event_glo_00002_ja,emblem_event_glo_00002,ja,開運,脅威の確率を引き当てた証。これを手にしたリーダーの運の良さは天下一。まさに「強運」の持ち主！
