memo
TABLE,MstDungeonCard,MstDungeonCard,MstDungeonCard,MstDungeonCard,MstDungeonCard,MstDungeonCard,MstDungeonCard,MstDungeonCardI18n,MstDungeonCardI18n
ENABLE,id,release_key,icon_asset_key,background_asset_key,rarity,mst_attack_id,name.ja,description.ja
e,dungeon_card_roulette_00001,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,R,chara_dan_00001_Normal_00000,攻撃力アップ,全ロールの味方キャラの攻撃ステータスを20%アップする
e,dungeon_card_roulette_00002,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,R,chara_dan_00001_Normal_00000,ダメージカット,全ロールの味方キャラが受けるダメージを10%カットする
e,dungeon_card_roulette_00003,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,N,chara_dan_00001_Normal_00000,リーダーP加算,リーダーポイントを50加算する
e,dungeon_card_roulette_00004,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,N,chara_dan_00001_Normal_00000,必殺ワザ速度アップ,必殺ワザの発動時間を3秒短縮する
e,dungeon_card_roulette_00005,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,R,chara_dan_00001_Normal_00000,オブジェクト配置,相手にダメージを与えるオブジェクトをランダム配置する
e,dungeon_card_sel_rare_00001,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SR,chara_dan_00001_Normal_00000,攻撃力大アップ,全ロールの味方キャラの攻撃ステータスを40%アップする
e,dungeon_card_sel_rare_00002,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SR,chara_dan_00001_Normal_00000,ダメージ大カット,全ロールの味方キャラが受けるダメージを20%カットする
e,dungeon_card_sel_rare_00003,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SR,chara_dan_00001_Normal_00000,HP回復,全ロールの味方キャラのHPを1000回復する
e,dungeon_card_sel_boss_00001,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SR,chara_dan_00001_Normal_00000,制限時間延長,制限時間を30秒延長する
e,dungeon_card_sel_boss_00002,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SR,chara_dan_00001_Normal_00000,無敵付与,召喚中の味方キャラを5秒間無敵状態にする
e,dungeon_card_sel_boss_00003,999999999,dungeon_card_icon_placeholder,dungeon_card_bg_placeholder,SSR,chara_dan_00001_Normal_00000,HP全回復・蘇生,全ての味方キャラのHPを全回復し撃破されたキャラを蘇生する
