memo
TABLE,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward,MstDungeonBlockReward
ENABLE,id,release_key,mst_dungeon_block_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order
e,dungeon_chi_block_normal_00001_reward_00001,999999999,dungeon_chi_block_normal_00001,Block,Coin,,300,,1
e,dungeon_chi_block_normal_00001_reward_00002,999999999,dungeon_chi_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_chi_block_boss_00001_reward_00001,999999999,dungeon_chi_block_boss_00001,Block,Coin,,500,,1
e,dungeon_chi_block_boss_00001_reward_00002,999999999,dungeon_chi_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_dan_block_normal_00001_reward_00001,999999999,dungeon_dan_block_normal_00001,Block,Coin,,300,,1
e,dungeon_dan_block_normal_00001_reward_00002,999999999,dungeon_dan_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_dan_block_boss_00001_reward_00001,999999999,dungeon_dan_block_boss_00001,Block,Coin,,500,,1
e,dungeon_dan_block_boss_00001_reward_00002,999999999,dungeon_dan_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_gom_block_normal_00001_reward_00001,999999999,dungeon_gom_block_normal_00001,Block,Coin,,300,,1
e,dungeon_gom_block_normal_00001_reward_00002,999999999,dungeon_gom_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_gom_block_boss_00001_reward_00001,999999999,dungeon_gom_block_boss_00001,Block,Coin,,500,,1
e,dungeon_gom_block_boss_00001_reward_00002,999999999,dungeon_gom_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_hut_block_normal_00001_reward_00001,999999999,dungeon_hut_block_normal_00001,Block,Coin,,300,,1
e,dungeon_hut_block_normal_00001_reward_00002,999999999,dungeon_hut_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_hut_block_boss_00001_reward_00001,999999999,dungeon_hut_block_boss_00001,Block,Coin,,500,,1
e,dungeon_hut_block_boss_00001_reward_00002,999999999,dungeon_hut_block_boss_00001,Block,FreeDiamond,,10,,2
e,dungeon_jig_block_normal_00001_reward_00001,999999999,dungeon_jig_block_normal_00001,Block,Coin,,300,,1
e,dungeon_jig_block_normal_00001_reward_00002,999999999,dungeon_jig_block_normal_00001,RandomBlock,Coin,,500,50,2
e,dungeon_jig_block_boss_00001_reward_00001,999999999,dungeon_jig_block_boss_00001,Block,Coin,,500,,1
