memo
TABLE,MstDungeonBlock,MstDungeonBlock,MstDungeonBlock,MstDungeonBlock,MstDungeonBlock,MstDungeonBlock
ENABLE,id,release_key,mst_dungeon_id,block_type,mst_in_game_id
e,dungeon_chi_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_chi_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_dan_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_dan_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_gom_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_gom_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_hut_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_hut_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_jig_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_jig_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_kai_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_kai_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_kim_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_kim_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_mag_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_mag_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_osh_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_osh_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_spy_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_spy_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_sum_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_sum_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_sur_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_sur_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_tak_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_tak_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_you_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_you_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_yuw_block_normal_00001,999999999,dungeon_00001,Normal,develop_001
e,dungeon_yuw_block_boss_00001,999999999,dungeon_00001,Boss,develop_002
e,dungeon_glo_block_rare_00001,999999999,dungeon_00001,Rare,develop_001
