ENABLE,id,mst_quest_id,mst_unit_id,release_key
e,quest_event_osh1_1day01,quest_event_osh1_1day,chara_osh_00101,202512020
e,quest_event_osh1_charaget0201,quest_event_osh1_charaget02,chara_osh_00601,202512020
e,quest_event_osh1_charaget01,quest_event_osh1_charaget01,chara_osh_00201,202512020
e,quest_event_osh1_charaget02,quest_event_osh1_charaget01,chara_osh_00401,202512020
e,quest_event_osh1_charaget03,quest_event_osh1_charaget01,chara_osh_00501,202512020
e,quest_event_osh1_challenge011,quest_event_osh1_challenge01,chara_osh_00301,202512020
e,quest_event_osh1_challenge012,quest_event_osh1_challenge01,chara_osh_00201,202512020
e,quest_event_osh1_challenge013,quest_event_osh1_challenge01,chara_osh_00401,202512020
e,quest_event_osh1_savage,quest_event_osh1_savage,chara_osh_00001,202512020
e,quest_event_glo1_1day01,quest_event_glo1_1day,chara_kai_00002,202512020
e,quest_event_glo1_1day02,quest_event_glo1_1day,chara_yuw_00001,202512020
e,quest_event_glo1_1day03,quest_event_glo1_1day,chara_spy_00001,202512020
