ENABLE,release_key,id,mst_store_product_id,language,price_ios,price_android,price_webstore,paid_diamond_price_ios,paid_diamond_price_android,paid_diamond_price_webstore
e,202512020,37_ja,37,ja,3000,3000,0,0,0,0
e,202512020,38_ja,38,ja,480,480,0,0,0,0
e,202512020,39_ja,39,ja,1980,1980,0,0,0,0
e,202512020,40_ja,40,ja,2980,2980,0,0,0,0
e,202512020,41_ja,41,ja,4980,4980,0,0,0,0
e,202512020,42_ja,42,ja,6980,6980,0,0,0,0
e,202512020,43_ja,43,ja,9800,9800,0,0,0,0
e,202512020,44_ja,44,ja,980,980,0,0,0,0
e,202512020,45_ja,45,ja,2980,2980,0,0,0,0
e,202512020,46_ja,46,ja,4980,4980,0,0,0,0
e,202512020,47_ja,47,ja,10000,10000,0,0,0,0
e,202512020,48_ja,48,ja,1980,1980,0,0,0,0
e,202512020,51_ja,51,ja,980,980,0,0,0,0
