ENABLE,id,mst_stage_id,condition_type,condition_value,animation_start_delay,animation_speed,is_pause,can_skip,asset_key,release_key
e,genga_osh_event_1day_00001_01_start,event_osh1_1day_00001,Start,1,0,0.7,1,1,genga_osh_event_1day_00001_01_start,202512020
e,genga_osh_event_challenge_00001_01_appear,event_osh1_challenge01_00001,EnemySummon,1,0,0.7,1,1,genga_osh_event_challenge_00001_01_appear,202512020
e,genga_osh_event_challenge_00002_02_appear,event_osh1_challenge01_00002,EnemySummon,4,0,0.7,1,1,genga_osh_event_challenge_00002_02_appear,202512020
e,genga_osh_event_challenge_00003_03_appear,event_osh1_challenge01_00003,EnemySummon,3,0,0.7,1,1,genga_osh_event_challenge_00003_03_appear,202512020
e,genga_osh_event_challenge_00004_04_appear,event_osh1_challenge01_00004,EnemySummon,1,0,0.7,1,1,genga_osh_event_challenge_00004_04_appear,202512020
e,genga_osh_event_story_00001_01_start,event_osh1_charaget01_00001,Start,1,0,0.7,1,1,genga_osh_event_story_00001_01_start,202512020
e,genga_osh_event_story_00001_01_victory,event_osh1_charaget01_00001,Victory,1,0,0.7,1,1,genga_osh_event_story_00001_01_victory,202512020
e,genga_osh_event_story_00001_02_start,event_osh1_charaget01_00002,Start,2,0,0.7,1,1,genga_osh_event_story_00001_02_start,202512020
e,genga_osh_event_story_00001_02_victory,event_osh1_charaget01_00002,Victory,2,0,0.7,1,1,genga_osh_event_story_00001_02_victory,202512020
e,genga_osh_event_story_00001_03_start,event_osh1_charaget01_00003,Start,3,0,0.7,1,1,genga_osh_event_story_00001_03_start,202512020
e,genga_osh_event_story_00001_03_victory,event_osh1_charaget01_00003,Victory,3,0,0.7,1,1,genga_osh_event_story_00001_03_victory,202512020
e,genga_osh_event_story_00002_01_start,event_osh1_charaget02_00001,Start,1,0,0.7,1,1,genga_osh_event_story_00002_01_start,202512020
e,genga_osh_event_story_00002_02_start,event_osh1_charaget02_00002,Start,2,0,0.7,1,1,genga_osh_event_story_00002_02_start,202512020
e,genga_osh_event_story_00002_03_start,event_osh1_charaget02_00003,Start,3,0,0.7,1,1,genga_osh_event_story_00002_03_start,202512020
e,genga_osh_main_017_01_start,normal_osh_00001,Start,1,0,0.7,1,1,genga_osh_main_017_01_start,202512020
e,genga_osh_main_017_01_victory,normal_osh_00001,Victory,1,0,0.7,1,1,genga_osh_main_017_01_victory,202512020
e,genga_osh_main_017_02_start,normal_osh_00002,Start,2,0,0.7,1,1,genga_osh_main_017_02_start,202512020
e,genga_osh_main_017_02_victory,normal_osh_00002,Victory,2,0,0.7,1,1,genga_osh_main_017_02_victory,202512020
e,genga_osh_main_017_03_start,normal_osh_00003,Start,3,0,0.7,1,1,genga_osh_main_017_03_start,202512020
e,genga_osh_main_017_03_victory,normal_osh_00003,Victory,3,0,0.7,1,1,genga_osh_main_017_03_victory,202512020
