ENABLE,release_key,id,mst_stage_id,language,name,category_name
e,202512020,normal_osh_00001_ja,normal_osh_00001,ja,【推しの子】,
e,202512020,normal_osh_00002_ja,normal_osh_00002,ja,【推しの子】,
e,202512020,normal_osh_00003_ja,normal_osh_00003,ja,【推しの子】,
e,202512020,hard_osh_00001_ja,hard_osh_00001,ja,【推しの子】,
e,202512020,hard_osh_00002_ja,hard_osh_00002,ja,【推しの子】,
e,202512020,hard_osh_00003_ja,hard_osh_00003,ja,【推しの子】,
e,202512020,veryhard_osh_00001_ja,veryhard_osh_00001,ja,【推しの子】,
e,202512020,veryhard_osh_00002_ja,veryhard_osh_00002,ja,【推しの子】,
e,202512020,veryhard_osh_00003_ja,veryhard_osh_00003,ja,【推しの子】,
e,202512020,event_osh1_1day_00001_ja,event_osh1_1day_00001,ja,ファンと推し合戦!,
e,202512020,event_osh1_charaget02_00001_ja,event_osh1_charaget02_00001,ja,ぴえヨンのブートクエスト,
e,202512020,event_osh1_charaget02_00002_ja,event_osh1_charaget02_00002,ja,ぴえヨンのブートクエスト,
e,202512020,event_osh1_charaget02_00003_ja,event_osh1_charaget02_00003,ja,ぴえヨンのブートクエスト,
e,202512020,event_osh1_charaget01_00001_ja,event_osh1_charaget01_00001,ja,芸能界へ!,
e,202512020,event_osh1_charaget01_00002_ja,event_osh1_charaget01_00002,ja,芸能界へ!,
e,202512020,event_osh1_charaget01_00003_ja,event_osh1_charaget01_00003,ja,芸能界へ!,
e,202512020,event_osh1_challenge01_00001_ja,event_osh1_challenge01_00001,ja,推しの子になってやる,
e,202512020,event_osh1_challenge01_00002_ja,event_osh1_challenge01_00002,ja,推しの子になってやる,
e,202512020,event_osh1_challenge01_00003_ja,event_osh1_challenge01_00003,ja,推しの子になってやる,
e,202512020,event_osh1_challenge01_00004_ja,event_osh1_challenge01_00004,ja,推しの子になってやる,
e,202512020,event_glo1_1day_00001_ja,event_glo1_1day_00001,ja,開運!ジャンブル運試し,
e,202512020,event_osh1_savage_00001_ja,event_osh1_savage_00001,ja,芸能界には才能が集まる,
e,202512020,event_osh1_savage_00002_ja,event_osh1_savage_00002,ja,芸能界には才能が集まる,
e,202512020,event_osh1_savage_00003_ja,event_osh1_savage_00003,ja,芸能界には才能が集まる,
