,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/30,,,平野,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,芸能界へ!,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_osh1_charaget01,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202512020,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/01,,,0:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/02/02,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_osh_00201,,,星野 ルビー,,,私はママみたいになる！,,,手打ち,,,手打ち,,,,,,,,,,,,,
,chara_osh_00401,,,有馬 かな,,,私が居ないと駄目ね！,,,手打ち,,,手打ち,,,,,,,,,,,,,
,chara_osh_00501,,,黒川 あかね,,,アクアくんの助けになるよ,,,手打ち,,,手打ち,,,,,,,,,,,,,
