description,path
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【1日1回】お遊戯の時間です
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【ストーリー】兄を助けてくれないか_
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【ストーリー】先輩は敬いたまえ
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【チャレンジ】世界一安全な幼稚園
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【降臨バトル】誰の依頼だ？
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202602010】幼稚園WARS いいジャン祭 & バレンタインCP/【高難度】正義だけじゃ何も守れない
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/地獄楽/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/地獄楽/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/地獄楽/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/地獄楽/ヒーロー基礎設計_chara_jig_00701_メイ
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/幼稚園WARS/ヒーロー基礎設計_chara_you_00001_元殺し屋の新人教諭 リタ
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/幼稚園WARS/ヒーロー基礎設計_chara_you_00101_ルーク
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/幼稚園WARS/ヒーロー基礎設計_chara_you_00201_ダグ
local,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/マスタ/幼稚園WARS/ヒーロー基礎設計_chara_you_00301_ハナ
local,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260202_幼稚園WARS いいジャン祭_仕様書
"Googleドライブフォルダ GLOW/050_QA/03_データQA/202602010(幼稚園WARS)",https://drive.google.com/drive/folders/1q6n6RsiZUylnXQfxHvyYq9HhaR2qcUxJ
