イベキャラのかけら,,,,,,,,,,,,
スレイブの周回要求回数,,,,,,,,,,,,
20251208_魔都精兵のスレイブ いいジャン祭_仕様書,,,,,,,,,,,,
,最大強化必要個数,,,,,,,200,50,,プリズム,240
,,キャラのカラーメモリー,1950,,,,,250,50,,,
,,キャラのかけら,200,,,,,300,50,,,
,,,,,,,,350,50,,,
,,,,,,,,400,200,,,
,,,,,,,,450,,,,
,獲得箇所,,,,,,,1950,,,,
,,クリア,キャラのカラーメモリー,1100,,,,,,,,
,,ミッション,キャラのカラーメモリー,850,1950,,,,,,,
,,クリア,キャラのかけら,0,,,,,,,,
,,ミッション,キャラのかけら,100,100,,,,,,,
,,,,,,,,,,,,
,周回で必要な個数,,,,,,,,,,,
,,キャラのカラーメモリー,0,,,,,,,,,
,,キャラのかけら,100,,,,,,,,,
,,,,,,,,,,,,
,,,1話,2話,3話,4話,5話,6話,7話,8話,,
,,ドロップ確率,10.00%,15.00%,20.00%,25.00%,30.00%,40.00%,45.00%,60.00%,,
,,ドロップ個数,1,1,1,3,3,3,3,5,,
,,消費スタミナ,5,5,5,7,7,7,10,10,,
,,100個獲得に必要な周回数,1000.0,666.7,500.0,133.3,111.1,83.3,74.1,33.3,,
,,要求スタミナ,5000.0,3333.3,2500.0,933.3,777.8,583.3,740.7,333.3,,
,,,,,,,,,,,,
地獄楽の周回要求回数,,,,,,,,,,,,
,最大強化必要個数,,,,,,,200,50,,,
,,キャラのカラーメモリー,1950,,,,,250,50,,プリズム,240
,,キャラのかけら,200,,,,,300,50,,,
,,,,,,,,350,50,,,
,,,,,,,,400,200,,,
,,,,,,,,450,,,,
,獲得箇所,,,,,,,1950,,,,
,,クリア,キャラのカラーメモリー,1100,,,,,,,,
,,ミッション,キャラのカラーメモリー,850,1950,,,,,,,
,,クリア,キャラのかけら,0,,,,,,,,
,,ミッション,キャラのかけら,100,100,,,,,,,
,,,,,,,,,,,,
,周回で必要な個数,,,,,,,,,,,
,,キャラのカラーメモリー,0,,,,,,,,,
,,キャラのかけら,100,,,,,,,,,
,,,,,,,,,,,,
,調整前,,,,,,,,,,,
,,,1話,2話,3話,4話,5話,6話,,,,
,,ドロップ確率,10.00%,20.00%,30.00%,30.00%,45.00%,60.00%,,,,
,,ドロップ個数,1,1,3,3,3,5,,,,
,,消費スタミナ,5,5,7,7,10,10,,,,
,,100個獲得に必要な周回数,1000.0,500.0,111.1,111.1,74.1,33.3,,,,
,,要求スタミナ,5000.0,2500.0,777.8,777.8,740.7,333.3,,,,
,,,,,,,,,,,,
,→調整後,,,,,,,,,,,
,,,1話,2話,3話,4話,5話,6話,,,,
,,ドロップ確率,10.00%,20.00%,30.00%,35.00%,45.00%,60.00%,,,,
,,ドロップ個数,1,1,2,2,3,5,,,,
,,消費スタミナ,5,5,7,7,10,10,,,,
,,100個獲得に必要な周回数,1000.0,500.0,166.7,142.9,74.1,33.3,,,,
,,要求スタミナ,5000.0,2500.0,1166.7,1000.0,740.7,333.3,,,,
,,,,,,,,,,,,
,,"3,4話で周回した場合に少し要求が上がるように調整",,,,,,,,,,
,,,,,,,,,,,,
原画のかけら,,,,,,,,,,,,
20251208_魔都精兵のスレイブ いいジャン祭_仕様書,,,,,,,,,,,,
,,,,話数,,,,,,,,
,,,施策,1話,2話,3話,4話,5話,6話,7話,8話,
,,ドロップするかけら,スレイブ,"5,7","11,16","2,9","8,13","3,4","10,14","6,12","1,15",
,,,地獄楽,"2,10","5,12","8,15,13","9,4,11","1,14,3","6,7,16",,,
,,,,2個,2個,3個,3個,3個,3個,,,
