,05_報酬一覧,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,◆施策全体の報酬合計数（周回報酬はユーザーの努力報酬、また、ドロップ報酬は確定獲得ではないので、最低限ユーザーに獲得して欲しい報酬数で計算）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,カテゴリー/報酬,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,メイのかけら,民谷 巌鉄斎のかけら,メイのカラーメモリー,民谷 巌鉄斎のカラーメモリー,メイ,民谷 巌鉄斎,賊王 亜左 弔兵衛のかけら,がらんの画眉丸のかけら,山田浅ェ門 桐馬のかけら,神仙郷のエンブレム
,ログボ,100,15000,3,2,15,4,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0
,デイリー,340,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ストーリー（メイ）,240,3000,0,0,15,10,1,0,0,0,0,0,0,0,1100,0,1,0,0,0,0,0
,ストーリー（民谷 巌鉄斎）,240,3000,0,0,15,10,1,0,0,0,0,0,0,0,0,1100,0,1,0,0,0,0
,チャレンジ,240,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,50,0
,高難度,480,5000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,ミッション,100,25000,5,3,30,20,5,0,0,0,0,0,100,100,850,850,0,0,,40,,
,降臨バトル（期間中最低獲得可能分）,720,72000,0,0,30,15,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,0,,,,,,,,,,,,
,今回のいいジャン祭報酬,2460,148500,12,8,105,59,8,603,603,3,3,3,100,100,1950,1950,1,1,50,50,50,1
,2.5次元の誘惑 いいジャン祭報酬,2130,109200,9,4,75,42,5,603,3,3,603,3,250,250,1950,1950,1,1,50,50,50,
,SPY×FAMILY いいジャン祭報酬合計数,2170,107800,9,5,70,35,6,203,3,203,603,3,250,250,1950,1950,1,1,50,50,50,
,怪獣８号 いいジャン祭報酬合計数,2150,101450,8,5,70,43,5,3,3,3,903,3,250,250,1950,1950,1,1,50,50,50,
,,,↑周回数に応じて獲得数UPですが1周回を最低期待値（コイン5000枚）を換算します,1枚多いのはミッションでエンブレムの代わりに配布を行っているからです,,,,,"↑カラーメモリーは基本ピックアップガシャの属性に合わせたものが100以上
（Lv.40まで強化できる範囲を上限とし）獲得できるようにします
今回だと青属性なので、カラーメモリー・ブルーが多く獲得できます",,,,,↑周回数によって獲得数UP,↑周回数によって獲得数UP,,,↑周回数によって獲得数UP,↑周回数によって獲得数UP,↑ピックアップガシャの新キャラのかけら,,↑ピックアップガシャの新キャラのかけら,
,,,,,,,,,100,,100,,100,,,,,,,,,,
,▼降臨バトルのランキングやクエストの周回などは最低保証獲得数で計算してます,,,,,,,,,,,,,,,,,,,,,,
,報酬関連,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,,,,,,,,,,
,"1ヶ月のいいジャン祭
の報酬数",4260,218400,18,8,150,84,10,100,100,100,100,100,ここで配布数が超える場合は、PDM承認が必要,,,,,,,,,
,"1ヶ月の降臨バトル
の報酬数",770,76500,0,1,30,15,1,0,0,0,0,0,,,,,,,,,,
,連携サイトやマーケで配布可能な量,300,4500,0,0,0,0,0,50,0,0,0,0,,,,,,,,,,
