,"クリエイティブ一覧
https://docs.google.com/spreadsheets/d/1s-5R4ijjb7AXckYDBmqBgHFsZzbOPVe_SvX3hlK5Fdw/edit?gid=576303298#gid=5763032981",,,,,,,,,,,,,,,
,"監修資料（監修ち提出後にリンクを貼る）
",,,,,,,,,,,,,,,
,項目,仕様/補足,数量,工数, 画像,規格,"アップ先
S3/AB","画像ID
（PLAN側に確認）
！アイテムIDとは違うので記載注意！","監修
ステータス","BNE様へ
PSDデータ提出
","デザイナー
担当者",制作ステータス,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",,,
,新規アイテム,,,,,,,,,,,,,,,
,【カラーメモリー】,"・民谷 巌鉄斎のメモリー
　ブルーメモリー
　item_icon_memory_chara_jig_00601",1,0.1,,150×150,AB,item_icon_memory_chara_jig_00601,監修不要,提出不要,江村,,stage_icon_[:asset_key],,,
,,"・メイのメモリー
　無色カラーメモリー
　item_icon_memory_chara_jig_00701",1,,,150×150,AB,item_icon_memory_chara_jig_00701,監修不要,提出不要,江村,,stage_icon_[:asset_key],,,
,エンブレム,,,,,,,,,,,,,,,
,【降臨バトルエンブレム】,"罪人
emblem_icon_adventbattle_jig_season01_00001",6,0.2,,120×120,AB,emblem_icon_adventbattle_jig_season01_00001,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_jig_season01_00002,,,,120×120,AB,emblem_icon_adventbattle_jig_season01_00002,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_jig_season01_00003,,,,120×120,AB,emblem_icon_adventbattle_jig_season01_00003,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,0
,,emblem_icon_adventbattle_jig_season01_00004,,,,120×120,AB,emblem_icon_adventbattle_jig_season01_00004,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,0
,,emblem_icon_adventbattle_jig_season01_00005,,,,120×120,AB,emblem_icon_adventbattle_jig_season01_00005,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_jig_season01_00006,,,,120×120,AB,emblem_icon_adventbattle_jig_season01_00006,監修通過,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,【イベントエンブレム】,"神仙郷
emblem_icon_event_jig_00001",1,1,,120×120,AB,emblem_icon_event_jig_00001,監修通過,PNG提出必要,望月,,emblem_icon_[:asset_key],,,
,原画のかけら,,,,,,,,,,,,,,,
,【原画のかけら】,"【原画のかけら】a+b
①※参照先：1巻071P
artwork_event_jig_0001",2×2,0.2,,"524×524
154×154",AB,artwork_event_jig_0001,監修不要,提出不要,江村,,"artwork_[:asset_key]a
artwork_[:asset_key]b",,,
,,"②※参照先：2巻065P
artwork_event_jig_0002",,,,"524×524
154×154",AB,artwork_event_jig_0002,監修不要,提出不要,江村,,,,,
,プレハブ関連,,,,,,,,,,,,,,,
,【コンテンツTOP】プレハブ,"【コンテンツTOP】 プレハブ
・がらんの画眉丸
・山田浅ェ門 佐切
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬
・朱槿
・竈神 魚
※赤字は必須、残りは入れられたらでOK",1,2,,"プレハブ
（画像は1000 × 520）",AB,event_jig_00001_quest_select,監修通過,"PNG/PSD提出必要
※監修提出前にBNE側にPSDを提出",江村,,[:asset_key]_quest_select ※プレハブ名,,,
,【クエストバナー】デイリー,"プリズム
quest_event_jig1_1day",1,0.1,,334×115,AB,jig1_1day_quest_select_cell,監修通過,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】ストーリー1,"【コンテンツTOP】 Sバナーストリー1
【ストーリー】画眉丸 編→メイGET!!
quest_event_jig1_charaget01
メイが獲得できる",1,0.1,,334×115,AB,jig1_charaget01_quest_select_cell,監修通過,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】ストーリー2,"【コンテンツTOP】 Sバナーストリー2
【ストーリー】共闘関係 編→民谷 巌鉄斎GET!!
quest_event_jig1_charaget02
巌鉄斎が獲得できる",1,0.1,,334×115,AB,jig1_charaget02_quest_select_cell,監修通過,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】チャレンジ,"【コンテンツTOP】 Sバナーチャレンジ
・賊王 亜左 弔兵衛のかけら
・がらんの画眉丸のかけら
・山田浅ェ門 桐馬のかけら

quest_event_jig1_challenge01",1,0.1,,334×115,AB,jig1_challenge01_quest_select_cell,監修通過,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【クエストバナー】高難度,"【コンテンツTOP】 Sバナー高難度
・エンブレム＊1
・プリズム
quest_event_jig1_savage",1,0.1,,334×115,AB,jig1_savage_quest_select_cell,監修通過,PNG提出必要,江村,,[:mst_quest.asset_key]_quest_select_cell,,,
,【ステージサムネール】,"キャラ_メイ
stage_icon_event_jig1_00001
メイのかけら        
stage_icon_event_jig1_00002
メイのメモリー        
stage_icon_event_jig1_00003

キャラ_民谷 巌鉄斎       
stage_icon_event_jig1_00004
民谷 巌鉄斎 のかけら        
stage_icon_event_jig1_00005
民谷 巌鉄斎 メモリー        
stage_icon_event_jig1_00006

がらんの画眉丸のかけら       
stage_icon_event_jig1_00007
賊王 亜左 弔兵衛のかけら     
stage_icon_event_jig1_00008
山田浅ェ門 桐馬のかけら   
stage_icon_event_jig1_00009

エンブレム：神仙郷 
stage_icon_event_jig1_00010",10,0.3,,126×102,AB,,監修不要,提出不要,江村,,stage_icon_[:asset_key],,,
,バナー類,,,,,,,,,,,,,,,
,【イベントミッションバナー】ログインボーナス,"【お知らせ】ログインボーナス_Mバナー
地獄楽 いいジャン祭 特別ログインボーナス
・がらんの画眉丸
・山田浅ェ門 佐切
・ピックアップガシャチケット
event_jig_00001_loginbonus",1,0.4,,668×220,AB,event_jig_00001_loginbonus,監修通過,PNG提出必要,江村,,[:asset_key]_loginbonus,,,
,"【イベントミッションバナー】ミッション
","地獄楽 いいジャン祭特別ミッション
「特別ミッション」で名称は今後固定
【お知らせ】ミッション_Mバナー
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬
event_jig_00001_mission",1,0.4,,668×220,AB,event_jig_00001_mission,監修通過,PNG提出必要,江村,,[:asset_key]_mission,,,
,【イベントTOPバナー】いいジャン祭,"報酬：変更なし

「【コンテンツTOP】 プレハブ」の要素を流用して作成",1,0.4,,698×200,AB,event_jig_00001_banner,監修通過,PNG提出必要,江村,,[:asset_key]_banner,,,
,【お知らせ_Mバナー】いいジャン祭,"キャラ
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬
・民谷 巌鉄斎
notice_event_jig_00001",1,0.4,,668×220,不要,notice_event_jig_00001,監修通過,PNG/PSD提出必要,望月,,notice_[:png_name],,,
,【ホームバナー】いいジャン祭,「【お知らせ】いいジャン祭開催お知らせ_Mバナー」を流用して作成,1,,,306×100,S3,hometop_event_jig_00001,監修通過,PNG提出必要,望月,,hometop_[:png_name],,,
,【降臨バトル開催のお知らせ】,"まるで 悪夢を見ているようだ
キャラあり",1,0.4,,668×220,不要,,監修通過,PNG提出必要,江村,,,,,
,ガシャバナー,,,,,,,,,,,,,,,
,"【ガシャTOP_Lバナー】
地獄楽 いいジャン祭ピックアップガシャA
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬","・賊王 亜左 弔兵衛:UR
・山田浅ェ門 桐馬:SSR

gacha_banner_jig_00001
",1,0.7,,668×370,S3,gacha_banner_jig_00001,監修通過,PNG提出必要,江村,,gacha_banner_[:banner_url],,,
,"【お知らせ_Mバナー】
地獄楽 いいジャン祭ピックアップガシャA
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬","・賊王 亜左 弔兵衛:UR
・山田浅ェ門 桐馬:SSR

notice_gacha_jig_00001",1,,,668×220,不要,notice_gacha_jig_00001,監修通過,PNG提出必要,江村,,gacha_gacha_[:banner_url],,,
,"【ホームバナー】
地獄楽 いいジャン祭ピックアップガシャA
・賊王 亜左 弔兵衛
・山田浅ェ門 桐馬","・賊王 亜左 弔兵衛:UR
・山田浅ェ門 桐馬:SSR

hometop_gacha_jig_00001
",1,,,"  
 	
306×100
",S3,hometop_gacha_jig_00001,監修通過,PNG提出必要,江村,アップ済み,hometop_[:png_name],,,
,"【ガシャTOP_Lバナー】
地獄楽 いいジャン祭ピックアップガシャB
・がらんの画眉丸
・山田浅ェ門 桐馬","・がらんの画眉丸:UR
・山田浅ェ門 桐馬:SSR

gacha_banner_jig_00002",1,0.7,,668×370,S3,gacha_banner_jig_00002,監修通過,PNG提出必要,江村,,gacha_banner_[:banner_url],,,
,"【お知らせ_Mバナー】
地獄楽  いいジャン祭ピックアップガシャB
・がらんの画眉丸
・山田浅ェ門 桐馬","・がらんの画眉丸:UR
・山田浅ェ門 桐馬:SSR

notice_gacha_jig_00002",1,,,668×220,不要,notice_gacha_jig_00002,監修通過,PNG提出必要,江村,,gacha_gacha_[:banner_url],,,
,"【ホームバナー】
地獄楽  いいジャン祭ピックアップガシャB
・がらんの画眉丸
・山田浅ェ門 桐馬","・がらんの画眉丸:UR
・山田浅ェ門 桐馬:SSR

hometop_gacha_jig_00002",1,,,"  
 	
306×100
",S3,hometop_gacha_jig_00002,監修通過,PNG提出必要,江村,アップ済み,hometop_[:png_name],,,
,（不要）【図鑑_シリーズバナー】,,1,,,300×300,AB,,,,,,series_banner_[:asset_key],その他,都度,
,（不要）【図鑑_シリーズロゴ),,1,,,350×245,AB,,,,,,series_logo_[:asset_key],その他,都度,
,"（不要）クエストバナー降臨バトル
","
データ設定で済むか要確認",,,,,,,,,,,,,,
,（不要）いいジャン祭パック,"既存バナーを流用
",,,不要かも,,,,,,,,,,,
,施策ロゴ_作成とチームメンバーへの共有(一番初めにやる),,,0.2,,,,,,PNG/PSD提出必要,江村,,,,,
,,,,工数の合計値↓,,,,,,,,,,,,
,,,,7.9,,,,,,,,,,,,
,,,江村さん工数,6.5,,,,,,,,,,,,
,,,望月さん工数,1.4,,,,,,,,,,,,
