,★景品単価の簡便な算定方法,,,,,,,
,「クエスト等のゲームプレイにより、1時間あたりで対象アイテムを何個取得できるか」という観点から景品単価を算定します。,,,,,,,
,例えば、ゲームプレイにより、1時間あたり「進化アイテムA」を5個入手できる場合には、「進化アイテムA」の景品単価を以下のように算定します。,,,,,,,
,,,,,,,,
,「進化アイテムA」の景品単価＝【一般的にお客様が1時間の時短のために課金する平均金額（税込30円）】÷【1時間あたりの入手数（5個）】 ＝ 6円,,,,,,,
,,,,⬆︎,,,,⬆︎
,,,"BNE NE事業部が配信するゲームタイトルであれば、
一律「税込30円」で算出いただいて問題ありません。",,,,「スタミナ制限」があるゲームタイトルの場合には、「スタミナ制限」がないと仮定して算定してください。,
,※探索と期待値計算のうち試算が高くなった方を採用しています。,,,,,,,
,,計算表,,,,,,
,項目,景品,,,"時短1時間の
 ための課金額",1時間あたりの入手数,単価（税込）,備考
,リソース,カラーメモリー（5種）,,,¥30.00,110,¥0.27,ドロップ(メインクエストノーマル11-16を周回した場合)
,,初級メモリーフラグメント,,,¥30.00,3,¥10.00,ドロップ
,,中級メモリーフラグメント,,,¥30.00,2,¥15.00,ドロップ
,,上級メモリーフラグメント,,,¥30.00,1,¥30.00,ドロップ
,,コイン,,,¥30.00,5760,¥0.01,ドロップ(メインクエストノーマルを周回した場合)
,,,,,,,,
,,,,計算,,,,
,,,,回復1回に使用するプリズムの個数,,,30,
,,,,回復量,,,全回復する,
,,,,最大スタミナの平均値,,,113.4333333,
,,,,プリズム1個あたりのスタミナ回復量,,,3.781111111,
,,,,1スタミナの金額（小数点2桁で切り捨て）,,,¥7.56,
,,,,,,,,
,,,,,,,,
,,▼アイテム単価,,,,,,
,,景品名,,単価：税込（円）,,プリズム換算：個数（個）,,コイン換算：個数（枚）
,,プリズム,,¥2.00,,1,,200
,,Rキャラ,,¥300.00,,150,,4500000
,,SRキャラ,,¥300.00,,150,,4500000
,,SSRキャラ,,¥300.00,,150,,4500000
,,URキャラ,,¥300.00,,150,,4500000
,,Rキャラのかけら,,¥30.00,,15,,45000
,,SRキャラのかけら,,¥30.00,,15,,45000
,,SSRキャラのかけら,,¥30.00,,15,,45000
,,URキャラのかけら,,¥30.00,,15,,45000
,,RランダムかけらBOX,,¥30.00,,15,,45000
,,R選択かけらBOX,,¥30.00,,15,,45000
,,SRランダムかけらBOX,,¥30.00,,15,,45000
,,SR選択かけらBOX,,¥30.00,,15,,45000
,,SSRランダムかけらBOX,,¥30.00,,15,,45000
,,SSR選択かけらBOX,,¥30.00,,15,,45000
,,URランダムかけらBOX,,¥30.00,,15,,45000
,,UR選択かけらBOX,,¥30.00,,15,,45000
,,コイン,,¥0.01,,0,,0
,,スタミナ,,¥7.56,,3.8,,2872.8
,,カラーメモリー・グレー,,¥0.27,,0.1,,2.7
,,カラーメモリー・レッド,,¥0.27,,0.1,,2.7
,,カラーメモリー・グリーン,,¥0.27,,0.1,,2.7
,,カラーメモリー・ブルー,,¥0.27,,0.1,,2.7
,,カラーメモリー・イエロー,,¥0.27,,0.1,,2.7
,,初級メモリーフラグメント,,¥10.00,,5,,5000
,,中級メモリーフラグメント,,¥15.00,,7.5,,11250
,,上級メモリーフラグメント,,¥30.00,,15,,45000
,,ノーマルガシャチケット,,¥300.00,,150,,4500000
,,スペシャルガシャチケット,,¥300.00,,150,,4500000
,,ピックアップガシャチケット,,¥300.00,,150,,4500000
,,UR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,450000000
,,ピックアップUR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,450000000
,,フェス限定UR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,450000000
,,R確定ガシャチケット,,¥300.00,,150,,4500000
,,SR確定ガシャチケット,,¥300.00,,150,,4500000
,,SSR確定ガシャチケット,,¥300.00,,150,,4500000
,,UR確定ガシャチケット,,¥300.00,,150,,4500000
,,コンティニュー,,¥60.00,,30,,180000
,,クイック探索,,¥60.00,,30,,180000
,,プレミアムメダル,,¥300.00,,150,,4500000
