ENABLE,release_key,id,mst_stage_id,language,name,category_name
e,202511010,event_mag1_1day_00001_ja,event_mag1_1day_00001,ja,何とかやってます,
e,202511010,event_mag1_charaget01_00001_ja,event_mag1_charaget01_00001,ja,うちの美学,
e,202511010,event_mag1_charaget01_00002_ja,event_mag1_charaget01_00002,ja,うちの美学,
e,202511010,event_mag1_charaget01_00003_ja,event_mag1_charaget01_00003,ja,うちの美学,
e,202511010,event_mag1_charaget01_00004_ja,event_mag1_charaget01_00004,ja,うちの美学,
e,202511010,event_mag1_charaget01_00005_ja,event_mag1_charaget01_00005,ja,うちの美学,
e,202511010,event_mag1_charaget01_00006_ja,event_mag1_charaget01_00006,ja,うちの美学,
e,202511010,event_mag1_charaget01_00007_ja,event_mag1_charaget01_00007,ja,うちの美学,
e,202511010,event_mag1_charaget01_00008_ja,event_mag1_charaget01_00008,ja,うちの美学,
e,202511010,event_mag1_charaget02_00001_ja,event_mag1_charaget02_00001,ja,よく見てる,
e,202511010,event_mag1_charaget02_00002_ja,event_mag1_charaget02_00002,ja,よく見てる,
e,202511010,event_mag1_charaget02_00003_ja,event_mag1_charaget02_00003,ja,よく見てる,
e,202511010,event_mag1_charaget02_00004_ja,event_mag1_charaget02_00004,ja,よく見てる,
e,202511010,event_mag1_charaget02_00005_ja,event_mag1_charaget02_00005,ja,よく見てる,
e,202511010,event_mag1_charaget02_00006_ja,event_mag1_charaget02_00006,ja,よく見てる,
e,202511010,event_mag1_charaget02_00007_ja,event_mag1_charaget02_00007,ja,よく見てる,
e,202511010,event_mag1_charaget02_00008_ja,event_mag1_charaget02_00008,ja,よく見てる,
e,202511010,event_mag1_challenge01_00001_ja,event_mag1_challenge01_00001,ja,色々な魔法少女,
e,202511010,event_mag1_challenge01_00002_ja,event_mag1_challenge01_00002,ja,色々な魔法少女,
e,202511010,event_mag1_challenge01_00003_ja,event_mag1_challenge01_00003,ja,色々な魔法少女,
e,202511010,event_mag1_challenge01_00004_ja,event_mag1_challenge01_00004,ja,色々な魔法少女,
e,202511010,event_mag1_savage_00001_ja,event_mag1_savage_00001,ja,「怪異」現象,
e,202511010,event_mag1_savage_00002_ja,event_mag1_savage_00002,ja,「怪異」現象,
e,202511010,event_mag1_savage_00003_ja,event_mag1_savage_00003,ja,「怪異」現象,
