,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/15,,,平野,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,死罪人と首切り役人,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_jig1_challenge01,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202601010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026-01-16,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/02/16,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_jig_00201,,,杠,,,ありったけ試してあげる♡,,,,,,,,,,,,,,,,,,,
,chara_jig_00301,,,山田浅ェ門 仙汰,,,先立つものはまず情報ですから,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
