シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
4話,,event_jig1_challenge01_00004,,1,,InitialSummon,0,SummonEnemy,c_jig_00001_jig1_challenge_Boss_Red,,1,,None,2.75,ElapsedTime,1200,None,,None,,,TRUE,,Boss,Normal,3.1,6.3,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,2,,InitialSummon,0,SummonEnemy,c_jig_00101_jig1_challenge_Boss_Red,,1,,None,1.6,Damage,1,None,,None,,,FALSE,,Boss,Normal,4.9,5.3,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,3,,FriendUnitDead,1,SummonEnemy,c_jig_00001_jig1_challenge_Boss_Red,,1,,None,,None,,None,,None,,,TRUE,,Boss,Normal,6.1,7.7,1.2,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,4,,ElapsedTime,1100,SummonEnemy,e_jig_00401_jig1_challenge02_Normal_Red,,1,,None,,None,,None,,None,,,FALSE,,Default,Normal,1.6,0.8,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,5,,ElapsedTime,300,SummonEnemy,e_jig_00401_jig1_challenge02_Normal_Red,,3,800,None,,None,,None,,None,,,FALSE,,Default,Normal,1.2,1.8,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,6,,ElapsedTime,900,SummonEnemy,e_jig_00401_jig1_challenge_Normal_Colorless,,3,1200,None,,None,,None,,None,,,FALSE,,Default,Normal,1.3,1.2,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,7,,ElapsedTime,1500,SummonEnemy,e_jig_00401_jig1_challenge02_Normal_Red,,10,1300,None,,None,,None,,None,,,FALSE,,Default,Normal,0.8,1,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,8,,ElapsedTime,900,SummonEnemy,e_jig_00401_jig1_challenge_Normal_Colorless,,7,2500,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,9,,ElapsedTime,1000,SummonEnemy,e_jig_00401_jig1_challenge02_Normal_Red,,15,3000,None,,None,,None,,None,,,FALSE,,Default,Normal,1.1,1.1,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,10,,FriendUnitDead,1,SummonEnemy,e_jig_00401_jig1_challenge02_Normal_Red,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,1.6,1.1,1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,11,,FriendUnitDead,1,SummonEnemy,e_jig_00401_jig1_challenge_Normal_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Default,Normal,1.6,1,1.1,,0,,None,,202601010
4話,,event_jig1_challenge01_00004,,12,,FriendUnitDead,1,SummonEnemy,e_jig_00401_jig1_challenge_Normal_Colorless,,5,900,None,,None,,None,,None,,,FALSE,,Default,Normal,1,0.3,1.3,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,1,,FriendUnitDead,3,SummonEnemy,c_jig_00401_jig1_challenge_Boss_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Boss,Normal,4.4,7.5,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,2,,FriendUnitDead,3,SummonEnemy,c_jig_00501_jig1_challenge_Boss_Green,,1,,None,,None,,None,,None,,,FALSE,,Boss,Normal,4,5.5,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,3,,InitialSummon,0,SummonEnemy,e_jig_00301_jig1_challenge_Normal_Yellow,,1,,None,1.5,EnterTargetKoma,2,None,,None,,,FALSE,,Default,Normal,3.3,2,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,4,,InitialSummon,0,SummonEnemy,e_jig_00301_jig1_challenge_Normal_Yellow,,1,,None,1.2,Damage,1,None,,None,,,FALSE,,Default,Normal,2.4,1.8,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,5,,InitialSummon,0,SummonEnemy,e_jig_00301_jig1_challenge_Normal_Yellow,,1,,None,0.85,Damage,1,None,,None,,,FALSE,,Default,Normal,2.4,1.8,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,6,,ElapsedTime,1000,SummonEnemy,e_jig_00301_jig1_challenge_Normal_Red,,6,1200,None,,None,,None,,None,,,FALSE,,Default,Normal,1.8,1.2,1,,0,,None,,202601010
3話,,event_jig1_challenge01_00003,,7,,ElapsedTime,300,SummonEnemy,e_jig_00401_jig1_challenge_Normal_Colorless,,15,800,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1.8,1,,0,,None,,202601010
