ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,event_you_00001_1,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00201,2,__NULL__,,0,,you_00001_event_reward_01,1,UnitList
e,event_you_00001_2,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00201,3,__NULL__,,0,,you_00001_event_reward_02,2,UnitList
e,event_you_00001_3,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00201,4,__NULL__,,0,,you_00001_event_reward_03,3,UnitList
e,event_you_00001_4,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00201,5,__NULL__,,0,,you_00001_event_reward_04,4,UnitList
e,event_you_00001_5,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,20,__NULL__,,0,,you_00001_event_reward_05,5,UnitList
e,event_you_00001_6,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,30,__NULL__,,0,,you_00001_event_reward_06,6,UnitList
e,event_you_00001_7,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,40,__NULL__,,0,,you_00001_event_reward_07,7,UnitList
e,event_you_00001_8,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,50,__NULL__,,0,,you_00001_event_reward_08,8,UnitList
e,event_you_00001_9,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,60,__NULL__,,0,,you_00001_event_reward_09,9,UnitList
e,event_you_00001_10,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,70,__NULL__,,0,,you_00001_event_reward_10,10,UnitList
e,event_you_00001_11,202602015,event_you_00001,SpecificUnitLevel,chara_you_00201,80,__NULL__,,0,,you_00001_event_reward_11,11,UnitList
e,event_you_00001_12,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00301,2,__NULL__,,0,,you_00001_event_reward_12,12,UnitList
e,event_you_00001_13,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00301,3,__NULL__,,0,,you_00001_event_reward_13,13,UnitList
e,event_you_00001_14,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00301,4,__NULL__,,0,,you_00001_event_reward_14,14,UnitList
e,event_you_00001_15,202602015,event_you_00001,SpecificUnitGradeUpCount,chara_you_00301,5,__NULL__,,0,,you_00001_event_reward_15,15,UnitList
e,event_you_00001_16,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,20,__NULL__,,0,,you_00001_event_reward_16,16,UnitList
e,event_you_00001_17,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,30,__NULL__,,0,,you_00001_event_reward_17,17,UnitList
e,event_you_00001_18,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,40,__NULL__,,0,,you_00001_event_reward_18,18,UnitList
e,event_you_00001_19,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,50,__NULL__,,0,,you_00001_event_reward_19,19,UnitList
e,event_you_00001_20,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,60,__NULL__,,0,,you_00001_event_reward_20,20,UnitList
e,event_you_00001_21,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,70,__NULL__,,0,,you_00001_event_reward_21,21,UnitList
e,event_you_00001_22,202602015,event_you_00001,SpecificUnitLevel,chara_you_00301,80,__NULL__,,0,,you_00001_event_reward_22,22,UnitList
e,event_you_00001_23,202602015,event_you_00001,SpecificQuestClear,quest_event_you1_1day,1,__NULL__,,0,,you_00001_event_reward_23,23,Event
e,event_you_00001_24,202602015,event_you_00001,SpecificQuestClear,quest_event_you1_charaget01,1,__NULL__,,0,,you_00001_event_reward_24,24,Event
e,event_you_00001_25,202602015,event_you_00001,SpecificQuestClear,quest_event_you1_charaget02,1,__NULL__,,0,,you_00001_event_reward_25,25,Event
e,event_you_00001_26,202602015,event_you_00001,SpecificQuestClear,quest_event_you1_challenge,1,__NULL__,,0,,you_00001_event_reward_26,26,Event
e,event_you_00001_27,202602015,event_you_00001,SpecificQuestClear,quest_event_you1_savage,1,__NULL__,,0,,you_00001_event_reward_27,27,Event
e,event_you_00001_28,202602015,event_you_00001,DefeatEnemyCount,,10,__NULL__,,0,,you_00001_event_reward_28,28,Event
e,event_you_00001_29,202602015,event_you_00001,DefeatEnemyCount,,20,__NULL__,,0,,you_00001_event_reward_29,29,Event
e,event_you_00001_30,202602015,event_you_00001,DefeatEnemyCount,,30,__NULL__,,0,,you_00001_event_reward_30,30,Event
e,event_you_00001_31,202602015,event_you_00001,DefeatEnemyCount,,40,__NULL__,,0,,you_00001_event_reward_31,31,Event
e,event_you_00001_32,202602015,event_you_00001,DefeatEnemyCount,,50,__NULL__,,0,,you_00001_event_reward_32,32,Event
