ENABLE,id,release_key
e,event_you1_1day_00001,202602015
e,event_you1_charaget01_00001,202602015
e,event_you1_charaget01_00002,202602015
e,event_you1_charaget01_00003,202602015
e,event_you1_charaget01_00004,202602015
e,event_you1_charaget01_00005,202602015
e,event_you1_charaget01_00006,202602015
e,event_you1_charaget02_00001,202602015
e,event_you1_charaget02_00002,202602015
e,event_you1_charaget02_00003,202602015
e,event_you1_charaget02_00004,202602015
e,event_you1_charaget02_00005,202602015
e,event_you1_charaget02_00006,202602015
e,event_you1_challenge_00001,202602015
e,event_you1_challenge_00002,202602015
e,event_you1_challenge_00003,202602015
e,event_you1_challenge_00004,202602015
e,event_you1_savage_00001,202602015
e,event_you1_savage_00002,202602015
e,event_you1_savage_00003,202602015
e,raid_you1_00001,202602015
