ENABLE,id,mst_unit_id,rank,require_level,amount,unit_memory_amount,sr_memory_fragment_amount,ssr_memory_fragment_amount,ur_memory_fragment_amount,release_key
e,chara_you_00201_rank1,chara_you_00201,1,20,0,200,0,0,0,202602015
e,chara_you_00201_rank2,chara_you_00201,2,30,0,250,5,0,0,202602015
e,chara_you_00201_rank3,chara_you_00201,3,40,0,300,10,5,0,202602015
e,chara_you_00201_rank4,chara_you_00201,4,50,0,350,15,10,0,202602015
e,chara_you_00201_rank5,chara_you_00201,5,60,0,400,20,15,3,202602015
e,chara_you_00201_rank6,chara_you_00201,6,70,0,450,25,20,5,202602015
e,chara_you_00301_rank1,chara_you_00301,1,20,0,200,0,0,0,202602015
e,chara_you_00301_rank2,chara_you_00301,2,30,0,250,5,0,0,202602015
e,chara_you_00301_rank3,chara_you_00301,3,40,0,300,10,5,0,202602015
e,chara_you_00301_rank4,chara_you_00301,4,50,0,350,15,10,0,202602015
e,chara_you_00301_rank5,chara_you_00301,5,60,0,400,20,15,3,202602015
e,chara_you_00301_rank6,chara_you_00301,6,70,0,450,25,20,5,202602015
