Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,作成者,確認者,承認状況,Unnamed: 8
,,,,,平野,,承認済,
ガシャ詳細,,,,,,,,承認・設計担当
ガシャ名,地獄楽 いいジャン祭ピックアップガシャB,,,,,,,企画
ガシャID,Pickup_sur_002,,,,,,,
種別,ピックアップガシャ,,,,,,,
開催期間,2025-12-08 15:00:00,~,2026-01-16 10:59:00,,,,,企画
チケット設定,有,※BNEレギュレーションにより、すべてのガシャはチケットでひける前提で設定しなければならない。,,,,,,
チケット名,ピックアップガシャチケット,,,,,,,ガシャ
チケットID,ticket_glo_00003,,,,,,,ガシャ
チケット備考,チケットのまとめ引きは、最大10連です。所持枚数の最大が10枚以下の場合、まとめ引きの最大数もそれに準じます。,,,,,,,
広告視聴設定有無,無,,,,,,,
広告視聴リセット有無,無,,,,,,,
広告視聴リセット時間,,分,0時間,"24時間→1,440
48時間→2,880
72時間→4,320","・enable_add_ad_play_upper
・ad_play_interval_time",,,
"ガシャ開催期間中
繰返しリセットを行う",行わない,,,,,,,
天井設定,有,,,,,,,
天井回数,100,回目,,,,,,
確定枠設定,有,,,,,,,
確定枠詳細,10,枠目,,,,,,
有償無償合算使用可否,可,※有償プリズム限定の時→「否」にして下さい。基本は「可」です。,,,,,,
有償プリズム限定設定,無,,,,,,,
単発設定,有,,,,,,,
単発プリズム個数,150,個,※デフォルト：150個,,,,,
10連設定,有,,,,,,,
10連プリズム個数,1500,個,"※デフォルト：1,500個",,,,,
ガシャを引ける上限設定,無,,,,,,,
ガシャを引ける上限数,,連を,,まで,※例：30連を1回まで。お一人30連まで引くことができます。,,,
banner_URL,sur_00002,,,,,,,企画
ガシャ一覧バナーID,gacha_banner_sur_00002,,,,,,,企画
ホームバナーID,hometop_gacha_sur_00002,,,,,,,企画
キャラのかけら変換個数,R：10,←デフォルト,,,,,,
,SR：10,,,,,,,
,SSR：20,,,,,,,
,UR ：50,,,,,,,
,ピックアップUR ：50,,,,,,,
備考,,,,,,,,
,,,,,,,,
,,,,,,,,
ガシャマスター設定,,,,,,,,
①ガシャ訴求文言,"「誇り高き魔都の剣姫 羽前 京香」
「東 八千穂」の出現率UP中!",,,OprGachaI18n,,,,ガシャ
②訴求キャラ/ID,誇り高き魔都の剣姫 羽前 京香,chara_sur_00101,,,,,,ガシャ
③キャラ訴求文言,"必殺ワザの範囲攻撃で
複数の相手に
ダメージ!
特性も強力!",,,OprGachaDisplayUnitI18n,,,,レベデザ
②-1訴求キャラ/ID,東 日万凛,chara_sur_00201,,,,,,ガシャ
③-1キャラ訴求文言,キャラ性能待ち,,,,,,,レベデザ
④天井表示,ピックアップURキャラ1体確定!,,,OprGachaI18n,※緑色の文字,,,ガシャ
ラインナップ,,,,,,,,ガシャ
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
ピックアップUR,0.0075,1,7020,7020,,,,
UR,0.0225,12,21060,1755,,,,
ピックアップSSR,0.015,1,14040,14040,,,,
SSR,0.085,9,79560,8840,,,,
SR,0.35,10,327600,32760,,,,
R,0.52,9,486720,54080,,,,
合計,1,42,936000,,,,,
,,42,,,,,,
,,,,,,,,
キャラID,キャラ名,レアリティ,waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_sur_00101,#REF!,ピックアップUR,7020,0.0075,0.0075,※ピックアップは1体0.75を基本とする,,
chara_spy_00101,#REF!,UR,1755,0.00187,0.0225,,,
chara_spy_00201,#REF!,UR,1755,0.00187,,,,
chara_spy_00001,#REF!,UR,1755,0.00187,,,,
chara_dan_00002,#REF!,UR,1755,0.00187,,,,
chara_gom_00001,#REF!,UR,1755,0.00187,,,,
chara_chi_00002,#REF!,UR,1755,0.00187,,,,
chara_kai_00002,#REF!,UR,1755,0.00187,,,,
chara_yuw_00001,#REF!,UR,1755,0.00187,,,,
chara_yuw_00101,#REF!,UR,1755,0.00187,,,,
chara_jig_00001,#REF!,UR,1755,0.00187,,,,
chara_mag_00001,#REF!,UR,1755,0.00187,,,,
chara_sum_00101,#REF!,UR,1755,0.00187,,,,
chara_sur_00601,#REF!,ピックアップSSR,14040,0.015,0.015,,,
chara_dan_00101,#REF!,SSR,8840,0.00944,0.085,,,
chara_chi_00201,#REF!,SSR,8840,0.00944,,,,
chara_chi_00301,#REF!,SSR,8840,0.00944,,,,
chara_kai_00301,#REF!,SSR,8840,0.00944,,,,
chara_ron_00001,#REF!,SSR,8840,0.00944,,,,
chara_aha_00101,#REF!,SSR,8840,0.00944,,,,
chara_jig_00101,#REF!,SSR,8840,0.00944,,,,
chara_dos_00001,#REF!,SSR,8840,0.00944,,,,
chara_dos_00101,#REF!,SSR,8840,0.00944,,,,
chara_gom_00101,#REF!,SR,32760,0.035,0.35,,,
chara_bat_00001,#REF!,SR,32760,0.035,,,,
chara_bat_00101,#REF!,SR,32760,0.035,,,,
chara_kai_00101,#REF!,SR,32760,0.035,,,,
