Unnamed: 0,04_ミッション,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,◆いいジャン祭ミッション,,,,,,,,,,,
,,,,,,,,,,,,
,項目,内容,,,,,,,,,,
,施策名称,君のことが大大大大大好きな100人の彼女 いいジャン祭 特別ミッション,,,,,,,,,,
,開催期間,2026-02-16 15:00:00,〜,2026-03-16 10:59:00.096000,,,,,,,,
,,,,,,,,,,,,
,ミッション内容,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,SSR彼女確定ガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,花園 羽香里のかけら,院田 唐音のかけら,好本 静のかけら
,強敵を1体撃破しよう,0,5000,0,0,0,0,0,0,0,0,0
,強敵を3体撃破しよう,0,5000,0,0,0,0,0,0,0,0,0
,強敵を5体撃破しよう,0,5000,0,0,0,0,0,0,0,0,0
,強敵を10体撃破しよう,0,0,1,0,0,0,0,0,0,0,0
,強敵を15体撃破しよう,0,10000,0,,0,0,0,0,0,0,0
,強敵を20体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を25体撃破しよう,0,0,0,0,0,0,0,0,10,0,0
,強敵を30体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を35体撃破しよう,0,0,0,0,0,0,0,0,0,10,0
,強敵を40体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を45体撃破しよう,50,0,0,0,0,0,0,0,0,0,0
,強敵を50体撃破しよう,0,0,1,0,0,0,0,0,0,0,0
,強敵を55体撃破しよう,0,0,0,0,0,0,0,0,0,0,10
,強敵を60体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を65体撃破しよう,0,0,0,0,0,0,0,1,0,0,0
,強敵を70体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を75体撃破しよう,0,0,1,0,0,0,0,0,0,0,0
,強敵を80体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を85体撃破しよう,50,0,0,0,0,0,0,0,0,0,0
,強敵を90体撃破しよう,0,0,0,1,0,0,0,0,0,0,0
,強敵を95体撃破しよう,0,0,0,0,0,0,0,1,0,0,0
,強敵を100体撃破しよう,0,0,0,0,1,0,0,0,0,0,0
,収集クエスト「キスゾンビ♡パニック」をクリアしよう,0,15000,0,0,0,0,0,0,0,0,0
,ストーリークエスト「最高の恋愛パートナー」をクリアしよう,0,10000,0,0,0,0,0,0,0,0,0
,チャレンジクエスト「恋太郎ファミリー」をクリアしよう,0,0,0,3,0,0,0,0,0,0,0
,高難易度「DEAD OR LOVE」をクリアしよう,0,0,1,0,0,0,0,0,0,0,0
,敵を10体撃破しよう,0,0,0,0,0,5,0,0,0,0,0
,敵を20体撃破しよう,0,0,0,0,0,5,0,0,0,0,0
,敵を30体撃破しよう,0,0,0,0,0,5,0,0,0,0,0
,敵を40体撃破しよう,0,0,0,0,0,5,0,0,0,0,0
,敵を50体撃破しよう,0,0,0,0,0,10,0,0,0,0,0
,敵を60体撃破しよう,0,0,0,0,0,0,5,0,0,0,0
,敵を70体撃破しよう,0,0,0,0,0,0,5,0,0,0,0
,敵を80体撃破しよう,0,0,0,0,0,0,5,0,0,0,0
,敵を90体撃破しよう,0,0,0,0,0,0,5,0,0,0,0
,敵を100体撃破しよう,0,0,0,0,0,0,0,1,0,0,0
,敵を150体撃破しよう,0,0,0,0,0,0,0,1,0,0,0
,敵を200体撃破しよう,0,0,0,0,0,0,0,1,0,0,0
,敵を300体撃破しよう,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,報酬合計数,100,50000,5,10,1,30,20,5,10,10,10
