Unnamed: 0,04_交換所,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,◆君のことが大大大大大好きな100人の彼女 交換所,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▼基本情報,,,,,,▼配布アイテム,,,,,メモ,,,,,,,,,,
,交換所名称,君のことが大大大大大好きな100人の彼女 いいジャン祭交換所,,,,,アイテム名,アイテムID,開始日,終了日,,,,,花園 羽香里のかけら,,,,,,,
,開始日,2026-02-16 15:00:00,,,,,打ち消しの薬,item_kim_00001,2026-02-16 15:00:00,2026-03-16 10:59:00,,,,,院田 唐音のかけら,,,,,,,
,終了日,2026-03-16 10:59:00,,,,,,,,,,,,,好本 静のかけら,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▼配布アイテム全体確認,,,,,,,,▼配布量確認,,,,,,,,,,,,,
,メダル,報酬区分,設計の最大値,,メダル設定量,メダル設定の過不足,,,アイテム,プリズム,スペシャルガシャチケット,ピックアップガシャチケット,花園 羽香里のかけら,院田 唐音のかけら,好本 静のかけら,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・ブルー,カラーメモリー・グリーン,カラーメモリー・イエロー
,青メダル,主要,0,,0,0,,,配らないといけない量,730,3,3,30,30,30,5,5,2,500,500,500,500
,赤メダル,主要,30600,,81000,50400,,,設定中のアイテム量,730,3,3,,,,100,50,10,,,,
,赤メダル,準主要,63550,,194000,130450,,,,,,,,,,,,,,,,
,赤メダル,周回,204500,,450000,245500,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▼交換所アイテム一覧,,,,,,,,,,,↓-なので実際に販売しているものよりは渋い,,,,,,,,,,
,報酬区分,獲得アイテム名,獲得数,交換上限,必要メダル名,必要メダル数,開始日,終了日,獲得アイテムの価値,上限交換時の価値,消費メダルの価値,獲得アイテム割引率,上限交換時の必要メダル数,上限交換時の獲得アイテム総量,,,,,,,,
,主要,プリズム,30,1,打ち消しの薬,1000,2026-02-16 15:00:00,2026-03-16 10:59:00,60,60,126,-1.1,1000,30,,,,,,,,
,主要,プリズム,50,14,打ち消しの薬,2500,2026-02-16 15:00:00,2026-03-16 10:59:00,100,1400,315,-2.15,35000,700,,,,,,,,
,主要,花園 羽香里のかけら,1,10,打ち消しの薬,5000,2026-02-16 15:00:00,2026-03-16 10:59:00,150,1500,630,-3.2,50000,20,,,,,,,,
,準主要,花園 羽香里のかけら,2,10,打ち消しの薬,10000,2026-02-16 15:00:00,2026-03-16 10:59:00,300,4500,1260,-3.2,150000,50,,,,,,,,
,主要,院田 唐音のかけら,1,10,打ち消しの薬,5000,2026-02-16 15:00:00,2026-02-16 15:00:00,,,,,50000,20,,,,,,,,
,準主要,院田 唐音のかけら,2,10,打ち消しの薬,10000,2026-02-16 15:00:00,2026-02-16 15:00:00,,,,,150000,50,,,,,,,,
,主要,好本 静のかけら,1,10,打ち消しの薬,5000,2026-02-16 15:00:00,2026-02-16 15:00:00,,,,,50000,20,,,,,,,,
,準主要,好本 静のかけら,2,10,打ち消しの薬,10000,2026-02-16 15:00:00,2026-02-16 15:00:00,,,,,150000,50,,,,,,,,
,主要,花園 羽々里の大好きな気持ち,1,1,打ち消しの薬,10000,2026-02-16 15:00:00,2026-02-16 15:00:00,350,350,1260,-2.6,10000,1,,,,,,,,
