ƒ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,＜目次＞,,,,,,,,,,,,,,,,
,,◇バナー関連,◇UI,,,,,,,,,,,,,,
,,◇アイテム,◇キャラ・クエスト関連,,これかえる,,,,,,,,,,,,
,,◇アプリアイコン,,,,,,,,,,,,,,,
,◇バナー関連,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,毎週金曜16:00~16:30「バナーMTG」,,,,,,,,,,,,,,,,
,＜参照：告知スケジュール＞,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
■施作一覧,,バナーの進捗確認はこちら,,,,,,,,,●LINE,◯WP,,,,,
SG,,,,,,,,,,,素材,,,,備考,,
,No,施策,,概要,,,訴求,,,分類,バナーL,バナーM,LINE OA,twitter,,,
False,1,,,,,,,,,,,,,,,,
False,2,,,,,,,,,,,,,,,,
False,3,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,5,,,,,,,,,,,,,,,,
False,6,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,8,,,,,,,,,,,,,,,,
False,9,,,,,,,,,,,,,,,,
False,10,,,,,,,,,,,,,,,,
False,11,,,,,,,,,,,,,,,,
False,12,,,,,,,,,,,,,,,,
False,13,,,,,,,,,,,,,,,,
False,14,,,,,,,,,,,,,,,,
False,15,,,,,,,,,,,,,,,,
False,16,,,,,,,,,,,,,,,,
False,17,,,,,,,,,,,,,,,,
False,18,,,,,,,,,,,,,,,,
False,19,,,,,,,,,,,,,,,,
False,20,,,,,,,,,,,,,,,,
False,21,,,,,,,,,,,,,,,,
False,22,,,,,,,,,,,,,,,,
False,23,,,,,,,,,,,,,,,,
False,24,,,,,,,,,,,,,,,,
False,25,,,,,,,,,,,,,,,,
False,26,,,,,,,,,,,,,,,,
False,27,,,,,,,,,,,,,,,,
False,28,,,,,,,,,,,,,,,,
False,29,,,,,,,,,,,,,,,,
False,30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,■その他告知（キービジュアル、チュートリアル、告知原画、壁紙配布、アプリアイコン配布、上記に記載が無いIGNなど）,,,,,,,,,,,,,,,,
SG,,,,,,,,,,,素材,,,,備考,,
,No,施策,,概要,,,訴求,,,分類,バナーL,バナーM,LINE OA,twitter,,,
False,1,,,,,,,,,,,,,,,,
False,2,,,,,,,,,,,,,,,,
False,3,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,5,,,,,,,,,,,,,,,,
False,6,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,8,,,,,,,,,,,,,,,,
False,9,,,,,,,,,,,,,,,,
False,10,,,,,,,,,,,,,,,,
False,11,,,,,,,,,,,,,,,,
False,12,,,,,,,,,,,,,,,,
False,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
■その他素材,,,チュートリアル、repro原画,,,,,,,,●LINE,◯WP,,,,,
SG,No,,,,,,,,,素材,,,,,,,備考
,,,,,,,,,,チュートリアル,バナーL,バナーM,LINE OA,twitter,repro,,
False,1,,,,,,,,,,,,,,,,
False,2,,,,,,,,,,,,,,,,
False,3,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,5,,,,,,,,,,,,,,,,
False,6,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇アイテム,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SG,No,素材,,,詳細,,,レアリティ,進捗,,,,,,,,
,,,,,,,,,plan確認,ID作成,,,,,,,
False,1,,,,,,,,,,,,,,,,
False,3,,,,,,,,,,,,,,,,
False,2,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,6,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,8,,,,,,,,,,,,,,,,
False,9,,,,,,,,,,,,,,,,
False,10,,,,,,,,,,,,,,,,
False,11,,,,,,,,,,,,,,,,
False,12,,,,,,,,,,,,,,,,
False,13,,,,,,,,,,,,,,,,
False,14,,,,,,,,,,,,,,,,
False,15,,,,,,,,,,,,,,,,
False,16,,,,,,,,,,,,,,,,
False,17,,,,,,,,,,,,,,,,
False,18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇UI,,,,,,,,,,,,,,,,
,,タイトル、ホーム画面、いいジャン祭ページ、ログボ,,,,,,,,,,,,,,,
SG,No,素材,,,詳細,,,進捗,,,,,,,,,
,,,,,,,,plan確認,ID作成,,,,,,,,
False,1,タイトル,,,,,,,,,,,,,,,
False,2,ホーム画面,,,,,,,,,,,,,,,
False,3,いいジャン祭ページ,,,,,,,,,,,,,,,
False,4,ログインボーナス,,,,,,,,,,,,,,,
False,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇キャラ・クエスト関連,,,,,,,,,,,,,,,,
,,かけら、オーラ、スタンプ,,,,,,,,,,,,,,,
SG,,素材,,,,,,,,,,,,,,,
,No,,,,,,,,,,,,,,,,
False,1,,,,,,,,,,,,,,,,
False,2,,,,,,,,,,,,,,,,
False,3,,,,,,,,,,,,,,,,
False,4,,,,,,,,,,,,,,,,
False,5,,,,,,,,,,,,,,,,
False,6,,,,,,,,,,,,,,,,
False,7,,,,,,,,,,,,,,,,
False,8,,,,,,,,,,,,,,,,
False,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇アプリアイコン,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,使用キャラ,理由・意図,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,案2,使用キャラ,理由・意図,,,,,,,,,,,,,,
