ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,event_kim_00001_exchange_lineup_00001_cost,event_kim_00001_exchange_lineup_00001,Item,item_kim_00001,1000,202602020
e,event_kim_00001_exchange_lineup_00002_cost,event_kim_00001_exchange_lineup_00002,Item,item_kim_00001,2500,202602020
e,event_kim_00001_exchange_lineup_00003_cost,event_kim_00001_exchange_lineup_00003,Item,item_kim_00001,5000,202602020
e,event_kim_00001_exchange_lineup_00004_cost,event_kim_00001_exchange_lineup_00004,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00005_cost,event_kim_00001_exchange_lineup_00005,Item,item_kim_00001,5000,202602020
e,event_kim_00001_exchange_lineup_00006_cost,event_kim_00001_exchange_lineup_00006,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00007_cost,event_kim_00001_exchange_lineup_00007,Item,item_kim_00001,5000,202602020
e,event_kim_00001_exchange_lineup_00008_cost,event_kim_00001_exchange_lineup_00008,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00009_cost,event_kim_00001_exchange_lineup_00009,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00010_cost,event_kim_00001_exchange_lineup_00010,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00011_cost,event_kim_00001_exchange_lineup_00011,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00012_cost,event_kim_00001_exchange_lineup_00012,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00013_cost,event_kim_00001_exchange_lineup_00013,Item,item_kim_00001,10000,202602020
e,event_kim_00001_exchange_lineup_00014_cost,event_kim_00001_exchange_lineup_00014,Item,item_kim_00001,7500,202602020
e,event_kim_00001_exchange_lineup_00015_cost,event_kim_00001_exchange_lineup_00015,Item,item_kim_00001,7500,202602020
e,event_kim_00001_exchange_lineup_00016_cost,event_kim_00001_exchange_lineup_00016,Item,item_kim_00001,1000,202602020
e,event_kim_00001_exchange_lineup_00017_cost,event_kim_00001_exchange_lineup_00017,Item,item_kim_00001,2500,202602020
e,event_kim_00001_exchange_lineup_00018_cost,event_kim_00001_exchange_lineup_00018,Item,item_kim_00001,5000,202602020
e,event_kim_00001_exchange_lineup_00019_cost,event_kim_00001_exchange_lineup_00019,Item,item_kim_00001,500,202602020
e,event_kim_00001_exchange_lineup_00020_cost,event_kim_00001_exchange_lineup_00020,Item,item_kim_00001,500,202602020
e,event_kim_00001_exchange_lineup_00021_cost,event_kim_00001_exchange_lineup_00021,Item,item_kim_00001,500,202602020
e,event_kim_00001_exchange_lineup_00022_cost,event_kim_00001_exchange_lineup_00022,Item,item_kim_00001,500,202602020
e,event_kim_00001_exchange_lineup_00023_cost,event_kim_00001_exchange_lineup_00023,Item,item_kim_00001,500,202602020
e,event_kim_00001_exchange_lineup_00024_cost,event_kim_00001_exchange_lineup_00024,Item,item_kim_00001,300,202602020

