ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,sort_order,release_key
e,event_kim_00001_exchange_lineup_00001_reward,event_kim_00001_exchange_lineup_00001,FreeDiamond,,30,1,202602020
e,event_kim_00001_exchange_lineup_00002_reward,event_kim_00001_exchange_lineup_00002,FreeDiamond,,50,1,202602020
e,event_kim_00001_exchange_lineup_00003_reward,event_kim_00001_exchange_lineup_00003,Item,piece_kim_00101,1,1,202602020
e,event_kim_00001_exchange_lineup_00004_reward,event_kim_00001_exchange_lineup_00004,Item,piece_kim_00101,2,1,202602020
e,event_kim_00001_exchange_lineup_00005_reward,event_kim_00001_exchange_lineup_00005,Item,piece_kim_00201,1,1,202602020
e,event_kim_00001_exchange_lineup_00006_reward,event_kim_00001_exchange_lineup_00006,Item,piece_kim_00201,2,1,202602020
e,event_kim_00001_exchange_lineup_00007_reward,event_kim_00001_exchange_lineup_00007,Item,piece_kim_00301,1,1,202602020
e,event_kim_00001_exchange_lineup_00008_reward,event_kim_00001_exchange_lineup_00008,Item,piece_kim_00301,2,1,202602020
e,event_kim_00001_exchange_lineup_00009_reward,event_kim_00001_exchange_lineup_00009,Item,emblem_event_kim_00001,1,1,202602020
e,event_kim_00001_exchange_lineup_00010_reward,event_kim_00001_exchange_lineup_00010,Item,emblem_event_kim_00002,1,1,202602020
e,event_kim_00001_exchange_lineup_00011_reward,event_kim_00001_exchange_lineup_00011,Item,emblem_event_kim_00003,1,1,202602020
e,event_kim_00001_exchange_lineup_00012_reward,event_kim_00001_exchange_lineup_00012,Item,emblem_event_kim_00004,1,1,202602020
e,event_kim_00001_exchange_lineup_00013_reward,event_kim_00001_exchange_lineup_00013,Item,emblem_event_kim_00005,1,1,202602020
e,event_kim_00001_exchange_lineup_00014_reward,event_kim_00001_exchange_lineup_00014,Item,ticket_glo_00002,1,1,202602020
e,event_kim_00001_exchange_lineup_00015_reward,event_kim_00001_exchange_lineup_00015,Item,ticket_glo_00003,1,1,202602020
e,event_kim_00001_exchange_lineup_00016_reward,event_kim_00001_exchange_lineup_00016,Item,memoryfragment_glo_00001,1,1,202602020
e,event_kim_00001_exchange_lineup_00017_reward,event_kim_00001_exchange_lineup_00017,Item,memoryfragment_glo_00002,1,1,202602020
e,event_kim_00001_exchange_lineup_00018_reward,event_kim_00001_exchange_lineup_00018,Item,memoryfragment_glo_00003,1,1,202602020
e,event_kim_00001_exchange_lineup_00019_reward,event_kim_00001_exchange_lineup_00019,Item,memory_glo_00001,50,1,202602020
e,event_kim_00001_exchange_lineup_00020_reward,event_kim_00001_exchange_lineup_00020,Item,memory_glo_00002,50,1,202602020
e,event_kim_00001_exchange_lineup_00021_reward,event_kim_00001_exchange_lineup_00021,Item,memory_glo_00003,50,1,202602020
e,event_kim_00001_exchange_lineup_00022_reward,event_kim_00001_exchange_lineup_00022,Item,memory_glo_00004,50,1,202602020
e,event_kim_00001_exchange_lineup_00023_reward,event_kim_00001_exchange_lineup_00023,Item,memory_glo_00005,50,1,202602020
e,event_kim_00001_exchange_lineup_00024_reward,event_kim_00001_exchange_lineup_00024,Coin,,100,1,202602020
